period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
3_Month,0-9,1147354,441886,38.51
All,0-9,1666448,676193,40.58
1_Year,0-9,1504478,580501,38.58
6_Month,0-9,1358922,527310,38.8
1_Month,0-9,442746,208979,47.2
6_Month,10-19,1230610,541473,44
1_Month,10-19,388614,189930,48.87
All,10-19,1575879,720703,45.73
1_Year,10-19,1379265,584590,42.38
3_Month,10-19,1047380,480585,45.88
1_Month,20-29,316782,110836,34.99
1_Year,20-29,1171729,381921,32.59
3_Month,20-29,802699,310155,38.64
6_Month,20-29,1007516,347661,34.51
All,20-29,1368082,498854,36.46
3_Month,30-39,783711,330723,42.2
All,30-39,1261190,485540,38.5
1_Month,30-39,339895,138357,40.71
1_Year,30-39,1101890,402948,36.57
6_Month,30-39,960637,369831,38.5
All,40-49,1117231,429061,38.4
1_Year,40-49,978063,357224,36.52
6_Month,40-49,861831,328885,38.16
3_Month,40-49,720826,301787,41.87
1_Month,40-49,326821,127681,39.07
All,50-59,847882,281309,33.18
1_Year,50-59,730512,225238,30.83
6_Month,50-59,638321,206439,32.34
3_Month,50-59,523325,193667,37.01
1_Month,50-59,239747,81985,34.2
1_Month,60-69,194826,52364,26.88
3_Month,60-69,417709,126732,30.34
6_Month,60-69,511509,133885,26.17
1_Year,60-69,587328,146776,24.99
All,60-69,681607,184306,27.04
3_Month,70-79,251402,64534,25.67
1_Month,70-79,120373,26527,22.04
6_Month,70-79,310501,67986,21.9
1_Year,70-79,361598,75433,20.86
All,70-79,422615,95189,22.52
1_Month,80-89,51380,10801,21.02
3_Month,80-89,98366,25201,25.62
6_Month,80-89,120053,26975,22.47
1_Year,80-89,144883,30500,21.05
All,80-89,182197,41056,22.53
All,90+,48054,11655,24.25
1_Year,90+,35922,8123,22.61
6_Month,90+,29266,7160,24.47
3_Month,90+,24380,6694,27.46
1_Month,90+,13652,2849,20.87
