averageInfected,begin_date,end_date,isCurrentWeek
1297,2021-12-19T00:00:00.000Z,2021-12-25T00:00:00.000Z,False
3843,2021-12-26T00:00:00.000Z,2022-01-01T00:00:00.000Z,False
16013,2022-01-02T00:00:00.000Z,2022-01-08T00:00:00.000Z,False
34547,2022-01-09T00:00:00.000Z,2022-01-11T00:00:00.000Z,True
