age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,381740,324637,1538337,24.8,21.1
20-29,1011798,932136,1300361,77.8,71.7
30-39,978439,917982,1197026,81.7,76.7
40-49,936725,883863,1098556,85.3,80.5
50-59,762445,720350,849966,89.7,84.8
60-69,671246,642918,741639,90.5,86.7
70-79,483692,468900,490784,98.6,95.5
80-89,216907,210235,225538,96.2,93.2
90+,51199,48940,51496,99.4,95
