age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,344251,309024,1538337,22.4,20.1
20-29,995831,908948,1300361,76.6,69.9
30-39,965071,897976,1197026,80.6,75
40-49,928723,872344,1098556,84.5,79.4
50-59,757419,713314,849966,89.1,83.9
60-69,668074,638137,741639,90.1,86
70-79,483140,467214,490784,98.4,95.2
80-89,216378,208915,225538,95.9,92.6
90+,51190,48612,51496,99.4,94.4
