section,male,female,period,order_period
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 7, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 11, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 4, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 4, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.1}",3 חודשים,4
0-9,"{'amount': 4, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",6 חודשים,3
10-19,"{'amount': 5, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.5}",6 חודשים,3
10-19,"{'amount': 4, 'percentage': 0.7}","{'amount': 3, 'percentage': 0.5}",חודש אחרון,5
10-19,"{'amount': 16, 'percentage': 0.4}","{'amount': 12, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 5, 'percentage': 0.6}","{'amount': 3, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 13, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 8, 'percentage': 0.9}","{'amount': 8, 'percentage': 0.9}",3 חודשים,4
20-29,"{'amount': 6, 'percentage': 1.1}","{'amount': 5, 'percentage': 0.9}",חודש אחרון,5
20-29,"{'amount': 36, 'percentage': 1}","{'amount': 34, 'percentage': 1}",שנה,2
20-29,"{'amount': 39, 'percentage': 0.9}","{'amount': 45, 'percentage': 1}",מתחילת קורונה,1
20-29,"{'amount': 12, 'percentage': 1.1}","{'amount': 11, 'percentage': 1}",6 חודשים,3
30-39,"{'amount': 73, 'percentage': 1.6}","{'amount': 83, 'percentage': 1.8}",מתחילת קורונה,1
30-39,"{'amount': 52, 'percentage': 1.5}","{'amount': 68, 'percentage': 1.9}",שנה,2
30-39,"{'amount': 12, 'percentage': 2.2}","{'amount': 15, 'percentage': 2.7}",חודש אחרון,5
30-39,"{'amount': 15, 'percentage': 1.8}","{'amount': 18, 'percentage': 2.1}",3 חודשים,4
30-39,"{'amount': 19, 'percentage': 1.8}","{'amount': 30, 'percentage': 2.8}",6 חודשים,3
40-49,"{'amount': 71, 'percentage': 6.6}","{'amount': 33, 'percentage': 3.1}",6 חודשים,3
40-49,"{'amount': 53, 'percentage': 6.3}","{'amount': 27, 'percentage': 3.2}",3 חודשים,4
40-49,"{'amount': 42, 'percentage': 7.6}","{'amount': 21, 'percentage': 3.8}",חודש אחרון,5
40-49,"{'amount': 168, 'percentage': 4.7}","{'amount': 91, 'percentage': 2.6}",שנה,2
40-49,"{'amount': 207, 'percentage': 4.5}","{'amount': 111, 'percentage': 2.4}",מתחילת קורונה,1
50-59,"{'amount': 73, 'percentage': 8.6}","{'amount': 47, 'percentage': 5.5}",3 חודשים,4
50-59,"{'amount': 63, 'percentage': 11.4}","{'amount': 34, 'percentage': 6.1}",חודש אחרון,5
50-59,"{'amount': 349, 'percentage': 9.8}","{'amount': 163, 'percentage': 4.6}",שנה,2
50-59,"{'amount': 430, 'percentage': 9.5}","{'amount': 193, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 114, 'percentage': 10.6}","{'amount': 71, 'percentage': 6.6}",6 חודשים,3
60-69,"{'amount': 138, 'percentage': 12.8}","{'amount': 116, 'percentage': 10.7}",6 חודשים,3
60-69,"{'amount': 115, 'percentage': 13.6}","{'amount': 92, 'percentage': 10.8}",3 חודשים,4
60-69,"{'amount': 77, 'percentage': 13.9}","{'amount': 61, 'percentage': 11}",חודש אחרון,5
60-69,"{'amount': 741, 'percentage': 16.3}","{'amount': 374, 'percentage': 8.2}",מתחילת קורונה,1
60-69,"{'amount': 571, 'percentage': 16.1}","{'amount': 307, 'percentage': 8.6}",שנה,2
70-79,"{'amount': 147, 'percentage': 13.6}","{'amount': 100, 'percentage': 9.3}",6 חודשים,3
70-79,"{'amount': 72, 'percentage': 13}","{'amount': 57, 'percentage': 10.3}",חודש אחרון,5
70-79,"{'amount': 802, 'percentage': 17.6}","{'amount': 423, 'percentage': 9.3}",מתחילת קורונה,1
70-79,"{'amount': 603, 'percentage': 17}","{'amount': 342, 'percentage': 9.6}",שנה,2
70-79,"{'amount': 130, 'percentage': 15.3}","{'amount': 77, 'percentage': 9.1}",3 חודשים,4
80-89,"{'amount': 466, 'percentage': 10.2}","{'amount': 334, 'percentage': 7.3}",מתחילת קורונה,1
80-89,"{'amount': 92, 'percentage': 8.5}","{'amount': 76, 'percentage': 7}",6 חודשים,3
80-89,"{'amount': 36, 'percentage': 6.5}","{'amount': 30, 'percentage': 5.4}",חודש אחרון,5
80-89,"{'amount': 75, 'percentage': 8.8}","{'amount': 69, 'percentage': 8.1}",3 חודשים,4
80-89,"{'amount': 346, 'percentage': 9.7}","{'amount': 258, 'percentage': 7.3}",שנה,2
90+,"{'amount': 94, 'percentage': 2.1}","{'amount': 86, 'percentage': 1.9}",מתחילת קורונה,1
90+,"{'amount': 17, 'percentage': 1.6}","{'amount': 17, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 14, 'percentage': 1.7}","{'amount': 14, 'percentage': 1.7}",3 חודשים,4
90+,"{'amount': 6, 'percentage': 1.1}","{'amount': 7, 'percentage': 1.3}",חודש אחרון,5
90+,"{'amount': 66, 'percentage': 1.9}","{'amount': 64, 'percentage': 1.8}",שנה,2
