age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,309,2971,0,102.7,1112.4,0,0,1,0,0,0.4
16-19,60,1223,1245,45,417.7,916.9,0,1,1,0,0.3,0.7
20-29,166,3234,2333,43.2,507.1,948,0,1,14,0,0.2,5.7
30-39,428,3388,2410,97.1,619.2,1364.8,0,1,26,0,0.2,14.7
40-49,435,2226,1676,80.5,552.4,1233.6,2,12,67,0.4,3,49.3
50-59,267,935,986,52.3,371.2,1061.2,3,20,99,0.6,7.9,106.5
60-69,260,587,598,48.9,419.7,928.6,10,31,101,1.9,22.2,156.8
70-79,189,283,356,46.6,395.2,802.9,14,26,79,3.5,36.3,178.2
80-89,128,199,205,72.6,535.8,954.6,10,23,34,5.7,61.9,158.3
90+,57,57,66,158.9,448.3,798.3,1,5,15,2.8,39.3,181.4
