instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,61.2,73.9,2022-05-02T00:00:00.000Z
יוספטל,62.5,44.6,2022-05-02T00:00:00.000Z
רבין ק. השרון,64,61.4,2022-05-02T00:00:00.000Z
הכרמל,66,76.5,2022-05-02T00:00:00.000Z
פוריה,80.8,76.3,2022-05-02T00:00:00.000Z
הדסה הר הצופים,80.6,77.4,2022-05-02T00:00:00.000Z
מאיר,84.5,82.1,2022-05-02T00:00:00.000Z
וולפסון,85.2,73.8,2022-05-02T00:00:00.000Z
שמיר,89.2,70.5,2022-05-02T00:00:00.000Z
בני ציון,90.1,84.5,2022-05-02T00:00:00.000Z
קפלן,94,88.3,2022-05-02T00:00:00.000Z
המרכזי בעמק,94.8,71.5,2022-05-02T00:00:00.000Z
לניאדו,100,91.1,2022-05-02T00:00:00.000Z
"רמב""ם",101,85.8,2022-05-02T00:00:00.000Z
ברזילי,106.8,85.8,2022-05-02T00:00:00.000Z
אסותא אשדוד,106.8,99.7,2022-05-02T00:00:00.000Z
הלל יפה,107.5,81.6,2022-05-02T00:00:00.000Z
נהריה,107.9,88.6,2022-05-02T00:00:00.000Z
זיו צפת,110.9,72,2022-05-02T00:00:00.000Z
רבין ק. בילינסון,121.6,93.8,2022-05-02T00:00:00.000Z
הדסה עין כרם,122.3,92.1,2022-05-02T00:00:00.000Z
