age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,641520,530541,1538337,41.7,34.5
20-29,1027451,938189,1300361,79,72.1
30-39,997010,929513,1197026,83.3,77.7
40-49,948817,890333,1098556,86.4,81
50-59,762289,718424,849966,89.7,84.5
60-69,673992,645089,741639,90.9,87
70-79,468665,455810,490784,95.5,92.9
80-89,211999,205954,225538,94,91.3
90+,48090,46308,51496,93.4,89.9
