Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc,vaccinated_fourth_dose_cum,vaccinated_validity_perc,vaccinated_expired_perc,not_vaccinated_perc
2020-12-19T00:00:00.000Z,46,84,0,0,4,0,0,0,0,0,0,0,100
2020-12-20T00:00:00.000Z,7386,7470,0.08,0,4,0,0,0,0,0,0,0,100
2020-12-21T00:00:00.000Z,24911,32381,0.35,0,4,0,0,0,0,0,0,0,100
2020-12-22T00:00:00.000Z,44643,77024,0.83,0,4,0,0,0,0,0,0,0,100
2020-12-23T00:00:00.000Z,62902,139926,1.5,0,4,0,0,0,0,0,0,0,100
2020-12-24T00:00:00.000Z,73413,213339,2.29,0,4,0,0,0,0,0,0,0,100
2020-12-25T00:00:00.000Z,38503,251842,2.71,0,4,0,0,0,0,0,0,0,100
2020-12-26T00:00:00.000Z,32610,284452,3.06,0,4,0,0,0,0,0,0,0,100
2020-12-27T00:00:00.000Z,104552,389004,4.18,0,4,0,0,0,0,0,0,0,100
2020-12-28T00:00:00.000Z,135006,524010,5.63,0,4,0,0,0,0,0,0,0,100
2020-12-29T00:00:00.000Z,156269,680279,7.32,1,5,0,0,0,0,0,0,0,100
2020-12-30T00:00:00.000Z,153111,833390,8.96,0,5,0,0,0,0,0,0,0,100
2020-12-31T00:00:00.000Z,158537,991927,10.67,0,5,0,0,0,0,0,0,0,100
2021-01-01T00:00:00.000Z,71411,1063338,11.43,0,5,0,0,0,0,0,0,0,100
2021-01-02T00:00:00.000Z,71731,1135069,12.21,0,5,0,0,0,0,0,0,0,100
2021-01-03T00:00:00.000Z,149733,1284802,13.82,0,5,0,0,0,0,0,0,0,100
2021-01-04T00:00:00.000Z,152158,1436960,15.45,2,7,0,0,0,0,0,0,0,100
2021-01-05T00:00:00.000Z,125176,1562136,16.8,2,9,0,0,0,0,0,0,0,100
2021-01-06T00:00:00.000Z,103340,1665476,17.91,2,11,0,0,0,0,0,0,0,100
2021-01-07T00:00:00.000Z,116047,1781523,19.16,6,17,0,0,0,0,0,0,0,100
2021-01-08T00:00:00.000Z,66458,1847981,19.87,4,21,0,0,0,0,0,0,0,100
2021-01-09T00:00:00.000Z,44532,1892513,20.35,25,46,0,0,0,0,0,0,0,100
2021-01-10T00:00:00.000Z,37638,1930151,20.76,5994,6040,0.07,0,0,0,0,0,0,100
2021-01-11T00:00:00.000Z,21141,1951292,20.98,19255,25295,0.27,0,0,0,0,0,0,100
2021-01-12T00:00:00.000Z,24038,1975330,21.24,35660,60955,0.66,0,0,0,0,0,0,100
2021-01-13T00:00:00.000Z,52045,2027375,21.8,56861,117816,1.27,0,0,0,0,0,0,100
2021-01-14T00:00:00.000Z,56449,2083824,22.41,68829,186645,2.01,0,0,0,0,0,0,100
2021-01-15T00:00:00.000Z,30746,2114570,22.74,35926,222571,2.39,0,0,0,0,0,0,100
2021-01-16T00:00:00.000Z,29448,2144018,23.06,26003,248574,2.67,0,0,0,0,0,0,100
2021-01-17T00:00:00.000Z,68400,2212418,23.79,84577,333151,3.58,0,0,0,0,0.36,0,99.64
2021-01-18T00:00:00.000Z,69730,2282148,24.54,120388,453539,4.88,0,0,0,0,0.64,0,99.36
2021-01-19T00:00:00.000Z,72821,2354969,25.32,137790,591329,6.36,0,0,0,0,1.16,0,98.84
2021-01-20T00:00:00.000Z,76813,2431782,26.15,143699,735028,7.9,0,0,0,0,1.98,0,98.02
2021-01-21T00:00:00.000Z,69925,2501707,26.9,164367,899395,9.67,0,0,0,0,2.98,0,97.02
2021-01-22T00:00:00.000Z,37870,2539577,27.31,71089,970484,10.44,0,0,0,0,3.5,0,96.5
