name,value
פראמדיקים,12
קלינאות תקשורת,23
פסיכולוגיה,37
ריפוי בעיסוק,39
שירות סוציאלי,42
פיזיותרפיה,60
מעבדה,68
מערך לוגיסטי,69
רוקחות,83
כוח עזר,89
חובשי רפואת חירום,101
מינהל ומשק,581
סקטורים אחרים,1571
