CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.00882825040128411,2020-03-02T00:00:00.000Z,1,5632,-185,0,1246
0,0,10,0,0,10,10,0.008025682182985553,2020-03-03T00:00:00.000Z,0,7857,-182,0,1246
0,0,12,0,0,12,11,0.009630818619582664,2020-03-04T00:00:00.000Z,0,7012,-184,0,1246
0,0,12,1,0,13,13,0.01043338683788122,2020-03-05T00:00:00.000Z,1,7012,-184,0,1246
1,0,14,2,0,16,16,0.01284109149277689,2020-03-06T00:00:00.000Z,1,5177,-183,0,1246
2,0,17,3,0,20,20,0.01605136436597111,2020-03-07T00:00:00.000Z,1,4861,-183,0,1246
4,0,21,5,0,26,26,0.02086677367576244,2020-03-08T00:00:00.000Z,2,7330,-180,0,1246
5,0,33,6,0,39,39,0.03130016051364366,2020-03-09T00:00:00.000Z,7,6205,-189,0,1246
5,0,53,6,0,59,59,0.04735152487961477,2020-03-10T00:00:00.000Z,2,6021,-176,0,1246
6,0,73,7,1,81,81,0.06500802568218299,2020-03-11T00:00:00.000Z,10,5981,-178,0,1246
6,0,95,7,1,103,101,0.0826645264847512,2020-03-12T00:00:00.000Z,6,5983,-177,0,1246
6,0,112,7,4,123,122,0.09871589085072231,2020-03-13T00:00:00.000Z,10,4121,-163,0,1246
4,0,152,6,4,162,161,0.130016051364366,2020-03-14T00:00:00.000Z,20,3692,-173,0,1246
6,0,187,9,6,202,200,0.1621187800963082,2020-03-15T00:00:00.000Z,37,5490,-174,0,1246
7,0,205,11,5,221,215,0.1773675762439808,2020-03-16T00:00:00.000Z,27,4759,-116,0,1246
7,0,238,12,6,256,256,0.2054574638844302,2020-03-17T00:00:00.000Z,46,4338,-68,0,1246
7,0,279,16,11,306,269,0.245585874799358,2020-03-18T00:00:00.000Z,54,3920,32,0,1246
12,0,263,21,11,295,264,0.2367576243980738,2020-03-19T00:00:00.000Z,31,4053,162,0,1246
12,1,252,23,14,289,251,0.2319422150882825,2020-03-20T00:00:00.000Z,30,3207,339,0,1246
15,0,229,27,21,277,274,0.2223113964686999,2020-03-21T00:00:00.000Z,35,2905,522,0,1246
22,0,255,37,32,324,305,0.260032102728732,2020-03-22T00:00:00.000Z,54,4523,738,0,1246
24,0,274,42,36,352,323,0.2825040128410915,2020-03-23T00:00:00.000Z,58,4053,1058,0,1246
26,3,302,45,48,395,343,0.3170144462279294,2020-03-24T00:00:00.000Z,82,3963,1451,0,1246
28,1,311,49,53,413,397,0.3314606741573034,2020-03-25T00:00:00.000Z,81,3666,1809,0,1246
31,5,345,54,65,464,413,0.3723916532905297,2020-03-26T00:00:00.000Z,83,3925,2291,0,1246
37,2,381,65,69,515,469,0.413322632423756,2020-03-27T00:00:00.000Z,110,3267,2658,0,1246
41,1,362,69,82,513,485,0.4117174959871589,2020-03-28T00:00:00.000Z,53,2834,3098,0,1246
50,3,377,78,88,543,515,0.4357945425361156,2020-03-29T00:00:00.000Z,70,4289,3563,0,1246
54,1,427,87,105,619,570,0.4967897271268058,2020-03-30T00:00:00.000Z,121,3886,4022,0,1246
64,4,456,97,115,668,628,0.536115569823435,2020-03-31T00:00:00.000Z,111,4005,4637,0,1246
72,8,515,111,143,769,728,0.6171749598715891,2020-04-01T00:00:00.000Z,147,4088,4485,689,1246
79,10,555,113,145,813,727,0.6524879614767255,2020-04-02T00:00:00.000Z,115,4284,5071,720,1246
93,5,515,130,159,804,719,0.6452648475120385,2020-04-03T00:00:00.000Z,97,3494,5581,717,1246
107,7,481,139,171,791,752,0.6348314606741573,2020-04-04T00:00:00.000Z,73,3155,5910,718,1246
106,6,498,135,194,827,743,0.6637239165329053,2020-04-05T00:00:00.000Z,100,4495,6417,693,1246
110,7,458,147,209,814,703,0.6532905296950241,2020-04-06T00:00:00.000Z,93,4088,6695,796,1246
106,7,388,159,201,748,656,0.6003210272873194,2020-04-07T00:00:00.000Z,72,4313,6960,819,1246
115,9,336,166,193,695,622,0.557784911717496,2020-04-08T00:00:00.000Z,57,3511,7135,859,1246
117,9,312,166,187,665,634,0.5337078651685393,2020-04-09T00:00:00.000Z,65,3363,7262,944,1246
128,8,330,170,170,670,598,0.5377207062600321,2020-04-10T00:00:00.000Z,56,4086,7387,1002,1246
130,6,283,182,162,627,595,0.5032102728731942,2020-04-11T00:00:00.000Z,39,3172,7502,1061,1246
130,7,316,177,174,667,620,0.5353130016051364,2020-04-12T00:00:00.000Z,90,4965,7666,1074,1246
137,8,330,192,169,691,629,0.5545746388443018,2020-04-13T00:00:00.000Z,91,4653,7669,1181,1246
134,8,328,178,170,676,631,0.5425361155698234,2020-04-14T00:00:00.000Z,75,4376,7633,1229,1246
133,13,319,180,174,673,655,0.5401284109149278,2020-04-15T00:00:00.000Z,69,3492,7597,1238,1246
136,7,360,181,162,703,643,0.5642054574638844,2020-04-16T00:00:00.000Z,51,5388,7418,1366,1246
125,9,337,166,163,666,613,0.5345104333868379,2020-04-17T00:00:00.000Z,48,4188,7385,1348,1246
