section,male,female,period
0-9,"{'amount': 34, 'percentage': 0.5}","{'amount': 18, 'percentage': 0.3}",מתחילת קורונה
0-9,"{'amount': 20, 'percentage': 1}","{'amount': 11, 'percentage': 0.6}",שנה
0-9,"{'amount': 5, 'percentage': 0.8}","{'amount': 2, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.8}",חודש אחרון
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 11, 'percentage': 0.6}","{'amount': 9, 'percentage': 0.5}",שנה
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 25, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 5, 'percentage': 2.2}","{'amount': 1, 'percentage': 0.4}",3 חודשים
20-29,"{'amount': 17, 'percentage': 0.9}","{'amount': 18, 'percentage': 0.9}",שנה
20-29,"{'amount': 2, 'percentage': 1.5}","{'amount': 1, 'percentage': 0.8}",חודש אחרון
20-29,"{'amount': 61, 'percentage': 0.9}","{'amount': 63, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 7, 'percentage': 1.1}","{'amount': 7, 'percentage': 1.1}",6 חודשים
30-39,"{'amount': 107, 'percentage': 1.6}","{'amount': 115, 'percentage': 1.7}",מתחילת קורונה
30-39,"{'amount': 33, 'percentage': 1.7}","{'amount': 26, 'percentage': 1.3}",שנה
30-39,"{'amount': 4, 'percentage': 0.6}","{'amount': 12, 'percentage': 1.9}",6 חודשים
30-39,"{'amount': 1, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 1, 'percentage': 0.8}","{'amount': 2, 'percentage': 1.5}",חודש אחרון
40-49,"{'amount': 271, 'percentage': 4.1}","{'amount': 145, 'percentage': 2.2}",מתחילת קורונה
40-49,"{'amount': 59, 'percentage': 3}","{'amount': 27, 'percentage': 1.4}",שנה
40-49,"{'amount': 10, 'percentage': 1.6}","{'amount': 8, 'percentage': 1.3}",6 חודשים
40-49,"{'amount': 1, 'percentage': 0.4}","{'amount': 3, 'percentage': 1.3}",3 חודשים
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 1.5}",חודש אחרון
50-59,"{'amount': 8, 'percentage': 6}","{'amount': 4, 'percentage': 3}",חודש אחרון
50-59,"{'amount': 571, 'percentage': 8.6}","{'amount': 275, 'percentage': 4.1}",מתחילת קורונה
50-59,"{'amount': 132, 'percentage': 6.7}","{'amount': 74, 'percentage': 3.7}",שנה
50-59,"{'amount': 28, 'percentage': 4.5}","{'amount': 19, 'percentage': 3}",6 חודשים
50-59,"{'amount': 12, 'percentage': 5.2}","{'amount': 8, 'percentage': 3.5}",3 חודשים
60-69,"{'amount': 13, 'percentage': 9.8}","{'amount': 10, 'percentage': 7.5}",חודש אחרון
60-69,"{'amount': 1009, 'percentage': 15.2}","{'amount': 540, 'percentage': 8.1}",מתחילת קורונה
60-69,"{'amount': 244, 'percentage': 12.3}","{'amount': 128, 'percentage': 6.5}",שנה
60-69,"{'amount': 83, 'percentage': 13.2}","{'amount': 39, 'percentage': 6.2}",6 חודשים
60-69,"{'amount': 29, 'percentage': 12.7}","{'amount': 17, 'percentage': 7.4}",3 חודשים
70-79,"{'amount': 1144, 'percentage': 17.2}","{'amount': 645, 'percentage': 9.7}",מתחילת קורונה
70-79,"{'amount': 345, 'percentage': 17.4}","{'amount': 204, 'percentage': 10.3}",שנה
70-79,"{'amount': 121, 'percentage': 19.3}","{'amount': 65, 'percentage': 10.4}",6 חודשים
70-79,"{'amount': 48, 'percentage': 21}","{'amount': 18, 'percentage': 7.9}",3 חודשים
70-79,"{'amount': 28, 'percentage': 21.1}","{'amount': 13, 'percentage': 9.8}",חודש אחרון
80-89,"{'amount': 16, 'percentage': 12}","{'amount': 18, 'percentage': 13.5}",חודש אחרון
80-89,"{'amount': 723, 'percentage': 10.9}","{'amount': 549, 'percentage': 8.2}",מתחילת קורונה
80-89,"{'amount': 260, 'percentage': 13.1}","{'amount': 213, 'percentage': 10.7}",שנה
80-89,"{'amount': 84, 'percentage': 13.4}","{'amount': 74, 'percentage': 11.8}",6 חודשים
80-89,"{'amount': 28, 'percentage': 12.2}","{'amount': 33, 'percentage': 14.4}",3 חודשים
90+,"{'amount': 12, 'percentage': 5.2}","{'amount': 9, 'percentage': 3.9}",3 חודשים
90+,"{'amount': 78, 'percentage': 3.9}","{'amount': 75, 'percentage': 3.8}",שנה
90+,"{'amount': 8, 'percentage': 6}","{'amount': 6, 'percentage': 4.5}",חודש אחרון
90+,"{'amount': 31, 'percentage': 4.9}","{'amount': 28, 'percentage': 4.5}",6 חודשים
90+,"{'amount': 173, 'percentage': 2.6}","{'amount': 166, 'percentage': 2.5}",מתחילת קורונה
