period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,7465,1099,14.72
3_Month,0-9,19316,3520,18.22
6_Month,0-9,106023,45044,42.49
1_Year,0-9,1230804,537630,43.68
All,0-9,1714561,767451,44.76
1_Month,10-19,12196,3271,26.82
3_Month,10-19,29101,7207,24.77
6_Month,10-19,114925,46027,40.05
1_Year,10-19,1153950,576221,49.93
All,10-19,1631329,810124,49.66
1_Month,20-29,18148,4718,26
3_Month,20-29,41630,9056,21.75
6_Month,20-29,153161,59528,38.87
1_Year,20-29,1017439,427989,42.07
All,20-29,1476461,607178,41.12
1_Month,30-39,18294,5080,27.77
3_Month,30-39,41229,10508,25.49
6_Month,30-39,166764,73146,43.86
1_Year,30-39,988547,471299,47.68
All,30-39,1374655,615858,44.8
1_Month,40-49,19708,5771,29.28
3_Month,40-49,43141,11893,27.57
6_Month,40-49,164286,74997,45.65
1_Year,40-49,902989,442087,48.96
All,40-49,1221431,560116,45.86
1_Month,50-59,20355,5965,29.3
3_Month,50-59,43778,12572,28.72
6_Month,50-59,152821,72322,47.32
1_Year,50-59,709163,321060,45.27
All,50-59,957101,401383,41.94
1_Month,60-69,22469,6391,28.44
3_Month,60-69,49837,14591,29.28
6_Month,60-69,164371,79770,48.53
1_Year,60-69,598446,255430,42.68
All,60-69,791289,308064,38.93
1_Month,70-79,24182,6274,25.94
3_Month,70-79,51964,15339,29.52
6_Month,70-79,150103,73692,49.09
1_Year,70-79,399140,173150,43.38
All,70-79,517291,201388,38.93
1_Month,80-89,19908,3374,16.95
3_Month,80-89,34401,7491,21.78
6_Month,80-89,77298,33251,43.02
1_Year,80-89,157176,70655,44.95
All,80-89,221451,85261,38.5
1_Month,90+,7257,1014,13.97
3_Month,90+,11463,1997,17.42
6_Month,90+,21843,8395,38.43
1_Year,90+,37738,17600,46.64
All,90+,58122,22145,38.1
