age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,72226,9379,1505185,4.8,0.6
20-29,239884,65863,1277634,18.8,5.2
30-39,275158,93289,1186386,23.2,7.9
40-49,483178,144483,1080768,44.7,13.4
50-59,503828,196417,832687,60.5,23.6
60-69,541449,377124,735380,73.6,51.3
70-79,419976,319809,462148,90.9,69.2
80-89,186874,137751,222547,84,61.9
90+,43801,32132,50589,86.6,63.5
