section,female,male,period
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",3 חודשים
0-9,"{'amount': 5, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 2, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 6, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 3, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 24, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.1}",שנה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 5, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.5}",6 חודשים
30-39,"{'amount': 5, 'percentage': 0.3}","{'amount': 7, 'percentage': 0.4}",3 חודשים
30-39,"{'amount': 37, 'percentage': 0.3}","{'amount': 53, 'percentage': 0.5}",מתחילת קורונה
30-39,"{'amount': 16, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.6}",שנה
30-39,"{'amount': 1, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.7}",חודש אחרון
40-49,"{'amount': 13, 'percentage': 0.5}","{'amount': 22, 'percentage': 0.8}",6 חודשים
40-49,"{'amount': 4, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.7}",3 חודשים
40-49,"{'amount': 75, 'percentage': 0.7}","{'amount': 120, 'percentage': 1.1}",מתחילת קורונה
40-49,"{'amount': 20, 'percentage': 0.5}","{'amount': 53, 'percentage': 1.2}",שנה
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.7}",חודש אחרון
50-59,"{'amount': 3, 'percentage': 2}","{'amount': 3, 'percentage': 2}",חודש אחרון
50-59,"{'amount': 42, 'percentage': 1.6}","{'amount': 68, 'percentage': 2.6}",6 חודשים
50-59,"{'amount': 81, 'percentage': 1.9}","{'amount': 133, 'percentage': 3.1}",שנה
50-59,"{'amount': 21, 'percentage': 1.3}","{'amount': 37, 'percentage': 2.3}",3 חודשים
50-59,"{'amount': 199, 'percentage': 1.9}","{'amount': 381, 'percentage': 3.5}",מתחילת קורונה
60-69,"{'amount': 111, 'percentage': 4.3}","{'amount': 184, 'percentage': 7.1}",6 חודשים
60-69,"{'amount': 66, 'percentage': 4.1}","{'amount': 115, 'percentage': 7.1}",3 חודשים
60-69,"{'amount': 551, 'percentage': 5.1}","{'amount': 991, 'percentage': 9.2}",מתחילת קורונה
60-69,"{'amount': 250, 'percentage': 5.8}","{'amount': 351, 'percentage': 8.1}",שנה
60-69,"{'amount': 8, 'percentage': 5.2}","{'amount': 4, 'percentage': 2.6}",חודש אחרון
70-79,"{'amount': 16, 'percentage': 10.5}","{'amount': 19, 'percentage': 12.4}",חודש אחרון
70-79,"{'amount': 256, 'percentage': 9.8}","{'amount': 342, 'percentage': 13.2}",6 חודשים
70-79,"{'amount': 432, 'percentage': 10}","{'amount': 601, 'percentage': 13.9}",שנה
70-79,"{'amount': 162, 'percentage': 10}","{'amount': 223, 'percentage': 13.8}",3 חודשים
70-79,"{'amount': 1028, 'percentage': 9.6}","{'amount': 1627, 'percentage': 15.2}",מתחילת קורונה
80-89,"{'amount': 465, 'percentage': 17.9}","{'amount': 489, 'percentage': 18.8}",6 חודשים
80-89,"{'amount': 284, 'percentage': 17.6}","{'amount': 325, 'percentage': 20.2}",3 חודשים
80-89,"{'amount': 1727, 'percentage': 16.1}","{'amount': 1890, 'percentage': 17.6}",מתחילת קורונה
80-89,"{'amount': 738, 'percentage': 17}","{'amount': 777, 'percentage': 17.9}",שנה
80-89,"{'amount': 26, 'percentage': 17}","{'amount': 26, 'percentage': 17}",חודש אחרון
90+,"{'amount': 302, 'percentage': 11.6}","{'amount': 269, 'percentage': 10.3}",6 חודשים
90+,"{'amount': 171, 'percentage': 10.6}","{'amount': 169, 'percentage': 10.5}",3 חודשים
90+,"{'amount': 1126, 'percentage': 10.5}","{'amount': 858, 'percentage': 8}",מתחילת קורונה
90+,"{'amount': 463, 'percentage': 10.7}","{'amount': 369, 'percentage': 8.5}",שנה
90+,"{'amount': 24, 'percentage': 15.7}","{'amount': 21, 'percentage': 13.7}",חודש אחרון
