instituteDesc,occupancy,occupancyDate,occupancyAvg,occupancyAvgLastYear,gOccupancy,gOccupancyAvg,gOccupancyAvgLastYear
שיבא,92.9,2021-05-11T00:00:00.000Z,,,103.2,,
רבין ק. בילינסון,107.5,2021-05-11T00:00:00.000Z,,,90.7,,
סורוקה,61.6,2021-05-11T00:00:00.000Z,,,67.5,,
אסותא אשדוד,147.5,2021-05-11T00:00:00.000Z,,,143.3,,
שמואל הרופא,94.4,2021-05-11T00:00:00.000Z,,,84.8,,
כלל המוסדות,90.1,2021-05-11T00:00:00.000Z,,,87.1,,
רבין ק. בילינסון,91.6,2021-05-12T00:00:00.000Z,107.5,102.6,83.2,90.7,89.9
סורוקה,50.4,2021-05-12T00:00:00.000Z,61.6,58.5,60.2,67.5,64.8
אסותא אשדוד,142.4,2021-05-12T00:00:00.000Z,147.5,,144.7,143.3,
שמואל הרופא,97.2,2021-05-12T00:00:00.000Z,94.4,,85.3,84.8,
כלל המוסדות,81.2,2021-05-12T00:00:00.000Z,90.1,78.6,82.4,87.1,77.8
רבין ק. בילינסון,85,2021-05-13T00:00:00.000Z,99.6,103.7,75.1,86.9,89.3
סורוקה,41.9,2021-05-13T00:00:00.000Z,56,56.6,55.1,63.9,66.3
אסותא אשדוד,135.6,2021-05-13T00:00:00.000Z,144.9,,132.8,144,
שמואל הרופא,80.6,2021-05-13T00:00:00.000Z,95.8,,81.2,85,
כלל המוסדות,73.9,2021-05-13T00:00:00.000Z,85.7,77.6,76.2,84.7,77.9
רבין ק. בילינסון,75.3,2021-05-14T00:00:00.000Z,94.7,102.9,69.5,83,89
סורוקה,45,2021-05-14T00:00:00.000Z,51.3,55.8,54.6,60.9,66.5
אסותא אשדוד,118.6,2021-05-14T00:00:00.000Z,141.8,,119.1,140.3,
שמואל הרופא,80.6,2021-05-14T00:00:00.000Z,90.7,,81.2,83.8,
כלל המוסדות,71.8,2021-05-14T00:00:00.000Z,81.7,76.5,68.2,81.9,77.8
רבין ק. בילינסון,80.2,2021-05-15T00:00:00.000Z,89.9,100.3,70.7,79.6,86.7
סורוקה,50,2021-05-15T00:00:00.000Z,49.7,54.5,56.6,59.4,65.8
אסותא אשדוד,106.8,2021-05-15T00:00:00.000Z,136,,95.6,135,
שמואל הרופא,80.6,2021-05-15T00:00:00.000Z,88.2,,81.8,83.1,
כלל המוסדות,78.5,2021-05-15T00:00:00.000Z,79.3,74.9,70.7,78.5,76.9
רבין ק. בילינסון,83.3,2021-05-16T00:00:00.000Z,87.9,98.3,66.6,77.8,84.5
סורוקה,59.3,2021-05-16T00:00:00.000Z,49.8,53.8,57.4,58.8,65.2
אסותא אשדוד,128.8,2021-05-16T00:00:00.000Z,130.2,,104.1,127.1,
שמואל הרופא,80.6,2021-05-16T00:00:00.000Z,86.7,,80.4,82.9,
כלל המוסדות,77.5,2021-05-16T00:00:00.000Z,79.1,74.1,67.5,76.9,75.2
רבין ק. בילינסון,93,2021-05-17T00:00:00.000Z,87.2,99,74.9,75.9,84.7
סורוקה,67.1,2021-05-17T00:00:00.000Z,51.4,55.2,65.2,58.6,65.7
אסותא אשדוד,120.3,2021-05-17T00:00:00.000Z,129.9,,89.4,123.3,
שמואל הרופא,94.4,2021-05-17T00:00:00.000Z,85.6,,83.3,82.5,
כלל המוסדות,85.6,2021-05-17T00:00:00.000Z,78.8,74.9,73.5,75.3,75.1
רבין ק. בילינסון,97.4,2021-05-18T00:00:00.000Z,88,99.3,81.6,75.8,85.1
סורוקה,65.1,2021-05-18T00:00:00.000Z,53.6,56.6,65.7,59.5,66.1
אסותא אשדוד,135.6,2021-05-18T00:00:00.000Z,128.6,,114.3,118.4,
שמואל הרופא,91.7,2021-05-18T00:00:00.000Z,86.9,,82.7,82.6,
כלל המוסדות,85.8,2021-05-18T00:00:00.000Z,79.8,75.9,81.1,75.1,79.8
רבין ק. בילינסון,99.1,2021-05-19T00:00:00.000Z,86.5,98.2,84.8,74.5,84.7
סורוקה,54.7,2021-05-19T00:00:00.000Z,54.1,57,61.9,59.3,66.5
אסותא אשדוד,140.7,2021-05-19T00:00:00.000Z,126.9,,122.9,114.3,
שמואל הרופא,88.9,2021-05-19T00:00:00.000Z,86.5,,85.3,82.3,
כלל המוסדות,84.6,2021-05-19T00:00:00.000Z,79.2,76.7,82.6,74.2,84.4
שיבא,79.5,2021-05-20T00:00:00.000Z,81.5,85.4,93.6,91.9,85.6
רבין ק. בילינסון,90.3,2021-05-20T00:00:00.000Z,87.6,97,77.5,74.7,84.5
סורוקה,54.7,2021-05-20T00:00:00.000Z,54.7,58.8,59.3,59.5,67.2
אסותא אשדוד,149.2,2021-05-20T00:00:00.000Z,126.6,,122.2,111.2,
שמואל הרופא,88.9,2021-05-20T00:00:00.000Z,85.3,,84.5,82.3,
כלל המוסדות,81.9,2021-05-20T00:00:00.000Z,79.7,77.5,79.9,74.2,89
שיבא,84.9,2021-05-21T00:00:00.000Z,82.4,88,91.1,91.8,86.5
רבין ק. בילינסון,85.5,2021-05-21T00:00:00.000Z,88.4,97.2,72.9,75.1,84.9
סורוקה,63.2,2021-05-21T00:00:00.000Z,56.5,60.6,60,60.1,68.3
אסותא אשדוד,135.6,2021-05-21T00:00:00.000Z,128.6,,98.3,109.7,
שמואל הרופא,94.4,2021-05-21T00:00:00.000Z,86.5,,84.5,82.7,
כלל המוסדות,84.1,2021-05-21T00:00:00.000Z,80.8,78.8,73.4,74.8,93.8
רבין ק. בילינסון,94.3,2021-05-22T00:00:00.000Z,89.8,98.7,78.7,75.6,85.6
סורוקה,70.2,2021-05-22T00:00:00.000Z,59.1,63.2,67.9,60.9,68.9
אסותא אשדוד,139,2021-05-22T00:00:00.000Z,131,,104.4,106.7,
שמואל הרופא,97.2,2021-05-22T00:00:00.000Z,88.5,,85.6,83.2,
כלל המוסדות,91.9,2021-05-22T00:00:00.000Z,82.6,80.5,79,75.5,98.4
רבין ק. בילינסון,106.6,2021-05-23T00:00:00.000Z,91.8,99.6,88.3,76.7,85.8
סורוקה,72.1,2021-05-23T00:00:00.000Z,62,64.5,73.3,62.5,68.9
אסותא אשדוד,183.1,2021-05-23T00:00:00.000Z,135.6,,139.9,107.9,
שמואל הרופא,100,2021-05-23T00:00:00.000Z,90.9,,86.5,83.7,
כלל המוסדות,93.3,2021-05-23T00:00:00.000Z,84.5,81.9,86.5,76.7,102.6
רבין ק. בילינסון,105.3,2021-05-24T00:00:00.000Z,95.2,100.1,92.2,79.8,85.3
סורוקה,70.9,2021-05-24T00:00:00.000Z,63.8,65.2,75.9,64.8,68.9
אסותא אשדוד,193.2,2021-05-24T00:00:00.000Z,143.3,,153.2,113.1,
שמואל הרופא,94.4,2021-05-24T00:00:00.000Z,93.7,,85.3,84.6,
כלל המוסדות,94.4,2021-05-24T00:00:00.000Z,86.7,83.3,88.3,79.4,106.8
רבין ק. בילינסון,100.4,2021-05-25T00:00:00.000Z,96.9,100.3,91.3,82.3,85
סורוקה,68.6,2021-05-25T00:00:00.000Z,64.4,65.9,75.2,66.3,69
אסותא אשדוד,179.7,2021-05-25T00:00:00.000Z,153.8,,156.3,122.2,
שמואל הרופא,91.7,2021-05-25T00:00:00.000Z,93.7,,84.5,84.9,
כלל המוסדות,92,2021-05-25T00:00:00.000Z,88,83.8,89.8,81.5,106.8
רבין ק. בילינסון,89.9,2021-05-26T00:00:00.000Z,97.4,100.4,88.1,83.7,85.1
סורוקה,57.8,2021-05-26T00:00:00.000Z,64.9,66.5,73,67.7,69.2
אסותא אשדוד,179.7,2021-05-26T00:00:00.000Z,160,,154.3,128.2,
שמואל הרופא,97.2,2021-05-26T00:00:00.000Z,93.7,,86.2,85.2,
כלל המוסדות,91.6,2021-05-26T00:00:00.000Z,88.9,83.8,88.8,82.8,106.6
רבין ק. בילינסון,80.6,2021-05-27T00:00:00.000Z,96,99.4,76.8,84.1,84.7
סורוקה,53.1,2021-05-27T00:00:00.000Z,65.3,65.8,69.8,69.2,68.9
אסותא אשדוד,186.4,2021-05-27T00:00:00.000Z,165.6,,152.2,132.7,
שמואל הרופא,97.2,2021-05-27T00:00:00.000Z,94.8,,86.5,85.3,
כלל המוסדות,84.2,2021-05-27T00:00:00.000Z,89.9,83.7,83.5,83.7,106.5
רבין ק. בילינסון,82.4,2021-05-28T00:00:00.000Z,94.7,95.5,72.9,84,83
סורוקה,58.1,2021-05-28T00:00:00.000Z,65.1,64,67,70.7,67.5
אסותא אשדוד,181.4,2021-05-28T00:00:00.000Z,170.9,,132.8,137,
שמואל הרופא,100,2021-05-28T00:00:00.000Z,96,,86.2,85.6,
כלל המוסדות,85.9,2021-05-28T00:00:00.000Z,90.2,87.4,76.1,84.2,117
רבין ק. בילינסון,95.2,2021-05-29T00:00:00.000Z,94.2,90.8,80.4,84,80.3
סורוקה,68.2,2021-05-29T00:00:00.000Z,64.4,61.7,72.4,71.7,66.3
אסותא אשדוד,150.8,2021-05-29T00:00:00.000Z,177.5,,120.1,141.9,
שמואל הרופא,108.3,2021-05-29T00:00:00.000Z,96.8,,88,85.8,
כלל המוסדות,94.8,2021-05-29T00:00:00.000Z,90.5,89.9,81.8,84.6,126
רבין ק. בילינסון,101.8,2021-05-30T00:00:00.000Z,94.3,87.7,84.8,84.3,79.2
סורוקה,72.9,2021-05-30T00:00:00.000Z,64.1,60.7,78.9,72.4,66.1
אסותא אשדוד,174.6,2021-05-30T00:00:00.000Z,179.2,,150.5,144.1,
שמואל הרופא,105.6,2021-05-30T00:00:00.000Z,98.4,,87.1,86.2,
כלל המוסדות,94.7,2021-05-30T00:00:00.000Z,90.9,93.1,89.3,85,136.6
רבין ק. בילינסון,101.8,2021-05-31T00:00:00.000Z,93.6,85.1,89.3,83.8,77.9
סורוקה,74,2021-05-31T00:00:00.000Z,64.2,60.7,79.1,73.2,66.2
אסותא אשדוד,174.6,2021-05-31T00:00:00.000Z,178,,151.2,145.6,
שמואל הרופא,108.3,2021-05-31T00:00:00.000Z,99.2,,87.1,86.3,
כלל המוסדות,96,2021-05-31T00:00:00.000Z,91.1,96.2,90,85.4,147.1
רבין ק. בילינסון,101.3,2021-06-01T00:00:00.000Z,93.1,84.3,91.4,83.4,77.8
סורוקה,69.8,2021-06-01T00:00:00.000Z,64.7,60.5,76.7,73.6,66.6
אסותא אשדוד,167.8,2021-06-01T00:00:00.000Z,175.3,,154.6,145.3,
שמואל הרופא,100,2021-06-01T00:00:00.000Z,101.2,,84.8,86.5,
כלל המוסדות,93.4,2021-06-01T00:00:00.000Z,91.3,100.1,89.8,85.6,158.1
רבין ק. בילינסון,102.6,2021-06-02T00:00:00.000Z,93.3,83.4,89,83.4,77.5
סורוקה,65.5,2021-06-02T00:00:00.000Z,64.8,60.8,73.8,73.8,67.5
אסותא אשדוד,181.4,2021-06-02T00:00:00.000Z,173.6,,167.6,145.1,
שמואל הרופא,94.4,2021-06-02T00:00:00.000Z,102.4,97.2,83.6,86.6,73.6
כלל המוסדות,90.9,2021-06-02T00:00:00.000Z,91.5,99.7,89,85.6,154
רבין ק. בילינסון,92.5,2021-06-03T00:00:00.000Z,95.1,83.8,83,83.5,78
סורוקה,51.6,2021-06-03T00:00:00.000Z,65.9,60.9,66.5,73.9,68.3
אסותא אשדוד,176.3,2021-06-03T00:00:00.000Z,173.8,,156.7,147,
שמואל הרופא,97.2,2021-06-03T00:00:00.000Z,102,90.3,85,86.2,72.6
כלל המוסדות,83.5,2021-06-03T00:00:00.000Z,91.4,99.6,83,85.6,149.8
רבין ק. בילינסון,95.6,2021-06-04T00:00:00.000Z,96.8,85.5,79.3,84.4,79.3
סורוקה,58.9,2021-06-04T00:00:00.000Z,65.7,61.8,66.9,73.5,69.3
אסותא אשדוד,167.8,2021-06-04T00:00:00.000Z,172.4,,133.8,147.6,
שמואל הרופא,94.4,2021-06-04T00:00:00.000Z,102,88,83.9,86,72.4
כלל המוסדות,83.9,2021-06-04T00:00:00.000Z,91.3,95.4,76.2,85.6,134.9
רבין ק. בילינסון,110.6,2021-06-05T00:00:00.000Z,98.7,87.4,87.8,85.3,80.8
סורוקה,73.3,2021-06-05T00:00:00.000Z,65.8,62.4,75.5,73.5,70.1
אסותא אשדוד,150.8,2021-06-05T00:00:00.000Z,170.5,,112.6,147.8,
שמואל הרופא,97.2,2021-06-05T00:00:00.000Z,101.2,87.5,84.8,85.6,72.4
כלל המוסדות,93.9,2021-06-05T00:00:00.000Z,91,91.8,82.1,85.6,121.4
רבין ק. בילינסון,111.9,2021-06-06T00:00:00.000Z,100.9,89,89.2,86.4,81.3
סורוקה,81,2021-06-06T00:00:00.000Z,66.6,63,78.5,73.9,70.2
אסותא אשדוד,164.4,2021-06-06T00:00:00.000Z,170.5,,139.6,146.7,
שמואל הרופא,100,2021-06-06T00:00:00.000Z,99.6,86.7,86.5,85.2,71.8
כלל המוסדות,94.4,2021-06-06T00:00:00.000Z,90.9,87.6,88.9,85.6,106.5
רבין ק. בילינסון,104.4,2021-06-07T00:00:00.000Z,102.3,89.7,92.3,87,82.3
סורוקה,75.2,2021-06-07T00:00:00.000Z,67.7,63,80.6,73.9,70.3
אסותא אשדוד,172.9,2021-06-07T00:00:00.000Z,169,,146.4,145.1,
שמואל הרופא,102.8,2021-06-07T00:00:00.000Z,98.8,86.1,89.1,85.1,71.6
כלל המוסדות,93.5,2021-06-07T00:00:00.000Z,90.9,83.7,90.5,85.6,91.9
רבין ק. בילינסון,106.6,2021-06-08T00:00:00.000Z,102.7,90,92,87.4,82.5
סורוקה,70.9,2021-06-08T00:00:00.000Z,67.9,61.7,81.7,74.1,69.9
אסותא אשדוד,166.1,2021-06-08T00:00:00.000Z,168.8,,149.1,144.5,
שמואל הרופא,94.4,2021-06-08T00:00:00.000Z,98,85.3,87.1,85.4,71.4
כלל המוסדות,91.2,2021-06-08T00:00:00.000Z,90.5,79.8,91.4,85.6,77.1
רבין ק. בילינסון,107,2021-06-09T00:00:00.000Z,103.5,89.2,91.6,87.5,82.2
סורוקה,73.6,2021-06-09T00:00:00.000Z,68.1,60.2,79.6,74.8,69.3
אסותא אשדוד,164.4,2021-06-09T00:00:00.000Z,168.5,,142.7,143.7,
שמואל הרופא,94.4,2021-06-09T00:00:00.000Z,97.2,82.5,87.4,85.7,71.1
כלל המוסדות,90.1,2021-06-09T00:00:00.000Z,90.2,80.5,90.7,85.9,78
רבין ק. בילינסון,95.2,2021-06-10T00:00:00.000Z,104.1,87.7,82.6,87.9,81.2
סורוקה,65.1,2021-06-10T00:00:00.000Z,69.2,59.7,73.5,75.6,68.5
אסותא אשדוד,174.6,2021-06-10T00:00:00.000Z,166.1,,149.5,140.1,
שמואל הרופא,94.4,2021-06-10T00:00:00.000Z,97.2,81.3,87.1,86.3,71.3
כלל המוסדות,84.1,2021-06-10T00:00:00.000Z,90.1,80.8,85.5,86.1,78.6
רבין ק. בילינסון,91.6,2021-06-11T00:00:00.000Z,104.5,87.5,75.7,87.8,80.5
סורוקה,60.5,2021-06-11T00:00:00.000Z,71.2,59.9,68.5,76.6,68.5
אסותא אשדוד,164.4,2021-06-11T00:00:00.000Z,165.9,,133.4,139.1,
שמואל הרופא,91.7,2021-06-11T00:00:00.000Z,96.8,80.2,85.3,86.6,71.3
כלל המוסדות,84.5,2021-06-11T00:00:00.000Z,90.2,81.3,78,86.5,79.2
רבין ק. בילינסון,104.8,2021-06-12T00:00:00.000Z,103.9,86.6,84.4,87.3,80
סורוקה,64.3,2021-06-12T00:00:00.000Z,71.4,60.5,73.6,76.9,68.8
אסותא אשדוד,161,2021-06-12T00:00:00.000Z,165.4,,123.9,139.1,
שמואל הרופא,94.4,2021-06-12T00:00:00.000Z,96.4,78.2,85.9,86.8,71.3
כלל המוסדות,92.7,2021-06-12T00:00:00.000Z,90.2,82.2,83.5,86.7,79.8
רבין ק. בילינסון,113.2,2021-06-13T00:00:00.000Z,103.1,85,92.6,86.8,79.2
סורוקה,74.4,2021-06-13T00:00:00.000Z,70.1,61,81,76.6,69.3
אסותא אשדוד,172.9,2021-06-13T00:00:00.000Z,166.8,,148.5,140.7,
שמואל הרופא,100,2021-06-13T00:00:00.000Z,96,76.6,86.2,86.9,71.5
כלל המוסדות,95.3,2021-06-13T00:00:00.000Z,90.1,83,90.7,86.9,80.2
רבין ק. בילינסון,111.9,2021-06-14T00:00:00.000Z,103.3,83.5,95,87.3,78.5
סורוקה,72.5,2021-06-14T00:00:00.000Z,69.2,61.1,81.7,76.9,69.5
אסותא אשדוד,164.4,2021-06-14T00:00:00.000Z,168,,147.1,141.9,
שמואל הרופא,105.6,2021-06-14T00:00:00.000Z,96,75.4,88.6,86.9,71.8
כלל המוסדות,96.3,2021-06-14T00:00:00.000Z,90.2,83.7,91.9,87.2,80.7
רבין ק. בילינסון,112.3,2021-06-15T00:00:00.000Z,104.3,82.9,93.4,87.7,78.3
סורוקה,70.2,2021-06-15T00:00:00.000Z,68.8,63.1,80.6,77.1,69.9
אסותא אשדוד,166.1,2021-06-15T00:00:00.000Z,166.8,,152.2,142,
שמואל הרופא,102.8,2021-06-15T00:00:00.000Z,96.4,75,88.3,86.8,72.1
כלל המוסדות,93.9,2021-06-15T00:00:00.000Z,90.6,84.3,92.4,87.4,81.1
רבין ק. בילינסון,108.4,2021-06-16T00:00:00.000Z,105.2,84.3,92.7,87.9,78.8
סורוקה,70.2,2021-06-16T00:00:00.000Z,68.7,64.8,81.1,76.9,70.3
אסותא אשדוד,167.8,2021-06-16T00:00:00.000Z,166.8,,145.7,142.5,
שמואל הרופא,105.6,2021-06-16T00:00:00.000Z,97.6,75,89.1,87,72.5
כלל המוסדות,92.3,2021-06-16T00:00:00.000Z,91,84.7,91.2,87.5,81.3
רבין ק. בילינסון,103.1,2021-06-17T00:00:00.000Z,105.3,87.5,87.2,88.1,79.7
סורוקה,57.4,2021-06-17T00:00:00.000Z,68.2,66.9,72.6,77.2,71.2
אסותא אשדוד,171.2,2021-06-17T00:00:00.000Z,167.3,,143.7,142.9,
שמואל הרופא,100,2021-06-17T00:00:00.000Z,99.2,75.4,88.9,87.2,72.6
כלל המוסדות,85.3,2021-06-17T00:00:00.000Z,91.3,85.2,85,87.6,81.5
רבין ק. בילינסון,88.1,2021-06-18T00:00:00.000Z,106.5,89.3,75.3,88.7,80.5
סורוקה,58.9,2021-06-18T00:00:00.000Z,67.1,67.8,69.2,77,71.5
אסותא אשדוד,166.1,2021-06-18T00:00:00.000Z,166.8,,124.6,142.1,
שמואל הרופא,100,2021-06-18T00:00:00.000Z,100,75,88.3,87.5,72.6
כלל המוסדות,84.5,2021-06-18T00:00:00.000Z,91.5,85.3,76.8,87.5,81.5
רבין ק. בילינסון,97.8,2021-06-19T00:00:00.000Z,106,91.9,83.4,88.7,81.8
סורוקה,73.3,2021-06-19T00:00:00.000Z,66.8,67.4,76.9,77.1,71.7
אסותא אשדוד,152.5,2021-06-19T00:00:00.000Z,167.1,,117.1,140.8,
שמואל הרופא,105.6,2021-06-19T00:00:00.000Z,101.2,74.2,89.4,87.9,72.4
כלל המוסדות,93.7,2021-06-19T00:00:00.000Z,91.5,85,82.6,87.4,81.5
רבין ק. בילינסון,99.1,2021-06-20T00:00:00.000Z,105,94.8,89.3,88.5,83.2
סורוקה,75.2,2021-06-20T00:00:00.000Z,68.1,67.1,81.1,77.6,71.5
אסותא אשדוד,176.3,2021-06-20T00:00:00.000Z,165.9,,144.7,139.8,
שמואל הרופא,105.6,2021-06-20T00:00:00.000Z,102.8,73.8,88.3,88.4,72.2
כלל המוסדות,93.4,2021-06-20T00:00:00.000Z,91.6,84.8,89.3,87.2,81.6
רבין ק. בילינסון,100,2021-06-21T00:00:00.000Z,103,98.6,91.3,88,84.9
סורוקה,75.2,2021-06-21T00:00:00.000Z,68.2,66.7,85.7,77.6,71.3
אסותא אשדוד,176.3,2021-06-21T00:00:00.000Z,166.3,,154.6,139.3,
שמואל הרופא,100,2021-06-21T00:00:00.000Z,103.6,73.8,87.4,88.7,72
כלל המוסדות,94.6,2021-06-21T00:00:00.000Z,91.3,84.6,91.1,87,81.6
רבין ק. בילינסון,104,2021-06-22T00:00:00.000Z,101.3,100.1,93.4,87.5,85.7
סורוקה,82.2,2021-06-22T00:00:00.000Z,68.6,66.4,88.5,78.2,71.7
אסותא אשדוד,181.4,2021-06-22T00:00:00.000Z,168,,154.9,140.4,
שמואל הרופא,97.2,2021-06-22T00:00:00.000Z,102.8,73.4,85.9,88.5,71.8
כלל המוסדות,94.1,2021-06-22T00:00:00.000Z,91.1,84.2,91.6,86.9,81.5
רבין ק. בילינסון,104,2021-06-23T00:00:00.000Z,100.1,100.7,94.5,87.5,86.5
סורוקה,74,2021-06-23T00:00:00.000Z,70.3,65.2,83.6,79.3,71.7
אסותא אשדוד,178,2021-06-23T00:00:00.000Z,170.2,,162.1,140.8,
שמואל הרופא,94.4,2021-06-23T00:00:00.000Z,102,73.4,85.9,88.2,71.5
כלל המוסדות,91.3,2021-06-23T00:00:00.000Z,91.1,83.4,90.1,86.8,81.4
רבין ק. בילינסון,101.8,2021-06-24T00:00:00.000Z,99.4,98.5,88.4,87.8,86.4
סורוקה,65.9,2021-06-24T00:00:00.000Z,70.9,62.5,75.5,79.7,71
אסותא אשדוד,179.7,2021-06-24T00:00:00.000Z,171.7,,158.7,143.1,
שמואל הרופא,88.9,2021-06-24T00:00:00.000Z,100.4,72.2,85.9,87.7,70.9
כלל המוסדות,85.5,2021-06-24T00:00:00.000Z,91,82.2,85.5,86.6,81.1
רבין ק. בילינסון,96,2021-06-25T00:00:00.000Z,99.2,96.7,82.4,87.9,86.2
סורוקה,72.9,2021-06-25T00:00:00.000Z,72.1,61.2,75,80.1,70.6
אסותא אשדוד,174.6,2021-06-25T00:00:00.000Z,172.9,,133.4,145.2,
שמואל הרופא,88.9,2021-06-25T00:00:00.000Z,98.8,72.2,84.8,87.3,70.7
כלל המוסדות,88.1,2021-06-25T00:00:00.000Z,91,81.5,78.6,86.7,80.9
רבין ק. בילינסון,110.1,2021-06-26T00:00:00.000Z,100.4,94.4,90.3,88.9,86
סורוקה,80.2,2021-06-26T00:00:00.000Z,74.1,61.1,81.6,80.9,70.6
אסותא אשדוד,164.4,2021-06-26T00:00:00.000Z,174.1,,120.5,146.5,
שמואל הרופא,102.8,2021-06-26T00:00:00.000Z,97.2,73.4,87.7,86.8,70.7
כלל המוסדות,97,2021-06-26T00:00:00.000Z,91.5,81,84.7,87,80.8
רבין ק. בילינסון,114.1,2021-06-27T00:00:00.000Z,102.1,92.3,94,89.9,85.6
סורוקה,80.6,2021-06-27T00:00:00.000Z,75.1,61.2,85.5,81.6,70.8
אסותא אשדוד,189.8,2021-06-27T00:00:00.000Z,175.8,,154.6,147,
שמואל הרופא,102.8,2021-06-27T00:00:00.000Z,96.8,74.6,88,86.6,70.8
כלל המוסדות,97.1,2021-06-27T00:00:00.000Z,92,80.5,91.7,87.3,80.6
רבין ק. בילינסון,111.9,2021-06-28T00:00:00.000Z,104.3,89.4,94.5,90.6,84.7
סורוקה,72.9,2021-06-28T00:00:00.000Z,75.9,61.1,83.5,82.2,71.1
אסותא אשדוד,188.1,2021-06-28T00:00:00.000Z,177.7,,160.4,148.4,
שמואל הרופא,100,2021-06-28T00:00:00.000Z,96.4,75.4,87.1,86.5,70.8
כלל המוסדות,96.1,2021-06-28T00:00:00.000Z,92.5,79.7,92.2,87.6,80.3
רבין ק. בילינסון,114.5,2021-06-29T00:00:00.000Z,106,87.5,95.6,91.1,83.4
סורוקה,79.1,2021-06-29T00:00:00.000Z,75.5,60.9,84.6,81.9,70.5
אסותא אשדוד,167.8,2021-06-29T00:00:00.000Z,179.4,,154.9,149.2,
שמואל הרופא,100,2021-06-29T00:00:00.000Z,96.4,76.2,86.5,86.5,70.9
כלל המוסדות,94.7,2021-06-29T00:00:00.000Z,92.7,79.2,92.4,87.8,80.2
רבין ק. בילינסון,101.8,2021-06-30T00:00:00.000Z,107.5,86.4,92.1,91.4,82.5
סורוקה,70.9,2021-06-30T00:00:00.000Z,75.1,61.4,80.8,81.3,70.5
אסותא אשדוד,184.7,2021-06-30T00:00:00.000Z,177.5,,143.7,149.2,
שמואל הרופא,94.4,2021-06-30T00:00:00.000Z,96.8,75.8,85.9,86.6,70.8
כלל המוסדות,91.1,2021-06-30T00:00:00.000Z,92.8,79.4,90.5,87.9,80.2
רבין ק. בילינסון,104,2021-07-01T00:00:00.000Z,107.2,86,87.9,91,82
סורוקה,60.1,2021-07-01T00:00:00.000Z,74.6,62.3,73.4,80.9,71.3
אסותא אשדוד,189.8,2021-07-01T00:00:00.000Z,178.5,,137.2,146.6,
שמואל הרופא,91.7,2021-07-01T00:00:00.000Z,96.8,77,85.9,86.6,71
כלל המוסדות,87.9,2021-07-01T00:00:00.000Z,92.8,79.7,83.6,87.9,80.3
רבין ק. בילינסון,96,2021-07-02T00:00:00.000Z,107.5,85.8,80.8,91,82
סורוקה,58.9,2021-07-02T00:00:00.000Z,73.8,63,68.2,80.6,71.9
אסותא אשדוד,183.1,2021-07-02T00:00:00.000Z,179.9,,125.9,143.5,
שמואל הרופא,91.7,2021-07-02T00:00:00.000Z,97.2,77,85,86.6,70.9
כלל המוסדות,87.5,2021-07-02T00:00:00.000Z,93.1,79.7,75.9,87.7,80.4
רבין ק. בילינסון,104.4,2021-07-03T00:00:00.000Z,107.5,85,87.3,90.7,81.6
סורוקה,74,2021-07-03T00:00:00.000Z,71.8,62.3,75.8,79.7,72.2
אסותא אשדוד,159.3,2021-07-03T00:00:00.000Z,181.1,,118.1,142.5,
שמואל הרופא,100,2021-07-03T00:00:00.000Z,97.6,76.2,86.8,86.6,70.8
כלל המוסדות,96.1,2021-07-03T00:00:00.000Z,93.1,79.6,81.8,87.3,80.5
רבין ק. בילינסון,104,2021-07-04T00:00:00.000Z,106.7,83.3,88.5,90.3,81.1
סורוקה,84.9,2021-07-04T00:00:00.000Z,70.9,62.5,82.6,78.8,72.2
אסותא אשדוד,176.3,2021-07-04T00:00:00.000Z,180.4,,143.3,142.1,
שמואל הרופא,105.6,2021-07-04T00:00:00.000Z,97.2,75.4,88.3,86.5,70.7
כלל המוסדות,96.7,2021-07-04T00:00:00.000Z,92.9,79.7,90,86.9,80.8
רבין ק. בילינסון,88.5,2021-07-05T00:00:00.000Z,105.2,81.9,87.1,89.5,80.6
סורוקה,73.6,2021-07-05T00:00:00.000Z,71.5,63.6,79.2,78.4,72.2
אסותא אשדוד,183.1,2021-07-05T00:00:00.000Z,178.5,,159.4,140.5,
שמואל הרופא,105.6,2021-07-05T00:00:00.000Z,97.6,74.6,89.1,86.5,70.8
כלל המוסדות,93.2,2021-07-05T00:00:00.000Z,92.9,79.8,90.4,86.6,81
רבין ק. בילינסון,91.2,2021-07-06T00:00:00.000Z,101.9,80.1,91,88.5,80.5
סורוקה,77.1,2021-07-06T00:00:00.000Z,71.7,63.6,82.6,77.8,72.7
אסותא אשדוד,186.4,2021-07-06T00:00:00.000Z,177.7,,161.4,140.4,
שמואל הרופא,102.8,2021-07-06T00:00:00.000Z,98.4,74.2,87.4,86.8,70.7
כלל המוסדות,91.9,2021-07-06T00:00:00.000Z,92.5,79.5,90.9,86.4,81.1
רבין ק. בילינסון,97.8,2021-07-07T00:00:00.000Z,98.6,78.3,90.7,87.8,80.4
סורוקה,70.5,2021-07-07T00:00:00.000Z,71.4,63.7,79.5,77.5,72.9
אסותא אשדוד,152.5,2021-07-07T00:00:00.000Z,180.4,,118.8,141.3,
שמואל הרופא,97.2,2021-07-07T00:00:00.000Z,98.8,74.2,87.4,86.9,70.9
כלל המוסדות,88.2,2021-07-07T00:00:00.000Z,92.1,78.9,89,86.2,81
רבין ק. בילינסון,92.5,2021-07-08T00:00:00.000Z,98,77.1,83.5,87.6,80.4
