gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,60-69,3 חודשים,20457,5.8,40,5.5,57,13.3,208,7.9,767,7
זכר,60-69,6 חודשים,41570,5.4,58,5.1,103,14.1,317,8,1216,7.3
זכר,60-69,שנה,102971,3.1,294,7.3,291,12.9,997,8.8,2868,7.1
זכר,60-69,מתחילת קורונה,132868,2.9,1042,8.9,994,15.3,3498,11,7262,8.2
זכר,60-69,חודש אחרון,1684,5.8,4,6,21,20.2,19,6.8,122,8
נקבה,60-69,שנה,146893,4.4,179,4.5,173,7.6,706,6.3,2155,5.3
נקבה,60-69,6 חודשים,61216,7.9,32,2.8,48,6.6,202,5.1,932,5.6
נקבה,60-69,3 חודשים,29346,8.3,15,2.1,25,5.9,131,5,602,5.5
נקבה,60-69,מתחילת קורונה,179475,3.9,574,4.9,528,8.1,2362,7.4,5374,6.1
נקבה,60-69,חודש אחרון,2766,9.5,3,4.5,9,8.7,14,5,93,6.1
זכר,70-79,שנה,73374,2.2,528,13.2,347,15.3,1518,13.5,4113,10.2
זכר,70-79,6 חודשים,38687,5,157,13.7,138,18.9,571,14.5,2050,12.3
זכר,70-79,3 חודשים,19757,5.6,95,13.1,75,17.6,388,14.7,1365,12.4
זכר,70-79,מתחילת קורונה,88595,1.9,1753,15,1106,17,4093,12.9,8349,9.5
זכר,70-79,חודש אחרון,1966,6.7,12,17.9,12,11.5,51,18.2,238,15.7
נקבה,70-79,שנה,91373,2.7,398,9.9,242,10.7,1203,10.7,3380,8.4
נקבה,70-79,6 חודשים,49231,6.3,103,9,75,10.3,424,10.8,1609,9.6
נקבה,70-79,3 חודשים,25419,7.2,63,8.7,49,11.5,301,11.4,1092,9.9
נקבה,70-79,מתחילת קורונה,108115,2.3,1112,9.5,632,9.7,3106,9.8,6778,7.7
נקבה,70-79,חודש אחרון,2784,9.5,3,4.5,8,7.7,38,13.6,165,10.9
זכר,80-89,6 חודשים,15731,2,210,18.3,99,13.5,648,16.4,1978,11.8
זכר,80-89,שנה,28048,0.8,714,17.8,265,11.7,1615,14.3,3941,9.8
זכר,80-89,3 חודשים,8630,2.4,138,19,61,14.3,452,17.1,1357,12.3
זכר,80-89,מתחילת קורונה,34914,0.8,2060,17.6,704,10.8,3546,11.1,7055,8
זכר,80-89,חודש אחרון,821,2.8,14,20.9,15,14.4,45,16.1,205,13.5
נקבה,80-89,שנה,38492,1.1,687,17.1,214,9.5,1670,14.8,4173,10.4
נקבה,80-89,6 חודשים,21306,2.7,194,16.9,71,9.7,654,16.6,2064,12.3
נקבה,80-89,3 חודשים,12319,3.5,127,17.5,49,11.5,443,16.8,1439,13.1
נקבה,80-89,מתחילת קורונה,48073,1,1893,16.2,526,8.1,3643,11.4,7608,8.6
נקבה,80-89,חודש אחרון,1163,4,15,22.4,13,12.5,46,16.4,191,12.6
זכר,90+,3 חודשים,1804,0.5,100,13.8,17,4,183,6.9,461,4.2
זכר,90+,6 חודשים,3133,0.4,158,13.8,29,4,297,7.5,695,4.2
זכר,90+,שנה,5771,0.2,413,10.3,72,3.2,670,5.9,1399,3.5
זכר,90+,חודש אחרון,175,0.6,9,13.4,2,1.9,16,5.7,55,3.6
זכר,90+,מתחילת קורונה,7453,0.2,986,8.4,162,2.5,1241,3.9,2335,2.6
נקבה,90+,6 חודשים,5930,0.8,184,16,32,4.4,442,11.2,1043,6.2
נקבה,90+,שנה,10890,0.3,494,12.3,75,3.3,950,8.4,2003,5
נקבה,90+,3 חודשים,3567,1,121,16.7,20,4.7,298,11.3,703,6.4
נקבה,90+,מתחילת קורונה,14409,0.3,1284,11,159,2.4,1859,5.8,3530,4
נקבה,90+,חודש אחרון,318,1.1,5,7.5,3,2.9,26,9.3,96,6.3
