averageInfected,begin_date,end_date,isCurrentWeek
7861,2021-09-05T00:00:00.000Z,2021-09-11T00:00:00.000Z,False
7766,2021-09-12T00:00:00.000Z,2021-09-18T00:00:00.000Z,False
5758,2021-09-19T00:00:00.000Z,2021-09-25T00:00:00.000Z,False
3889,2021-09-26T00:00:00.000Z,2021-10-01T00:00:00.000Z,True
