name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
RAHAT,2.3,ירוק,1.8,4,-7,19,ירוק,2022-06-11T00:00:00.000Z,45.03,36.80,16.65,2.6
GIV'AT AVNI,10,צהוב,81.7,37,13,23,אדום,2022-06-11T00:00:00.000Z,88.65,84.42,68.94,110.6
HAR ADAR,10,אדום,61.0,39,47,20,אדום,2022-06-11T00:00:00.000Z,מעל 90%,89.53,72.44,48.8
HASPIN,4.7,ירוק,24.4,55,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,51.58,46.56,32.76,
GANNE TIQWA,9.8,אדום,70.2,33,132,142,אדום,2022-06-11T00:00:00.000Z,84.46,80.41,64.19,66.0
I'BILLIN,10,אדום,37.0,39,51,42,אדום,2022-06-11T00:00:00.000Z,67.16,58.83,36.67,31.1
MA'ALE IRON,3.8,ירוק,4.6,16,-9, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,62.29,51.71,27.91,
AL SAYYID,2,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,10.08,8.20,2.48,0.0
AR'ARA,4.8,ירוק,5.1,14,30, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,51.80,45.19,25.18,
QIRYAT YE'ARIM,2,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,51.54,39.44,24.86,
FUREIDIS,3.8,ירוק,4.5,10,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,69.62,60.65,37.90,
ATLIT,9.6,צהוב,39.1,43,192,35,אדום,2022-06-11T00:00:00.000Z,73.80,70.29,53.60,36.0
MODI'IN ILLIT,3,ירוק,1.1,11,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,42.28,25.50,12.94,
JERUSALEM,7.3,כתום,15.8,21,58,1660,כתום,2022-06-11T00:00:00.000Z,61.70,53.09,34.22,17.4
EVEN YEHUDA,8.3,אדום,47.0,17,46,71,אדום,2022-06-11T00:00:00.000Z,מעל 90%,88.74,70.31,50.6
BU'EINE-NUJEIDAT,3,ירוק,4.0,6,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,72.62,62.59,36.05,
MAJD AL-KURUM,4.7,ירוק,6.4,14,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,74.18,60.15,33.69,
MI'ELYA,5.3,צהוב,24.7,14,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,69.21,64.10,45.70,
SHETULIM,4.1,ירוק,23.9,25,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,72.86,68.23,51.84,
YEROHAM,8.2,אדום,22.5,28,-27,25,אדום,2022-06-11T00:00:00.000Z,73.43,66.82,48.39,23.4
A'SAM,4.2,אפור,0.9,27,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,11.03,9.15,2.67,
SEDEROT,7.3,צהוב,27.0,31,500,76,כתום,2022-06-11T00:00:00.000Z,66.66,60.91,44.36,26.3
MA'ALOT-TARSHIHA,8.6,אדום,28.9,21,56,57,אדום,2022-06-11T00:00:00.000Z,74.09,69.64,52.04,25.7
IMMANU'EL,4.5,ירוק,7.2,30,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,29.05,23.18,12.38,
NOQEDIM,4.7,ירוק,19.3,85,0, 0 ,צהוב,2022-06-11T00:00:00.000Z,54.61,47.99,34.06,0.0
ORANIT,10,אדום,57.7,40,85,44,אדום,2022-06-11T00:00:00.000Z,87.97,84.66,66.85,48.8
BENE BERAQ,5.5,ירוק,4.6,14,163,117,צהוב,2022-06-11T00:00:00.000Z,45.33,33.45,19.83,5.6
BAT YAM,8.5,אדום,35.5,19,84,430,אדום,2022-06-11T00:00:00.000Z,75.65,71.40,55.55,33.7
GIV'ATAYIM,8.7,אדום,37.9,25,42,226,אדום,2022-06-11T00:00:00.000Z,79.69,77.35,64.68,37.1
HERZLIYYA,9.6,אדום,62.2,34,103,581,אדום,2022-06-11T00:00:00.000Z,87.43,84.24,69.32,58.6
HADERA,8.8,כתום,36.3,26,87,349,אדום,2022-06-11T00:00:00.000Z,72.70,68.65,52.54,35.3
HOLON,9.3,אדום,41.3,25,73,756,אדום,2022-06-11T00:00:00.000Z,74.80,70.86,55.99,38.5
TIBERIAS,7.8,כתום,31.7,24,110,182,אדום,2022-06-11T00:00:00.000Z,63.77,58.51,43.01,39.8
KEFAR HABAD,5.1,ירוק,8.9,23,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,51.69,42.08,25.97,
