date,amount
2020-07-28T00:00:00.000Z,1747
2020-07-29T00:00:00.000Z,1519
2020-07-30T00:00:00.000Z,1833
2020-07-31T00:00:00.000Z,1399
2020-08-01T00:00:00.000Z,568
2020-08-02T00:00:00.000Z,2676
2020-08-03T00:00:00.000Z,1946
2020-08-04T00:00:00.000Z,1824
2020-08-05T00:00:00.000Z,1610
2020-08-06T00:00:00.000Z,1942
2020-08-07T00:00:00.000Z,1358
2020-08-08T00:00:00.000Z,652
2020-08-09T00:00:00.000Z,2415
2020-08-10T00:00:00.000Z,1383
2020-08-11T00:00:00.000Z,1010
2020-08-12T00:00:00.000Z,1159
2020-08-13T00:00:00.000Z,1346
2020-08-14T00:00:00.000Z,1042
2020-08-15T00:00:00.000Z,594
2020-08-16T00:00:00.000Z,2193
2020-08-17T00:00:00.000Z,1232
2020-08-18T00:00:00.000Z,1305
2020-08-19T00:00:00.000Z,1519
2020-08-20T00:00:00.000Z,1390
2020-08-21T00:00:00.000Z,1601
2020-08-22T00:00:00.000Z,690
2020-08-23T00:00:00.000Z,2157
2020-08-24T00:00:00.000Z,1338
2020-08-25T00:00:00.000Z,2589
2020-08-26T00:00:00.000Z,2435
2020-08-27T00:00:00.000Z,1511
2020-08-28T00:00:00.000Z,1914
2020-08-29T00:00:00.000Z,728
2020-08-30T00:00:00.000Z,2336
2020-08-31T00:00:00.000Z,1280
2020-09-01T00:00:00.000Z,1099
2020-09-02T00:00:00.000Z,1521
2020-09-03T00:00:00.000Z,1856
2020-09-04T00:00:00.000Z,1261
2020-09-05T00:00:00.000Z,808
2020-09-06T00:00:00.000Z,2383
2020-09-07T00:00:00.000Z,1518
2020-09-08T00:00:00.000Z,1400
2020-09-09T00:00:00.000Z,1545
2020-09-10T00:00:00.000Z,1877
2020-09-11T00:00:00.000Z,1783
2020-09-12T00:00:00.000Z,1195
2020-09-13T00:00:00.000Z,3247
2020-09-14T00:00:00.000Z,2329
2020-09-15T00:00:00.000Z,2326
2020-09-16T00:00:00.000Z,2439
2020-09-17T00:00:00.000Z,3695
2020-09-18T00:00:00.000Z,2841
2020-09-19T00:00:00.000Z,1437
2020-09-20T00:00:00.000Z,2489
2020-09-21T00:00:00.000Z,1029
