cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
קרית ביאליק,117,21.51,544,130.63,9.97,אדום,41645
קרית גת,117,28.19,415,70.88,9.36,אדום,58550
קרית טבעון,52,21.67,240,131.39,9.56,אדום,18266
קרית ים,69,19.77,349,88.60,9.54,אדום,39389
קרית מוצקין,128,24.52,522,114.82,10,אדום,45461
קרית מלאכי,40,28.99,138,56.68,9.66,אדום,24346
קרית עקרון,35,30.70,114,103.32,9.98,אדום,11034
קרית שמונה,87,25.82,337,149.98,10,אדום,22470
קרני שומרון,35,35.71,98,103.24,10,אדום,9492
ראמה,קטן מ-15,אין מידע,17,21.90,8.2,אדום,7763
ראש העין,169,22.50,751,111.53,10,אדום,67337
ראש פינה,קטן מ-15,אין מידע,21,64.96,8.28,אדום,3233
ראשון לציון,670,22.21,3017,117.90,9.9,אדום,255891
רבבה,קטן מ-15,אין מידע,32,114.16,10,אדום,2803
רהט,קטן מ-15,אין מידע,66,8.96,4.18,ירוק,73671
רחובות,467,27.20,1717,117.43,9.96,אדום,146213
ריינה,קטן מ-15,אין מידע,23,12.02,6.5,כתום,19134
רכסים,קטן מ-15,אין מידע,17,12.88,5.85,צהוב,13195
רמלה,122,23.02,530,68.92,9.02,אדום,76903
רמת גן,441,20.29,2173,130.32,9.33,אדום,166746
רמת השרון,255,30.04,849,178.80,9.8,אדום,47482
רמת ישי,57,33.33,171,216.57,10,אדום,7896
רעננה,283,23.05,1228,159.57,9.91,אדום,76958
שדרות,89,29.87,298,103.12,10,אדום,28899
שוהם,94,27.09,347,165.01,10,אדום,21029
שלומי,30,31.58,95,141.03,10,אדום,6736
שמשית,18,28.57,63,250.20,10,אדום,2518
שערי תקווה,29,30.85,94,155.40,10,אדום,6049
שפרעם,קטן מ-15,אין מידע,78,18.40,5.76,צהוב,42400
שתולים,קטן מ-15,אין מידע,19,90.78,9.53,אדום,2093
תל אביב - יפו,1183,18.80,6292,125.59,9.72,אדום,501015
תל מונד,79,34.65,228,169.38,10,אדום,13461
תל שבע,קטן מ-15,אין מידע,27,12.54,5.77,צהוב,21531
תקוע,18,50.00,36,85.96,10,אדום,4188
