day_date,age_group,death_amount_vaccinated,death_amount_expired,death_amount_not_vaccinated,death_vaccinated_normalized,death_expired_normalized,death_not_vaccinated_normalized
2021-02-11T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-02-11T00:00:00.000Z,כלל האוכלוסיה,6,0,17,0.3,,0.3
2021-02-12T00:00:00.000Z,כלל האוכלוסיה,8,0,21,0.4,,0.4
2021-02-12T00:00:00.000Z,מעל גיל 60,8,0,17,0.7,,5
2021-02-12T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-02-13T00:00:00.000Z,מעל גיל 60,4,0,17,0.4,,5
2021-02-13T00:00:00.000Z,כלל האוכלוסיה,4,0,20,0.2,,0.4
2021-02-13T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-02-14T00:00:00.000Z,מעל גיל 60,1,0,19,0.1,,5.7
2021-02-14T00:00:00.000Z,כלל האוכלוסיה,1,0,23,0,,0.4
2021-02-14T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-02-15T00:00:00.000Z,כלל האוכלוסיה,1,0,13,0,,0.2
2021-02-15T00:00:00.000Z,מעל גיל 60,1,0,12,0.1,,3.7
2021-02-15T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-02-16T00:00:00.000Z,כלל האוכלוסיה,5,0,26,0.2,,0.5
2021-02-16T00:00:00.000Z,מעל גיל 60,5,0,22,0.5,,6.9
2021-02-16T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-02-17T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-02-17T00:00:00.000Z,כלל האוכלוסיה,2,0,20,0.1,,0.4
2021-02-17T00:00:00.000Z,מעל גיל 60,2,0,18,0.2,,5.7
2021-02-18T00:00:00.000Z,מעל גיל 60,4,0,18,0.4,,5.8
2021-02-18T00:00:00.000Z,כלל האוכלוסיה,4,0,19,0.2,,0.4
2021-02-18T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-02-19T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-02-19T00:00:00.000Z,כלל האוכלוסיה,4,0,13,0.2,,0.3
2021-02-19T00:00:00.000Z,מעל גיל 60,4,0,10,0.4,,3.2
