date,amount
2021-02-17T00:00:00.000Z,3382
2021-02-18T00:00:00.000Z,2921
2021-02-19T00:00:00.000Z,3375
2021-02-20T00:00:00.000Z,1112
2021-02-21T00:00:00.000Z,2761
2021-02-22T00:00:00.000Z,4293
2021-02-23T00:00:00.000Z,3947
