date,amount
2020-07-07T00:00:00.000Z,173
2020-07-08T00:00:00.000Z,227
2020-07-09T00:00:00.000Z,227
2020-07-10T00:00:00.000Z,213
2020-07-11T00:00:00.000Z,191
2020-07-12T00:00:00.000Z,339
2020-07-13T00:00:00.000Z,363
2020-07-14T00:00:00.000Z,313
2020-07-15T00:00:00.000Z,362
2020-07-16T00:00:00.000Z,508
2020-07-17T00:00:00.000Z,481
2020-07-18T00:00:00.000Z,448
2020-07-19T00:00:00.000Z,521
2020-07-20T00:00:00.000Z,627
2020-07-21T00:00:00.000Z,642
2020-07-22T00:00:00.000Z,3734
2020-07-23T00:00:00.000Z,6780
2020-07-24T00:00:00.000Z,1614
2020-07-25T00:00:00.000Z,593
2020-07-26T00:00:00.000Z,2746
2020-07-27T00:00:00.000Z,1773
2020-07-28T00:00:00.000Z,1563
2020-07-29T00:00:00.000Z,1412
2020-07-30T00:00:00.000Z,1694
2020-07-31T00:00:00.000Z,1297
2020-08-01T00:00:00.000Z,533
2020-08-02T00:00:00.000Z,2451
2020-08-03T00:00:00.000Z,1804
2020-08-04T00:00:00.000Z,1650
2020-08-05T00:00:00.000Z,1487
2020-08-06T00:00:00.000Z,1762
2020-08-07T00:00:00.000Z,1215
2020-08-08T00:00:00.000Z,609
2020-08-09T00:00:00.000Z,2350
2020-08-10T00:00:00.000Z,1392
2020-08-11T00:00:00.000Z,983
2020-08-12T00:00:00.000Z,1137
2020-08-13T00:00:00.000Z,1311
2020-08-14T00:00:00.000Z,985
2020-08-15T00:00:00.000Z,564
2020-08-16T00:00:00.000Z,2220
2020-08-17T00:00:00.000Z,1198
2020-08-18T00:00:00.000Z,1120
2020-08-19T00:00:00.000Z,1479
2020-08-20T00:00:00.000Z,1439
2020-08-21T00:00:00.000Z,1041
2020-08-22T00:00:00.000Z,666
2020-08-23T00:00:00.000Z,2129
2020-08-24T00:00:00.000Z,1402
2020-08-25T00:00:00.000Z,797
2020-08-26T00:00:00.000Z,3665
2020-08-27T00:00:00.000Z,1521
2020-08-28T00:00:00.000Z,1836
2020-08-29T00:00:00.000Z,712
2020-08-30T00:00:00.000Z,2290
2020-08-31T00:00:00.000Z,1480
2020-09-01T00:00:00.000Z,1008
2020-09-02T00:00:00.000Z,1404
2020-09-03T00:00:00.000Z,1806
2020-09-04T00:00:00.000Z,1199
2020-09-05T00:00:00.000Z,895
2020-09-06T00:00:00.000Z,2407
