period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,32655,13381,40.98
3_Month,0-9,124564,44658,35.85
6_Month,0-9,430678,158116,36.71
1_Year,0-9,1461964,644224,44.07
All,0-9,1709519,763901,44.69
1_Month,10-19,30730,9695,31.55
3_Month,10-19,126257,43447,34.41
6_Month,10-19,440533,150375,34.13
1_Year,10-19,1349006,649993,48.18
All,10-19,1627051,804862,49.47
1_Month,20-29,45329,16755,36.96
3_Month,20-29,173402,54042,31.17
6_Month,20-29,547539,145139,26.51
1_Year,20-29,1193930,472273,39.56
All,20-29,1467519,599003,40.82
1_Month,30-39,53042,20600,38.84
3_Month,30-39,189177,67325,35.59
6_Month,30-39,543499,177081,32.58
1_Year,30-39,1142034,514821,45.08
All,30-39,1367333,606397,44.35
1_Month,40-49,50835,19891,39.13
3_Month,40-49,184572,67988,36.84
6_Month,40-49,514918,172501,33.5
1_Year,40-49,1024229,470214,45.91
All,40-49,1214683,549658,45.25
1_Month,50-59,47785,19096,39.96
3_Month,50-59,169575,64190,37.85
6_Month,50-59,444287,141811,31.92
1_Year,50-59,798371,329054,41.22
All,50-59,949699,389149,40.98
1_Month,60-69,52745,21687,41.12
3_Month,60-69,172372,69330,40.22
6_Month,60-69,398151,130325,32.73
1_Year,60-69,663751,250799,37.79
All,60-69,782693,292151,37.33
1_Month,70-79,50336,19562,38.86
3_Month,70-79,142513,61639,43.25
6_Month,70-79,280406,100604,35.88
1_Year,70-79,431117,161179,37.39
All,70-79,506293,183744,36.29
1_Month,80-89,33180,9773,29.45
3_Month,80-89,67906,26385,38.86
6_Month,80-89,110440,40910,37.04
1_Year,80-89,168325,64967,38.6
All,80-89,214813,76795,35.75
1_Month,90+,10708,2624,24.51
3_Month,90+,18657,6407,34.34
6_Month,90+,26687,9822,36.8
1_Year,90+,40063,16163,40.34
All,90+,55778,19998,35.85
