age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,415,4056,0,148,1463.9,0,0,2,0,0,0.7
16-19,88,1735,1667,75.1,569.1,1192.1,0,0,1,0,0,0.7
20-29,278,4765,3151,82.5,701,1242,0,4,18,0,0.6,7.1
30-39,532,5182,3098,133.3,886,1696.9,0,1,46,0,0.2,25.2
40-49,557,3078,2165,109.7,711.8,1540.9,4,10,77,0.8,2.3,54.8
50-59,325,1307,1128,66.1,487.9,1171.8,5,20,96,1,7.5,99.7
60-69,303,753,723,57.9,509,1101.5,11,33,107,2.1,22.3,163
70-79,209,357,388,52.3,471.9,851,20,37,79,5,48.9,173.3
80-89,139,232,237,79.9,596.6,1083.9,13,29,44,7.5,74.6,201.2
90+,58,68,81,164.4,519.6,955.4,3,4,18,8.5,30.6,212.3
