name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
קדומים,4.6,ירוק,17.5,0.0209424083769,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,61.32343306398778,52.871806071194584,
סביון,5.2,ירוק,29.7,0.0239410681399,0.2, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,91.32262051915946,83.58467243510506,
נחף,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,51.18039421419471,46.12156186764595,0.0
אום בטין,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,13.211336755188574,10.421780852488284,0.0
כפר קאסם,1.2,ירוק,0.4,0.0014814814814,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,51.82785938273643,42.97326291467239,
עכו,1.3,ירוק,1.0,0.0061881188118,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,66.85380778318557,61.5929882666559,
גן יבנה,3.1,ירוק,5.0,0.0167832167832,0.2, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,68.87428308284841,62.13840164105999,
שבלי - אום אל-גנם,2.3,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,62.12441123923988,55.88760760110444,
מזרעה,2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,59.58562156764853,55.3919121318023,0.0
פרדסיה,3.9,ירוק,4.5,0.009708737864,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,77.28298480517527,72.0625846246427,
טירה,2,ירוק,1.9,0.0091074681238,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,53.74833160314401,47.71985763013495,
מג'ד אל-כרום,1.7,ירוק,1.3,0.009708737864,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,54.91377652413616,46.4516956215142,
"בני עי""ש",2,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,66.32860040567951,62.25731671979137,
חורה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,19.850836874512183,16.85022981528055,0.0
אעצם (שבט),2,כתום,0.0,0,0, 0 ,כתום,2021-07-11T00:00:00.000Z,7.795079701465032,6.68939463742744,0.0
מודיעין עילית,0.6,ירוק,0.1,0.003086419753,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,26.399238337035865,17.541098064106635,
