priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
LastMonth,קטר,כתום,2,20,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סודן,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אוקראינה,כתום,2,13033,58,0.45,2021-11-29T00:00:00.000Z,48,10
LastMonth,גמייקה,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,תוניסיה,כתום,2,49,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,הודו,כתום,2,1876,5,0.27,2021-11-29T00:00:00.000Z,1,4
LastMonth,עומן,כתום,2,7,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בליז,כתום,2,9,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מלזיה,כתום,2,6,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,נמיביה,אדום,1,56,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,קונגו,אדום,1,9,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,הולנד,כתום,2,11457,16,0.14,2021-11-29T00:00:00.000Z,12,4
LastMonth,טנזניה,אדום,1,341,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,נפאל,כתום,2,170,1,0.59,2021-11-29T00:00:00.000Z,0,1
LastMonth,גרנדה,כתום,2,6,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ליבריה,אדום,1,7,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מולדובה,כתום,2,1387,7,0.5,2021-11-29T00:00:00.000Z,5,2
LastMonth,רואנדה,אדום,1,167,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,זמביה,אדום,1,72,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ונצואלה,כתום,2,22,1,4.55,2021-11-29T00:00:00.000Z,0,1
LastMonth,מלאווי,אדום,1,14,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פנמה,כתום,2,124,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,רומניה,כתום,2,5134,6,0.12,2021-11-29T00:00:00.000Z,4,2
LastMonth,שוויץ,כתום,2,6413,4,0.06,2021-11-29T00:00:00.000Z,3,1
LastMonth,איסלנד,כתום,2,69,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,קנדה,כתום,2,3864,2,0.05,2021-11-29T00:00:00.000Z,2,0
LastMonth,קוסובו,כתום,2,23,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גבון,אדום,1,8,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ירדן,כתום,2,5551,10,0.18,2021-11-29T00:00:00.000Z,10,0
LastMonth,ויטנאם,כתום,2,31,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בורונדי,אדום,1,2,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בלגיה,כתום,2,4708,9,0.19,2021-11-29T00:00:00.000Z,8,1
LastMonth,מלדיבים,כתום,2,443,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,לאוס,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פורטוגל,כתום,2,3818,2,0.05,2021-11-29T00:00:00.000Z,2,0
LastMonth,ניגר,אדום,1,2,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ניקרגואה,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מלטה,כתום,2,1004,2,0.2,2021-11-29T00:00:00.000Z,2,0
LastMonth,אקואדור,כתום,2,104,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מונגוליה,כתום,2,4,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מוזמביק,אדום,1,18,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,טוגו,אדום,1,17,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בוטן,כתום,2,11,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,הונדורס,כתום,2,34,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,קניה,אדום,1,391,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,יפן,כתום,2,115,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בהמס,כתום,2,12,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,לטביה,כתום,2,411,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בוליביה,כתום,2,15,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,טונגה,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מדגסקר,אדום,1,5,1,20,2021-11-29T00:00:00.000Z,0,1
LastMonth,סנגל,אדום,1,39,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ספרד,כתום,2,12643,9,0.07,2021-11-29T00:00:00.000Z,8,1
LastMonth,גאורגיה,כתום,2,12311,19,0.15,2021-11-29T00:00:00.000Z,19,0
LastMonth,תימן,כתום,2,16,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גמביה,אדום,1,17,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אסטוניה,כתום,2,170,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בחריין,כתום,2,547,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פקיסטן,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,צכיה,כתום,2,12564,19,0.15,2021-11-29T00:00:00.000Z,17,2
LastMonth,אנגולה,אדום,1,124,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מונקו,כתום,2,27,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מקסיקו,כתום,2,609,1,0.16,2021-11-29T00:00:00.000Z,1,0
LastMonth,אוסטרליה,כתום,2,588,1,0.17,2021-11-29T00:00:00.000Z,0,1
LastMonth,אורגוואי,כתום,2,110,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אלגיריה,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,טיוואן,כתום,2,15,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גיברלטר,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ארמניה,כתום,2,78,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גרמניה,כתום,2,21544,32,0.15,2021-11-29T00:00:00.000Z,24,8
LastMonth,צ'ילה,כתום,2,121,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אוסטריה,כתום,2,11949,9,0.08,2021-11-29T00:00:00.000Z,7,2
LastMonth,סורינם,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גויאנה,כתום,2,10,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,דומיניקה,כתום,2,7,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,טובלו,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פרו,כתום,2,148,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סלובקיה,כתום,2,35,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גואדאלופ,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,תאילנד,כתום,2,2029,15,0.74,2021-11-29T00:00:00.000Z,14,1
LastMonth,גאנה,אדום,1,107,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אוגנדה,אדום,1,241,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,קמבודיה,כתום,2,25,1,4,2021-11-29T00:00:00.000Z,0,1
LastMonth,קולומביה,כתום,2,304,1,0.33,2021-11-29T00:00:00.000Z,1,0
LastMonth,הונגריה,כתום,2,18063,48,0.27,2021-11-29T00:00:00.000Z,47,1
LastMonth,מקאו,כתום,2,6,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,תורכיה,כתום,2,50066,88,0.18,2021-11-29T00:00:00.000Z,86,2
LastMonth,אפגניסטן,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פינלנד,כתום,2,370,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מרוקו,כתום,2,3494,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סווזילנד,אדום,1,1,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,רוסיה,כתום,2,6811,50,0.73,2021-11-29T00:00:00.000Z,39,11
LastMonth,קרואטיה,כתום,2,132,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,עירק,כתום,2,15,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סרביה,כתום,2,322,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ארגנטינה,כתום,2,514,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,ראוניון,אדום,1,2,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בנגלדש,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פרגוואי,כתום,2,15,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,צאד,אדום,1,7,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,קמרון,אדום,1,22,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,מצרים,כתום,2,17924,20,0.11,2021-11-29T00:00:00.000Z,20,0
LastMonth,פולין,כתום,2,8544,19,0.22,2021-11-29T00:00:00.000Z,13,6
LastMonth,גווטאמלה,כתום,2,37,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,יוון,כתום,2,15111,12,0.08,2021-11-29T00:00:00.000Z,12,0
LastMonth,ברזיל,כתום,2,864,2,0.23,2021-11-29T00:00:00.000Z,2,0
LastMonth,אנדורה,כתום,2,11,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,נורבגיה,כתום,2,549,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,צרפת,כתום,2,32119,47,0.15,2021-11-29T00:00:00.000Z,35,12
LastMonth,ניגריה,אדום,1,179,1,0.56,2021-11-29T00:00:00.000Z,1,0
LastMonth,מקדוניה,כתום,2,29,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גיבוטי,אדום,1,1,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סלובניה,כתום,2,58,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,קזחסטאן,כתום,2,104,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,בוטסואנה,אדום,1,16,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,פאפואה,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גינאה,אדום,1,9,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,גואם,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סינגפור,כתום,2,226,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אתיופיה,אדום,1,845,1,0.12,2021-11-29T00:00:00.000Z,1,0
LastMonth,מאלי,אדום,1,9,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,אלבניה,כתום,2,158,1,0.63,2021-11-29T00:00:00.000Z,1,0
LastMonth,אירלנד,כתום,2,406,2,0.49,2021-11-29T00:00:00.000Z,0,2
LastMonth,קפריסין,כתום,2,12888,6,0.05,2021-11-29T00:00:00.000Z,4,2
LastMonth,כווית,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,סין,כתום,2,404,3,0.74,2021-11-29T00:00:00.000Z,0,3
LastMonth,האיטי,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
LastMonth,איטליה,כתום,2,29630,11,0.04,2021-11-29T00:00:00.000Z,10,1
month3,זאיר,אדום,1,96,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מזרח טימור,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מונטנגרו,כתום,2,5418,10,0.18,2021-11-29T00:00:00.000Z,10,0
month3,לבנון,כתום,2,20,0,0,2021-11-29T00:00:00.000Z,0,0
month3,לסוטו,אדום,1,5,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ברבדוס,כתום,2,10,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ליטא,כתום,2,3512,7,0.2,2021-11-29T00:00:00.000Z,7,0
month3,שוודיה,כתום,2,1502,0,0,2021-11-29T00:00:00.000Z,0,0
month3,בולגריה,כתום,2,6699,18,0.27,2021-11-29T00:00:00.000Z,18,0
month3,דנמרק,כתום,2,3437,5,0.15,2021-11-29T00:00:00.000Z,4,1
month3,קובה,כתום,2,20,1,5,2021-11-29T00:00:00.000Z,1,0
month3,קטר,כתום,2,62,0,0,2021-11-29T00:00:00.000Z,0,0
month3,סודן,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
month3,סן מרינו,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אוקראינה,כתום,2,61575,3705,6.02,2021-11-29T00:00:00.000Z,3654,51
month3,גמייקה,כתום,2,18,1,5.56,2021-11-29T00:00:00.000Z,0,1
month3,תוניסיה,כתום,2,125,0,0,2021-11-29T00:00:00.000Z,0,0
month3,הודו,כתום,2,3724,9,0.24,2021-11-29T00:00:00.000Z,1,8
month3,ערב הסעודית,כתום,2,204,0,0,2021-11-29T00:00:00.000Z,0,0
month3,עומן,כתום,2,11,0,0,2021-11-29T00:00:00.000Z,0,0
month3,בליז,כתום,2,14,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מלזיה,כתום,2,9,0,0,2021-11-29T00:00:00.000Z,0,0
month3,קוסטה ריקה,כתום,2,1577,14,0.89,2021-11-29T00:00:00.000Z,14,0
month3,אל סלבדור,כתום,2,31,0,0,2021-11-29T00:00:00.000Z,0,0
month3,נמיביה,אדום,1,92,0,0,2021-11-29T00:00:00.000Z,0,0
month3,קונגו,אדום,1,17,0,0,2021-11-29T00:00:00.000Z,0,0
month3,הולנד,כתום,2,24446,45,0.18,2021-11-29T00:00:00.000Z,40,5
month3,טנזניה,אדום,1,1765,3,0.17,2021-11-29T00:00:00.000Z,3,0
month3,נפאל,כתום,2,293,2,0.68,2021-11-29T00:00:00.000Z,1,1
month3,גרנדה,כתום,2,25,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ליבריה,אדום,1,17,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מולדובה,כתום,2,6260,147,2.35,2021-11-29T00:00:00.000Z,118,29
month3,מרטיניק,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
month3,רואנדה,אדום,1,299,0,0,2021-11-29T00:00:00.000Z,0,0
month3,דרום סודאן,אדום,1,29,1,3.45,2021-11-29T00:00:00.000Z,1,0
month3,זמביה,אדום,1,181,0,0,2021-11-29T00:00:00.000Z,0,0
month3,איי פאלקלנד,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ונצואלה,כתום,2,104,2,1.92,2021-11-29T00:00:00.000Z,1,1
month3,מלאווי,אדום,1,212,0,0,2021-11-29T00:00:00.000Z,0,0
month3,פנמה,כתום,2,807,12,1.49,2021-11-29T00:00:00.000Z,12,0
month3,רומניה,כתום,2,22004,119,0.54,2021-11-29T00:00:00.000Z,115,4
month3,שוויץ,כתום,2,20691,49,0.24,2021-11-29T00:00:00.000Z,38,11
month3,איסלנד,כתום,2,1833,1,0.05,2021-11-29T00:00:00.000Z,1,0
month3,קנדה,כתום,2,13296,20,0.15,2021-11-29T00:00:00.000Z,15,5
month3,קוסובו,כתום,2,48,0,0,2021-11-29T00:00:00.000Z,0,0
month3,גבון,אדום,1,24,0,0,2021-11-29T00:00:00.000Z,0,0
month3,דרום אפריקה,אדום,1,2556,10,0.39,2021-11-29T00:00:00.000Z,8,2
month3,ירדן,כתום,2,14166,60,0.42,2021-11-29T00:00:00.000Z,60,0
month3,ויטנאם,כתום,2,335,0,0,2021-11-29T00:00:00.000Z,0,0
month3,הונג קונג,כתום,2,553,7,1.27,2021-11-29T00:00:00.000Z,1,6
month3,בורונדי,אדום,1,4,0,0,2021-11-29T00:00:00.000Z,0,0
month3,בלגיה,כתום,2,9709,32,0.33,2021-11-29T00:00:00.000Z,21,11
month3,סוריה,כתום,2,47,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אירן,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מלדיבים,כתום,2,2766,4,0.14,2021-11-29T00:00:00.000Z,4,0
month3,לאוס,כתום,2,6,0,0,2021-11-29T00:00:00.000Z,0,0
month3,פורטוגל,כתום,2,8398,12,0.14,2021-11-29T00:00:00.000Z,11,1
month3,ניגר,אדום,1,3,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ניקרגואה,כתום,2,20,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מלטה,כתום,2,1121,2,0.18,2021-11-29T00:00:00.000Z,2,0
month3,אקואדור,כתום,2,302,2,0.66,2021-11-29T00:00:00.000Z,2,0
month3,פורטו ריקו,כתום,2,124,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מונגוליה,כתום,2,10,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מוזמביק,אדום,1,53,0,0,2021-11-29T00:00:00.000Z,0,0
month3,טוגו,אדום,1,48,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מאוריציוס,אדום,1,174,1,0.57,2021-11-29T00:00:00.000Z,1,0
month3,בוטן,כתום,2,20,0,0,2021-11-29T00:00:00.000Z,0,0
month3,הונדורס,כתום,2,63,0,0,2021-11-29T00:00:00.000Z,0,0
month3,סט וינסנט,כתום,2,4,1,25,2021-11-29T00:00:00.000Z,1,0
month3,קניה,אדום,1,820,6,0.73,2021-11-29T00:00:00.000Z,6,0
month3,יפן,כתום,2,329,1,0.3,2021-11-29T00:00:00.000Z,1,0
