gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,416624,10.3,7,0.1,30,0.5,112,0.4
זכר,0-9,3 חודשים,119868,10.5,2,0.1,13,1.3,37,0.8
זכר,0-9,חודש אחרון,10009,6.8,0,0,0,0,5,0.7
זכר,0-9,שנה,348263,10.9,5,0.1,22,0.9,80,0.7
זכר,0-9,6 חודשים,278923,10.3,4,0.2,17,1.2,54,0.8
נקבה,0-9,חודש אחרון,7600,5.1,0,0,0,0,4,0.6
נקבה,0-9,6 חודשים,217733,8,2,0.1,8,0.6,37,0.5
נקבה,0-9,מתחילת קורונה,339089,8.4,5,0,15,0.2,72,0.3
נקבה,0-9,3 חודשים,90697,7.9,1,0.1,7,0.7,26,0.6
נקבה,0-9,שנה,281193,8.8,2,0,8,0.3,55,0.5
זכר,10-19,מתחילת קורונה,416739,10.3,7,0.1,23,0.4,77,0.3
זכר,10-19,3 חודשים,100070,8.8,2,0.1,7,0.7,10,0.2
זכר,10-19,חודש אחרון,7029,4.8,0,0,0,0,1,0.1
זכר,10-19,6 חודשים,269302,9.9,4,0.2,9,0.6,26,0.4
זכר,10-19,שנה,320412,10,5,0.1,14,0.6,42,0.3
נקבה,10-19,מתחילת קורונה,404083,10,7,0.1,23,0.4,77,0.3
נקבה,10-19,שנה,319217,10,4,0.1,15,0.6,34,0.3
נקבה,10-19,חודש אחרון,6779,4.6,0,0,1,0.5,1,0.1
נקבה,10-19,3 חודשים,94258,8.2,1,0.1,5,0.5,9,0.2
נקבה,10-19,6 חודשים,266716,9.8,2,0.1,10,0.7,16,0.2
זכר,20-29,6 חודשים,143889,5.3,2,0.1,11,0.8,41,0.6
זכר,20-29,שנה,172810,5.4,5,0.1,22,0.9,90,0.7
זכר,20-29,מתחילת קורונה,243450,6,24,0.2,54,0.9,241,0.8
זכר,20-29,3 חודשים,53877,4.7,2,0.1,9,0.9,24,0.5
זכר,20-29,חודש אחרון,6530,4.4,0,0,1,0.5,3,0.4
נקבה,20-29,מתחילת קורונה,346950,8.6,22,0.2,57,0.9,271,0.9
נקבה,20-29,3 חודשים,84843,7.4,4,0.2,9,0.9,13,0.3
נקבה,20-29,6 חודשים,225370,8.3,6,0.2,14,1,28,0.4
נקבה,20-29,שנה,263164,8.2,9,0.2,20,0.8,98,0.8
נקבה,20-29,חודש אחרון,9489,6.4,0,0,1,0.5,1,0.1
זכר,30-39,3 חודשים,68095,6,8,0.5,22,2.1,41,0.9
זכר,30-39,6 חודשים,155968,5.7,12,0.5,29,2,64,0.9
זכר,30-39,שנה,184252,5.7,25,0.6,48,2,213,1.8
זכר,30-39,מתחילת קורונה,236826,5.9,53,0.5,102,1.7,624,2.2
זכר,30-39,חודש אחרון,9511,6.4,2,1.5,8,3.9,7,1
נקבה,30-39,מתחילת קורונה,345926,8.6,36,0.3,104,1.7,594,2.1
נקבה,30-39,3 חודשים,103710,9.1,4,0.2,13,1.3,39,0.9
נקבה,30-39,חודש אחרון,13171,8.9,0,0,5,2.4,9,1.3
נקבה,30-39,שנה,283522,8.8,15,0.3,38,1.6,230,1.9
נקבה,30-39,6 חודשים,243298,8.9,4,0.2,19,1.3,73,1.1
זכר,40-49,6 חודשים,144990,5.3,21,0.8,56,3.9,149,2.2
זכר,40-49,שנה,167842,5.2,52,1.2,111,4.7,467,3.9
זכר,40-49,מתחילת קורונה,211818,5.2,119,1.1,261,4.3,1398,4.9
זכר,40-49,3 חודשים,63506,5.6,12,0.7,31,3,89,2
זכר,40-49,חודש אחרון,8883,6,1,0.7,5,2.4,12,1.8
נקבה,40-49,3 חודשים,96933,8.5,4,0.2,14,1.4,52,1.2
נקבה,40-49,חודש אחרון,12655,8.6,0,0,5,2.4,6,0.9
נקבה,40-49,6 חודשים,221811,8.2,13,0.5,26,1.8,93,1.4
נקבה,40-49,שנה,251325,7.8,20,0.5,52,2.2,331,2.7
