name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
קדומים,4.9,צהוב,6.6,0.0566037735849,0, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,73.82,68.44,50.10,
בית אל,5.3,צהוב,15.2,0.12,0, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,67.77,61.27,44.41,
ברכה,2.5,צהוב,0.0,0,0, 0 ,ירוק,2022-05-01T00:00:00.000Z,62.50,53.95,32.38,0.0
נווה דניאל,5.8,צהוב,30.2,0.0555555555555,-0.3333333333334, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,82.89,76.08,57.24,
גבעת זאב,5.2,צהוב,14.1,0.0334528076463,-0.03571428571430002,22,צהוב,2022-05-01T00:00:00.000Z,59.45,50.81,35.69,11.5
ביתר עילית,3,ירוק,1.6,0.0103199174406,0, קטן מ-15 ,ירוק,2022-05-01T00:00:00.000Z,34.32,24.01,11.87,
נעלה,5.9,צהוב,38.1,0.1323529411764,0, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,71.29,65.88,50.32,
תקוע,5.6,צהוב,26.3,0.1134020618556,0.10000000000000009, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,62.54,56.40,37.01,
גבע בנימין,5.2,צהוב,13.9,0.079207920792,-0.09090909090910004, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,53.27,47.66,32.24,
גני מודיעין,4.5,צהוב,11.1,0.0701754385964,0, קטן מ-15 ,ירוק,2022-05-01T00:00:00.000Z,38.15,32.98,20.63,
אלעזר,4.4,צהוב,4.1,0.0212765957446,0, קטן מ-15 ,ירוק,2022-05-01T00:00:00.000Z,86.85,81.29,59.23,
אפרת,6,כתום,28.0,0.0706638115631,-0.21951219512200004, קטן מ-15 ,כתום,2022-05-01T00:00:00.000Z,85.43,79.12,58.21,
אלפי מנשה,6.1,כתום,25.0,0.0675675675675,-0.5918367346939, קטן מ-15 ,כתום,2022-05-01T00:00:00.000Z,83.55,80.81,64.55,
מסעדה,3,ירוק,8.0,0.015625,0, קטן מ-15 ,ירוק,2022-05-01T00:00:00.000Z,78.16,67.96,41.89,
שערי תקווה,5.9,צהוב,18.2,0.0486725663716,-0.6206896551725001, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,74.21,70.14,54.72,
טלמון,4.5,צהוב,20.8,0.25,0, קטן מ-15 ,צהוב,2022-05-01T00:00:00.000Z,74.83,66.90,46.03,
עפולה,5.6,צהוב,15.8,0.064494680851,-0.4,120,צהוב,2022-05-01T00:00:00.000Z,71.21,66.65,50.64,21.1
