section,female,male,period
0-9,"{'amount': 240852, 'percentage': 7.2}","{'amount': 302010, 'percentage': 9}",שנה
0-9,"{'amount': 1917, 'percentage': 2.1}","{'amount': 1573, 'percentage': 1.7}",3 חודשים
0-9,"{'amount': 364632, 'percentage': 7.8}","{'amount': 442562, 'percentage': 9.5}",מתחילת קורונה
0-9,"{'amount': 20880, 'percentage': 3.7}","{'amount': 23368, 'percentage': 4.2}",6 חודשים
0-9,"{'amount': 555, 'percentage': 1.4}","{'amount': 500, 'percentage': 1.2}",חודש אחרון
10-19,"{'amount': 293579, 'percentage': 8.8}","{'amount': 291934, 'percentage': 8.7}",שנה
10-19,"{'amount': 433283, 'percentage': 9.3}","{'amount': 441311, 'percentage': 9.4}",מתחילת קורונה
10-19,"{'amount': 24058, 'percentage': 4.3}","{'amount': 21612, 'percentage': 3.8}",6 חודשים
10-19,"{'amount': 4163, 'percentage': 4.6}","{'amount': 2784, 'percentage': 3.1}",3 חודשים
10-19,"{'amount': 1848, 'percentage': 4.6}","{'amount': 1234, 'percentage': 3.1}",חודש אחרון
20-29,"{'amount': 34808, 'percentage': 6.2}","{'amount': 24439, 'percentage': 4.3}",6 חודשים
20-29,"{'amount': 263688, 'percentage': 7.9}","{'amount': 171338, 'percentage': 5.1}",שנה
20-29,"{'amount': 385963, 'percentage': 8.2}","{'amount': 271553, 'percentage': 5.8}",מתחילת קורונה
20-29,"{'amount': 5414, 'percentage': 6}","{'amount': 3157, 'percentage': 3.5}",3 חודשים
20-29,"{'amount': 2799, 'percentage': 7}","{'amount': 1641, 'percentage': 4.1}",חודש אחרון
30-39,"{'amount': 289809, 'percentage': 8.7}","{'amount': 190847, 'percentage': 5.7}",שנה
30-39,"{'amount': 6058, 'percentage': 6.7}","{'amount': 3950, 'percentage': 4.4}",3 חודשים
30-39,"{'amount': 393469, 'percentage': 8.4}","{'amount': 272446, 'percentage': 5.8}",מתחילת קורונה
30-39,"{'amount': 42453, 'percentage': 7.5}","{'amount': 30485, 'percentage': 5.4}",6 חודשים
30-39,"{'amount': 2878, 'percentage': 7.2}","{'amount': 1860, 'percentage': 4.6}",חודש אחרון
40-49,"{'amount': 271325, 'percentage': 8.1}","{'amount': 179452, 'percentage': 5.4}",שנה
40-49,"{'amount': 355658, 'percentage': 7.6}","{'amount': 247073, 'percentage': 5.3}",מתחילת קורונה
40-49,"{'amount': 44989, 'percentage': 8}","{'amount': 29665, 'percentage': 5.3}",6 חודשים
40-49,"{'amount': 7337, 'percentage': 8.1}","{'amount': 4033, 'percentage': 4.5}",3 חודשים
40-49,"{'amount': 3525, 'percentage': 8.8}","{'amount': 1916, 'percentage': 4.8}",חודש אחרון
50-59,"{'amount': 252198, 'percentage': 5.4}","{'amount': 174785, 'percentage': 3.7}",מתחילת קורונה
50-59,"{'amount': 196836, 'percentage': 5.9}","{'amount': 128922, 'percentage': 3.9}",שנה
50-59,"{'amount': 7782, 'percentage': 8.6}","{'amount': 4226, 'percentage': 4.7}",3 חודשים
50-59,"{'amount': 44438, 'percentage': 7.9}","{'amount': 27534, 'percentage': 4.9}",6 חודשים
50-59,"{'amount': 3603, 'percentage': 9}","{'amount': 1965, 'percentage': 4.9}",חודש אחרון
60-69,"{'amount': 151983, 'percentage': 4.5}","{'amount': 106653, 'percentage': 3.2}",שנה
60-69,"{'amount': 47016, 'percentage': 8.4}","{'amount': 32398, 'percentage': 5.8}",6 חודשים
60-69,"{'amount': 8484, 'percentage': 9.4}","{'amount': 5569, 'percentage': 6.2}",3 חודשים
60-69,"{'amount': 185951, 'percentage': 4}","{'amount': 137473, 'percentage': 2.9}",מתחילת קורונה
60-69,"{'amount': 3564, 'percentage': 8.9}","{'amount': 2391, 'percentage': 6}",חודש אחרון
70-79,"{'amount': 114441, 'percentage': 2.4}","{'amount': 93826, 'percentage': 2}",מתחילת קורונה
70-79,"{'amount': 97024, 'percentage': 2.9}","{'amount': 78092, 'percentage': 2.3}",שנה
70-79,"{'amount': 8387, 'percentage': 9.3}","{'amount': 6407, 'percentage': 7.1}",3 חודשים
70-79,"{'amount': 41102, 'percentage': 7.3}","{'amount': 32301, 'percentage': 5.7}",6 חודשים
70-79,"{'amount': 3282, 'percentage': 8.2}","{'amount': 2578, 'percentage': 6.4}",חודש אחרון
80-89,"{'amount': 41416, 'percentage': 1.2}","{'amount': 30258, 'percentage': 0.9}",שנה
80-89,"{'amount': 4184, 'percentage': 4.6}","{'amount': 2923, 'percentage': 3.2}",3 חודשים
80-89,"{'amount': 51338, 'percentage': 1.1}","{'amount': 37377, 'percentage': 0.8}",מתחילת קורונה
80-89,"{'amount': 19065, 'percentage': 3.4}","{'amount': 13917, 'percentage': 2.5}",6 חודשים
80-89,"{'amount': 1842, 'percentage': 4.6}","{'amount': 1244, 'percentage': 3.1}",חודש אחרון
90+,"{'amount': 5430, 'percentage': 1}","{'amount': 2859, 'percentage': 0.5}",6 חודשים
90+,"{'amount': 11767, 'percentage': 0.4}","{'amount': 6320, 'percentage': 0.2}",שנה
90+,"{'amount': 15368, 'percentage': 0.3}","{'amount': 8068, 'percentage': 0.2}",מתחילת קורונה
90+,"{'amount': 586, 'percentage': 1.5}","{'amount': 332, 'percentage': 0.8}",חודש אחרון
90+,"{'amount': 1215, 'percentage': 1.3}","{'amount': 674, 'percentage': 0.7}",3 חודשים
