name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
בוקעאתא,4.8,צהוב,10.5,0.0148305084745,0, קטן מ-15 ,צהוב,2021-11-21T00:00:00.000Z,76.56,65.13,40.27,
הוד השרון,1.8,ירוק,1.1,0.0022609819121,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,75.67,73.64,59.41,
ברקת,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,43.80,37.96,22.52,0.0
רבבה,3.2,ירוק,3.6,0.0098039215686,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,61.08,55.40,35.57,
גבעת ברנר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,70.54,69.31,55.65,0.0
קרית טבעון,2,ירוק,0.5,0.0007446016381,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,73.99,72.05,58.11,
קציר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,62.60,61.01,47.51,0.0
טורעאן,3.7,ירוק,5.5,0.016129032258,-0.2307692307693,18,ירוק,2021-11-21T00:00:00.000Z,68.23,59.63,31.12,12.5
בועיינה-נוג'ידאת,5.4,כתום,13.0,0.04,-0.2777777777778,23,צהוב,2021-11-21T00:00:00.000Z,68.25,59.57,31.51,23.0
קרית ים,1.1,ירוק,2.3,0.0044009779951,-0.7222222222223,16,ירוק,2021-11-21T00:00:00.000Z,75.61,72.02,54.64,4.1
מייסר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,67.23,62.23,32.81,0.0
עומר,3,ירוק,2.6,0.0039292730844,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,מעל 90%,מעל 90%,73.48,
צור משה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,64.61,62.62,47.18,0.0
מרכז שפירא,2.6,ירוק,4.2,0.0074074074074,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,67.99,63.65,48.06,
טייבה,2.9,ירוק,4.0,0.0044291338582,-0.4857142857143,30,ירוק,2021-11-21T00:00:00.000Z,57.21,49.49,24.31,6.7
קיסריה,2,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,83.30,80.48,64.7,
ג'ש (גוש חלב),8.1,ירוק,51.3,0.061776061776,0.6000000000000001,20,אדום,2021-11-21T00:00:00.000Z,71.19,65.45,45.54,64.1
טבריה,1.2,ירוק,1.5,0.0035317860746,0,20,ירוק,2021-11-21T00:00:00.000Z,61.62,56.82,39.67,4.4
שילה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,45.64,41.75,25.81,0.0
כפר כמא,3.2,ירוק,11.8,0.0263157894736,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,71.08,67.84,51.24,
אריאל,3.3,ירוק,3.9,0.0087527352297,0, קטן מ-15 ,ירוק,2021-11-21T00:00:00.000Z,66.22,63.52,49.1,
בית חשמונאי,2,ירוק,0.0,0,0, 0 ,ירוק,2021-11-21T00:00:00.000Z,79.21,77.11,59.21,0.0
