instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,50,63.1,2022-04-18T00:00:00.000Z
רבין ק. השרון,51.8,49,2022-04-18T00:00:00.000Z
בני ציון,66.9,74.4,2022-04-18T00:00:00.000Z
הכרמל,66,69.1,2022-04-18T00:00:00.000Z
מאיר,75,71.5,2022-04-18T00:00:00.000Z
קפלן,76,75.3,2022-04-18T00:00:00.000Z
וולפסון,77.9,69.5,2022-04-18T00:00:00.000Z
זיו צפת,78.1,68.6,2022-04-18T00:00:00.000Z
המרכזי בעמק,78.7,62.1,2022-04-18T00:00:00.000Z
"רמב""ם",80.3,79.5,2022-04-18T00:00:00.000Z
הדסה הר הצופים,80.6,74,2022-04-18T00:00:00.000Z
ברזילי,81.3,80,2022-04-18T00:00:00.000Z
שמיר,83.8,66,2022-04-18T00:00:00.000Z
פוריה,83.3,74.4,2022-04-18T00:00:00.000Z
לניאדו,92.3,74.9,2022-04-18T00:00:00.000Z
רבין ק. בילינסון,97.8,82.8,2022-04-18T00:00:00.000Z
שיבא,100.4,101.8,2022-04-18T00:00:00.000Z
נהריה,101.6,87.9,2022-04-18T00:00:00.000Z
הלל יפה,108.9,82.9,2022-04-18T00:00:00.000Z
הדסה עין כרם,110.7,73.7,2022-04-18T00:00:00.000Z
אסותא אשדוד,118.6,91.5,2022-04-18T00:00:00.000Z
