period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,125902,34972,27.78
3_Month,0-9,904604,400553,44.28
6_Month,0-9,1232724,501256,40.66
1_Year,0-9,1485547,616852,41.52
All,0-9,1685429,724796,43
1_Month,10-19,135026,33256,24.63
3_Month,10-19,765929,391887,51.16
6_Month,10-19,1144857,536970,46.9
1_Year,10-19,1378689,622137,45.13
All,10-19,1600651,767480,47.95
1_Month,20-29,169221,39826,23.53
3_Month,20-29,664376,267445,40.26
6_Month,20-29,971913,367130,37.77
1_Year,20-29,1191962,427915,35.9
All,20-29,1414691,550094,38.88
1_Month,30-39,172060,45074,26.2
3_Month,30-39,684218,308299,45.06
6_Month,30-39,945866,395881,41.85
1_Year,30-39,1134466,457501,40.33
All,30-39,1314639,544259,41.4
1_Month,40-49,171135,42426,24.79
3_Month,40-49,633675,282545,44.59
6_Month,40-49,862024,363174,42.13
1_Year,40-49,1014244,410727,40.5
All,40-49,1166088,485363,41.62
1_Month,50-59,151737,33610,22.15
3_Month,50-59,482281,190165,39.43
6_Month,50-59,655895,240648,36.69
1_Year,50-59,772932,267853,34.65
All,50-59,896878,325419,36.28
1_Month,60-69,134430,28144,20.94
3_Month,60-69,393202,128677,32.73
6_Month,60-69,534082,164541,30.81
1_Year,60-69,629110,181773,28.89
All,60-69,727427,220400,30.3
1_Month,70-79,92505,18575,20.08
3_Month,70-79,245711,70032,28.5
6_Month,70-79,331984,88953,26.79
1_Year,70-79,393710,98367,24.98
All,70-79,457780,118883,25.97
1_Month,80-89,39408,6732,17.08
3_Month,80-89,95204,27528,28.91
6_Month,80-89,125627,34041,27.1
1_Year,80-89,153639,38561,25.1
All,80-89,194624,49580,25.47
1_Month,90+,10591,1503,14.19
3_Month,90+,23263,7076,30.42
6_Month,90+,29845,8673,29.06
1_Year,90+,36964,9864,26.69
All,90+,50676,13543,26.72
