section,female,male,period
0-9,"{'amount': 15, 'percentage': 0.2}","{'amount': 13, 'percentage': 0.1}",6 חודשים
0-9,"{'amount': 10, 'percentage': 0.3}","{'amount': 5, 'percentage': 0.1}",3 חודשים
0-9,"{'amount': 2, 'percentage': 1}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 25, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 22, 'percentage': 0.1}",שנה
10-19,"{'amount': 2, 'percentage': 1}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 44, 'percentage': 0.3}","{'amount': 28, 'percentage': 0.2}",שנה
10-19,"{'amount': 15, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 27, 'percentage': 0.3}","{'amount': 18, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 29, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 155, 'percentage': 0.9}","{'amount': 142, 'percentage': 0.9}",שנה
20-29,"{'amount': 2, 'percentage': 1}","{'amount': 2, 'percentage': 1}",חודש אחרון
20-29,"{'amount': 158, 'percentage': 0.9}","{'amount': 143, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 63, 'percentage': 1.8}","{'amount': 63, 'percentage': 1.8}",3 חודשים
20-29,"{'amount': 101, 'percentage': 1}","{'amount': 106, 'percentage': 1.1}",6 חודשים
30-39,"{'amount': 238, 'percentage': 2.4}","{'amount': 268, 'percentage': 2.7}",6 חודשים
30-39,"{'amount': 340, 'percentage': 2.1}","{'amount': 411, 'percentage': 2.5}",שנה
30-39,"{'amount': 344, 'percentage': 2.1}","{'amount': 421, 'percentage': 2.5}",מתחילת קורונה
30-39,"{'amount': 11, 'percentage': 5.4}","{'amount': 2, 'percentage': 1}",חודש אחרון
30-39,"{'amount': 136, 'percentage': 3.8}","{'amount': 144, 'percentage': 4.1}",3 חודשים
40-49,"{'amount': 569, 'percentage': 3.5}","{'amount': 930, 'percentage': 5.7}",שנה
40-49,"{'amount': 5, 'percentage': 2.5}","{'amount': 14, 'percentage': 6.9}",חודש אחרון
40-49,"{'amount': 577, 'percentage': 3.4}","{'amount': 944, 'percentage': 5.6}",מתחילת קורונה
40-49,"{'amount': 394, 'percentage': 4}","{'amount': 608, 'percentage': 6.1}",6 חודשים
40-49,"{'amount': 194, 'percentage': 5.5}","{'amount': 278, 'percentage': 7.9}",3 חודשים
50-59,"{'amount': 975, 'percentage': 5.8}","{'amount': 1529, 'percentage': 9.1}",מתחילת קורונה
50-59,"{'amount': 15, 'percentage': 7.4}","{'amount': 14, 'percentage': 6.9}",חודש אחרון
50-59,"{'amount': 968, 'percentage': 5.9}","{'amount': 1484, 'percentage': 9.1}",שנה
50-59,"{'amount': 608, 'percentage': 6.1}","{'amount': 918, 'percentage': 9.3}",6 חודשים
50-59,"{'amount': 278, 'percentage': 7.9}","{'amount': 342, 'percentage': 9.7}",3 חודשים
60-69,"{'amount': 308, 'percentage': 8.7}","{'amount': 345, 'percentage': 9.8}",3 חודשים
60-69,"{'amount': 27, 'percentage': 13.2}","{'amount': 14, 'percentage': 6.9}",חודש אחרון
60-69,"{'amount': 1278, 'percentage': 7.8}","{'amount': 2055, 'percentage': 12.6}",שנה
60-69,"{'amount': 776, 'percentage': 7.8}","{'amount': 1123, 'percentage': 11.3}",6 חודשים
60-69,"{'amount': 1296, 'percentage': 7.7}","{'amount': 2110, 'percentage': 12.6}",מתחילת קורונה
70-79,"{'amount': 25, 'percentage': 12.3}","{'amount': 23, 'percentage': 11.3}",חודש אחרון
70-79,"{'amount': 942, 'percentage': 9.5}","{'amount': 1206, 'percentage': 12.2}",6 חודשים
70-79,"{'amount': 1503, 'percentage': 9.2}","{'amount': 2134, 'percentage': 13.1}",שנה
70-79,"{'amount': 1533, 'percentage': 9.1}","{'amount': 2211, 'percentage': 13.2}",מתחילת קורונה
70-79,"{'amount': 312, 'percentage': 8.8}","{'amount': 340, 'percentage': 9.6}",3 חודשים
80-89,"{'amount': 12, 'percentage': 5.9}","{'amount': 20, 'percentage': 9.8}",חודש אחרון
80-89,"{'amount': 953, 'percentage': 9.6}","{'amount': 883, 'percentage': 8.9}",6 חודשים
80-89,"{'amount': 1544, 'percentage': 9.5}","{'amount': 1510, 'percentage': 9.2}",שנה
80-89,"{'amount': 1593, 'percentage': 9.5}","{'amount': 1560, 'percentage': 9.3}",מתחילת קורונה
80-89,"{'amount': 303, 'percentage': 8.6}","{'amount': 235, 'percentage': 6.7}",3 חודשים
90+,"{'amount': 94, 'percentage': 2.7}","{'amount': 59, 'percentage': 1.7}",3 חודשים
90+,"{'amount': 408, 'percentage': 4.1}","{'amount': 301, 'percentage': 3}",6 חודשים
90+,"{'amount': 718, 'percentage': 4.4}","{'amount': 478, 'percentage': 2.9}",שנה
90+,"{'amount': 749, 'percentage': 4.5}","{'amount': 503, 'percentage': 3}",מתחילת קורונה
90+,"{'amount': 10, 'percentage': 4.9}","{'amount': 3, 'percentage': 1.5}",חודש אחרון
