period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,12121,2191,18.08
3_Month,0-9,90057,41599,46.19
6_Month,0-9,321257,96470,30.03
1_Year,0-9,1386681,596165,42.99
All,0-9,1710953,765193,44.72
1_Month,10-19,14027,2219,15.82
3_Month,10-19,91061,38943,42.77
6_Month,10-19,339184,92904,27.39
1_Year,10-19,1281835,613907,47.89
All,10-19,1628179,806091,49.51
1_Month,20-29,22303,3702,16.6
3_Month,20-29,121252,50631,41.76
6_Month,20-29,456227,111104,24.35
1_Year,20-29,1141055,444422,38.95
All,20-29,1469829,601276,40.91
1_Month,30-39,23272,4434,19.05
3_Month,30-39,137604,62793,45.63
6_Month,30-39,452442,134081,29.63
1_Year,30-39,1097035,489240,44.6
All,30-39,1369536,609044,44.47
1_Month,40-49,23243,4657,20.04
3_Month,40-49,135123,63242,46.8
6_Month,40-49,431343,132216,30.65
1_Year,40-49,987897,451016,45.65
All,40-49,1216695,552554,45.41
1_Month,50-59,23309,4669,20.03
3_Month,50-59,124397,59906,48.16
6_Month,50-59,383016,116229,30.35
1_Year,50-59,772818,319303,41.32
All,50-59,951885,392300,41.21
1_Month,60-69,26652,5748,21.57
3_Month,60-69,133335,65381,49.04
6_Month,60-69,353780,115422,32.63
1_Year,60-69,645032,247682,38.4
All,60-69,785258,296293,37.73
1_Month,70-79,26869,5680,21.14
3_Month,70-79,120465,58623,48.66
6_Month,70-79,257351,94458,36.7
1_Year,70-79,421385,161711,38.38
All,70-79,509325,188055,36.92
1_Month,80-89,18817,2738,14.55
3_Month,80-89,63445,25896,40.82
6_Month,80-89,103812,38898,37.47
1_Year,80-89,164055,65065,39.66
All,80-89,216677,78749,36.34
1_Month,90+,6399,784,12.25
3_Month,90+,18169,6441,35.45
6_Month,90+,25590,9383,36.67
1_Year,90+,39015,16206,41.54
All,90+,56349,20522,36.42
