period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,42905,7117,16.59
3_Month,0-9,237576,52220,21.98
6_Month,0-9,1199600,503869,42
1_Year,0-9,1489944,630211,42.3
All,0-9,1700940,738163,43.4
1_Month,10-19,47260,9820,20.78
3_Month,10-19,258778,52070,20.12
6_Month,10-19,1122321,543673,48.44
1_Year,10-19,1389505,636421,45.8
All,10-19,1620861,781937,48.24
1_Month,20-29,65364,10221,15.64
3_Month,20-29,350996,59124,16.84
6_Month,20-29,964829,381171,39.51
1_Year,20-29,1224003,444370,36.3
All,20-29,1455796,565934,38.87
1_Month,30-39,67089,12658,18.87
3_Month,30-39,341284,70305,20.6
6_Month,30-39,941013,414177,44.01
1_Year,30-39,1166734,479066,41.06
All,30-39,1356020,565162,41.68
1_Month,40-49,67614,13545,20.03
3_Month,40-49,328420,68356,20.81
6_Month,40-49,859979,383092,44.55
1_Year,40-49,1045463,433102,41.43
All,40-49,1203195,507125,42.15
1_Month,50-59,64654,13141,20.33
3_Month,50-59,292720,57403,19.61
6_Month,50-59,664657,261086,39.28
1_Year,50-59,810150,289257,35.7
All,50-59,937308,346209,36.94
1_Month,60-69,64942,14055,21.64
3_Month,60-69,262588,53031,20.2
6_Month,60-69,549656,186992,34.02
1_Year,60-69,667363,204849,30.7
All,60-69,767806,243106,31.66
1_Month,70-79,52980,12893,24.34
3_Month,70-79,180698,39792,22.02
6_Month,70-79,348003,108698,31.23
1_Year,70-79,423334,118433,27.98
All,70-79,487985,138789,28.44
1_Month,80-89,27570,4555,16.52
3_Month,80-89,69677,14473,20.77
6_Month,80-89,130016,41239,31.72
1_Year,80-89,162573,45874,28.22
All,80-89,204544,56840,27.79
1_Month,90+,8582,957,11.15
3_Month,90+,17464,3222,18.45
6_Month,90+,30358,10279,33.86
1_Year,90+,38481,11495,29.87
All,90+,52826,15151,28.68
