priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
year,אקואדור,כתום,2,359,2,0.56,2021-11-12T00:00:00.000Z
year,פורטו ריקו,כתום,2,95,0,0,2021-11-12T00:00:00.000Z
year,מלטה,צהוב,3,635,0,0,2021-11-12T00:00:00.000Z
year,רואנדה,צהוב,3,395,2,0.51,2021-11-12T00:00:00.000Z
year,קפריסין,צהוב,3,70241,252,0.36,2021-11-12T00:00:00.000Z
year,גמביה,כתום,2,30,0,0,2021-11-12T00:00:00.000Z
year,אנגליה,כתום,2,1,0,0,2021-11-12T00:00:00.000Z
year,גינאה החדשה,כתום,2,3,0,0,2021-11-12T00:00:00.000Z
year,ראוניון,כתום,2,9,0,0,2021-11-12T00:00:00.000Z
year,הונדורס,כתום,2,80,0,0,2021-11-12T00:00:00.000Z
year,סט וינסנט,כתום,2,9,1,11.11,2021-11-12T00:00:00.000Z
year,יפן,כתום,2,726,3,0.41,2021-11-12T00:00:00.000Z
year,אנדורה,צהוב,3,29,0,0,2021-11-12T00:00:00.000Z
year,בהמס,כתום,2,52,0,0,2021-11-12T00:00:00.000Z
year,לטביה,כתום,2,2646,3,0.11,2021-11-12T00:00:00.000Z
year,בוליביה,כתום,2,97,0,0,2021-11-12T00:00:00.000Z
year,תורכמניסטאן,כתום,2,1086,26,2.39,2021-11-12T00:00:00.000Z
year,טג'יקיסטאן,כתום,2,80,0,0,2021-11-12T00:00:00.000Z
UpToNow,סלובניה,כתום,2,1605,7,0.44,2021-11-12T00:00:00.000Z
UpToNow,קזחסטאן,כתום,2,921,27,2.93,2021-11-12T00:00:00.000Z
UpToNow,בוטסואנה,כתום,2,143,0,0,2021-11-12T00:00:00.000Z
UpToNow,פאפואה,כתום,2,15,0,0,2021-11-12T00:00:00.000Z
UpToNow,איי סיישל,כתום,2,6036,10,0.17,2021-11-12T00:00:00.000Z
UpToNow,גואם,כתום,2,1,0,0,2021-11-12T00:00:00.000Z
UpToNow,סינגפור,כתום,2,569,2,0.35,2021-11-12T00:00:00.000Z
UpToNow,קוסובו,צהוב,3,71,0,0,2021-11-12T00:00:00.000Z
UpToNow,אריתראה,כתום,2,5,0,0,2021-11-12T00:00:00.000Z
UpToNow,אלבניה,כתום,2,1770,9,0.51,2021-11-12T00:00:00.000Z
UpToNow,אירלנד,כתום,2,1514,0,0,2021-11-12T00:00:00.000Z
UpToNow,איי קוק,כתום,2,4,0,0,2021-11-12T00:00:00.000Z
UpToNow,ארגנטינה,צהוב,3,1668,6,0.36,2021-11-12T00:00:00.000Z
UpToNow,כווית,כתום,2,8,0,0,2021-11-12T00:00:00.000Z
UpToNow,סין,כתום,2,2828,6,0.21,2021-11-12T00:00:00.000Z
UpToNow,אתיופיה,כתום,2,4749,48,1.01,2021-11-12T00:00:00.000Z
UpToNow,האיטי,כתום,2,4,0,0,2021-11-12T00:00:00.000Z
LastMonth,צרפת,צהוב,3,31357,24,0.08,2021-11-12T00:00:00.000Z
LastMonth,מונטנגרו,כתום,2,2004,1,0.05,2021-11-12T00:00:00.000Z
LastMonth,גרמניה,צהוב,3,17173,19,0.11,2021-11-12T00:00:00.000Z
LastMonth,בליז,צהוב,3,6,0,0,2021-11-12T00:00:00.000Z
LastMonth,ויטנאם,צהוב,3,288,0,0,2021-11-12T00:00:00.000Z
LastMonth,אוסטרליה,צהוב,3,258,0,0,2021-11-12T00:00:00.000Z
LastMonth,לבנון,כתום,2,6,0,0,2021-11-12T00:00:00.000Z
LastMonth,ליטא,כתום,2,1148,0,0,2021-11-12T00:00:00.000Z
LastMonth,בולגריה,כתום,2,3371,7,0.21,2021-11-12T00:00:00.000Z
LastMonth,דנמרק,כתום,2,1046,0,0,2021-11-12T00:00:00.000Z
LastMonth,קובה,כתום,2,8,0,0,2021-11-12T00:00:00.000Z
LastMonth,קטר,כתום,2,22,0,0,2021-11-12T00:00:00.000Z
LastMonth,גינאה,כתום,2,6,0,0,2021-11-12T00:00:00.000Z
LastMonth,אוקראינה,כתום,2,12924,148,1.15,2021-11-12T00:00:00.000Z
LastMonth,גמייקה,כתום,2,1,0,0,2021-11-12T00:00:00.000Z
LastMonth,תוניסיה,כתום,2,64,0,0,2021-11-12T00:00:00.000Z
LastMonth,עומן,כתום,2,5,0,0,2021-11-12T00:00:00.000Z
LastMonth,טנזניה,כתום,2,549,0,0,2021-11-12T00:00:00.000Z
LastMonth,פורטוגל,צהוב,3,3440,1,0.03,2021-11-12T00:00:00.000Z
LastMonth,מלזיה,כתום,2,2,0,0,2021-11-12T00:00:00.000Z
LastMonth,הולנד,כתום,2,10290,9,0.09,2021-11-12T00:00:00.000Z
LastMonth,נפאל,כתום,2,90,0,0,2021-11-12T00:00:00.000Z
