date,visited_country,israeli_positive,foreigner_positive,israeli_percnet_positive,foreigner_percnet_positive
2021-05-02T00:00:00.000Z,מלטה,0,0,0,0
2021-05-02T00:00:00.000Z,רומניה,0,0,0,0
2021-05-02T00:00:00.000Z,קוסטה ריקה,0,0,0,0
2021-05-02T00:00:00.000Z,אזרביג'אן,0,0,0,0
2021-05-02T00:00:00.000Z,ארצות הברית,0,0,0,0
2021-05-02T00:00:00.000Z,שוודיה,0,0,0,0
2021-05-02T00:00:00.000Z,פיליפינים,0,1,0,14.3
2021-05-02T00:00:00.000Z,צרפת,0,1,0,1.4
2021-05-02T00:00:00.000Z,אירלנד,0,0,0,0
2021-05-02T00:00:00.000Z,לוכסמבורג,0,0,0,0
2021-05-02T00:00:00.000Z,קנדה,0,0,0,0
2021-05-02T00:00:00.000Z,אינדונזיה,0,0,0,0
2021-05-02T00:00:00.000Z,אוגנדה,0,0,0,0
2021-05-02T00:00:00.000Z,קוריאה הדרומית,0,0,0,0
2021-05-02T00:00:00.000Z,צ'ילה,0,0,0,0
2021-05-02T00:00:00.000Z,מקסיקו,0,0,0,0
2021-05-02T00:00:00.000Z,איטליה,0,0,0,0
2021-05-02T00:00:00.000Z,ניגריה,0,0,0,0
2021-05-02T00:00:00.000Z,תורכיה,0,1,0,9.1
2021-05-02T00:00:00.000Z,עירק,0,0,0,0
2021-05-02T00:00:00.000Z,קרואטיה,0,0,0,0
2021-05-02T00:00:00.000Z,גאורגיה,0,0,0,0
2021-05-02T00:00:00.000Z,ברזיל,0,0,0,0
2021-05-02T00:00:00.000Z,קניה,0,0,0,0
2021-05-02T00:00:00.000Z,קזחסטאן,0,0,0,0
2021-05-02T00:00:00.000Z,תורכמניסטאן,0,0,0,0
2021-05-02T00:00:00.000Z,ונצואלה,0,0,0,0
2021-05-02T00:00:00.000Z,רוסיה,0,0,0,0
2021-05-02T00:00:00.000Z,בולגריה,0,0,0,0
2021-05-02T00:00:00.000Z,קפריסין,0,0,0,0
2021-05-02T00:00:00.000Z,סרי לנקה (צילון),0,0,0,0
2021-05-02T00:00:00.000Z,אוקראינה,0,0,0,0
2021-05-02T00:00:00.000Z,מצרים,0,0,0,0
2021-05-02T00:00:00.000Z,מלדיבים,0,0,0,0
