cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Sinan,קטן מ-15,אין מידע,45,31.46,6.15,כתום,14306
Afula,קטן מ-15,אין מידע,149,26.21,5.36,צהוב,56844
Akko,קטן מ-15,אין מידע,142,28.68,4.34,ירוק,49517
Alfe Menashe,קטן מ-15,אין מידע,18,22.47,8.05,אדום,8011
Ar'ara,קטן מ-15,אין מידע,30,11.75,2.84,ירוק,25525
Arad,קטן מ-15,אין מידע,56,20.61,5.88,צהוב,27170
Ari'el,קטן מ-15,אין מידע,39,19.04,5.64,צהוב,20488
Arrabe,קטן מ-15,אין מידע,32,12.18,3.96,ירוק,26274
Ashdod,30,6.61,454,20.06,6.12,כתום,226329
Ashqelon,45,8.98,501,34.21,6.15,כתום,146442
Azor,קטן מ-15,אין מידע,42,31.75,4.43,ירוק,13228
Baqa Al-Gharbiyye,קטן מ-15,אין מידע,33,10.84,4.25,ירוק,30448
Bat Yam,27,6.89,392,30.68,6.84,כתום,127772
Be'er Sheva,52,8.48,613,29.10,5.3,צהוב,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,31,10.76,5.32,צהוב,28818
Beit Jann,קטן מ-15,אין מידע,17,13.97,8.07,אדום,12169
Bene Ayish,קטן מ-15,אין מידע,17,24.63,6.02,כתום,6902
Bene Beraq,קטן מ-15,אין מידע,125,6.01,2.57,ירוק,208031
Bet She'an,קטן מ-15,אין מידע,65,34.25,6.74,כתום,18980
Bet Shemesh,קטן מ-15,אין מידע,77,5.82,5.71,צהוב,132210
Binyamina-Giv'at Ada,קטן מ-15,אין מידע,53,33.19,6.34,כתום,15971
Daburiyya,0,0,17,15.91,3.37,ירוק,10682
Daliyat Al-Karmel,קטן מ-15,אין מידע,18,10.08,5.62,צהוב,17862
Deir Al-Asad,קטן מ-15,אין מידע,19,14.95,4.9,צהוב,12710
Deir Hanna,קטן מ-15,אין מידע,30,28.68,5.48,צהוב,10459
Dimona,קטן מ-15,אין מידע,74,21.17,5.52,צהוב,34954
Eilabun,קטן מ-15,אין מידע,17,29.41,6.33,כתום,5781
Elat,15,20.27,74,14.09,6.43,כתום,52507
Even Yehuda,קטן מ-15,אין מידע,37,26.36,7.23,כתום,14036
Gan Yavne,קטן מ-15,אין מידע,32,13.40,5.43,צהוב,23887
Ganne Tiqwa,קטן מ-15,אין מידע,59,27.43,6.23,כתום,21508
Gedera,קטן מ-15,אין מידע,55,19.09,5.11,צהוב,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,54,19.83,6.04,כתום,27236
Giv'atayim,קטן מ-15,אין מידע,128,21.03,5.92,צהוב,60872
Hadera,קטן מ-15,אין מידע,239,24.16,5.48,צהוב,98928
Haifa,52,5.31,980,34.39,6.29,כתום,284981
Harish,קטן מ-15,אין מידע,33,16.83,5.87,צהוב,19608
Herzliyya,19,7.51,253,25.50,5.99,צהוב,99208
Hod Hasharon,קטן מ-15,אין מידע,159,24.55,6.29,כתום,64755
Holon,45,9.13,493,25.09,6.04,כתום,196510
Jerusalem,67,7.14,939,9.85,4.13,ירוק,952916
Judeide-Maker,קטן מ-15,אין מידע,22,10.31,4.74,צהוב,21331
Kafar Kanna,קטן מ-15,אין מידע,16,6.88,4.15,ירוק,23251
Kafar Qara,קטן מ-15,אין מידע,31,16.04,6.28,כתום,19330
Kafar Qasem,קטן מ-15,אין מידע,24,9.90,2.91,ירוק,24236
Kafar Yasif,0,0,17,16.59,4.11,ירוק,10249
Karmi'el,קטן מ-15,אין מידע,161,34.86,7.13,כתום,46190
Kefar Sava,32,8.63,371,36.49,6.34,כתום,101664
Kefar Yona,קטן מ-15,אין מידע,43,16.45,5.66,צהוב,26140
Kokhav Ya'ir,קטן מ-15,אין מידע,23,26.32,5.95,צהוב,8738
Lehavim,קטן מ-15,אין מידע,23,34.63,7.95,אדום,6641
Lod,17,13.60,125,15.47,5.07,צהוב,80786
Ma'ale Adummim,קטן מ-15,אין מידע,47,12.43,5.22,צהוב,37802
Ma'alot-Tarshiha,קטן מ-15,אין מידע,37,16.70,4.61,צהוב,22158
Majdal Shams,קטן מ-15,אין מידע,17,15.12,6.59,כתום,11244
Mazkeret Batya,קטן מ-15,אין מידע,24,15.90,5.35,צהוב,15095
Metar,קטן מ-15,אין מידע,23,23.09,6.67,כתום,9963
Mevasseret Ziyyon,קטן מ-15,אין מידע,64,26.29,6.51,כתום,24347
Migdal Haemeq,קטן מ-15,אין מידע,42,16.29,5.6,צהוב,25790
Modi'in-Makkabbim-Re'ut,26,13.13,198,20.90,6.47,כתום,94744
Mughar,קטן מ-15,אין מידע,49,21.06,7.83,אדום,23271
Nahariyya,15,8.98,167,28.21,6.83,כתום,59189
Nazareth,קטן מ-15,אין מידע,109,14.02,5.56,צהוב,77734
Nes Ziyyona,17,17.71,96,19.00,5.79,צהוב,50532
Nesher,קטן מ-15,אין מידע,66,27.56,5.69,צהוב,23947
Netanya,29,5.72,507,22.68,5.35,צהוב,223562
Netivot,קטן מ-15,אין מידע,65,16.47,3.3,ירוק,39456
Nof Hagalil,קטן מ-15,אין מידע,104,24.79,7.16,כתום,41950
Ofaqim,קטן מ-15,אין מידע,46,14.21,3.62,ירוק,32378
Omer,קטן מ-15,אין מידע,18,23.78,5.25,צהוב,7569
Or Aqiva,קטן מ-15,אין מידע,62,31.93,4.69,צהוב,19417
Or Yehuda,קטן מ-15,אין מידע,80,21.87,4.3,ירוק,36587
Oranit,קטן מ-15,אין מידע,23,25.53,5.23,צהוב,9010
Pardes Hanna-Karkur,קטן מ-15,אין מידע,110,25.20,5.78,צהוב,43646
Pardesiyya,קטן מ-15,אין מידע,23,34.60,5.19,צהוב,6647
Petah Tiqwa,61,7.69,793,31.67,6.03,כתום,250427
