section,female,male,period,order_period
0-9,"{'amount': 4, 'percentage': 0.8}","{'amount': 5, 'percentage': 1}",חודש אחרון,5
0-9,"{'amount': 32, 'percentage': 0.2}","{'amount': 42, 'percentage': 0.3}",שנה,2
0-9,"{'amount': 18, 'percentage': 0.3}","{'amount': 26, 'percentage': 0.5}",6 חודשים,3
0-9,"{'amount': 15, 'percentage': 0.3}","{'amount': 24, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 37, 'percentage': 0.2}","{'amount': 54, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 57, 'percentage': 0.3}","{'amount': 44, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 2, 'percentage': 0.4}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 14, 'percentage': 0.3}","{'amount': 13, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 19, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 42, 'percentage': 0.3}","{'amount': 33, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 67, 'percentage': 1.3}","{'amount': 50, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 65, 'percentage': 1.4}","{'amount': 46, 'percentage': 1}",3 חודשים,4
20-29,"{'amount': 9, 'percentage': 1.8}","{'amount': 8, 'percentage': 1.6}",חודש אחרון,5
20-29,"{'amount': 227, 'percentage': 1}","{'amount': 182, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 170, 'percentage': 1.1}","{'amount': 148, 'percentage': 1}",שנה,2
30-39,"{'amount': 387, 'percentage': 2.5}","{'amount': 401, 'percentage': 2.6}",שנה,2
30-39,"{'amount': 151, 'percentage': 2.8}","{'amount': 163, 'percentage': 3}",6 חודשים,3
30-39,"{'amount': 132, 'percentage': 2.9}","{'amount': 150, 'percentage': 3.3}",3 חודשים,4
30-39,"{'amount': 16, 'percentage': 3.2}","{'amount': 18, 'percentage': 3.7}",חודש אחרון,5
30-39,"{'amount': 494, 'percentage': 2.2}","{'amount': 547, 'percentage': 2.5}",מתחילת קורונה,1
40-49,"{'amount': 631, 'percentage': 4.1}","{'amount': 914, 'percentage': 6}",שנה,2
40-49,"{'amount': 232, 'percentage': 4.3}","{'amount': 326, 'percentage': 6.1}",6 חודשים,3
40-49,"{'amount': 216, 'percentage': 4.8}","{'amount': 293, 'percentage': 6.5}",3 חודשים,4
40-49,"{'amount': 26, 'percentage': 5.3}","{'amount': 23, 'percentage': 4.7}",חודש אחרון,5
40-49,"{'amount': 807, 'percentage': 3.6}","{'amount': 1229, 'percentage': 5.5}",מתחילת קורונה,1
50-59,"{'amount': 318, 'percentage': 5.9}","{'amount': 427, 'percentage': 8}",6 חודשים,3
50-59,"{'amount': 277, 'percentage': 6.2}","{'amount': 383, 'percentage': 8.5}",3 חודשים,4
50-59,"{'amount': 926, 'percentage': 6.1}","{'amount': 1352, 'percentage': 8.8}",שנה,2
50-59,"{'amount': 1301, 'percentage': 5.9}","{'amount': 1940, 'percentage': 8.8}",מתחילת קורונה,1
50-59,"{'amount': 40, 'percentage': 8.1}","{'amount': 49, 'percentage': 9.9}",חודש אחרון,5
60-69,"{'amount': 380, 'percentage': 8.5}","{'amount': 482, 'percentage': 10.8}",3 חודשים,4
60-69,"{'amount': 444, 'percentage': 8.3}","{'amount': 580, 'percentage': 10.8}",6 חודשים,3
60-69,"{'amount': 55, 'percentage': 11.2}","{'amount': 62, 'percentage': 12.6}",חודש אחרון,5
60-69,"{'amount': 1775, 'percentage': 8}","{'amount': 2678, 'percentage': 12.1}",מתחילת קורונה,1
60-69,"{'amount': 1241, 'percentage': 8.1}","{'amount': 1704, 'percentage': 11.1}",שנה,2
70-79,"{'amount': 44, 'percentage': 8.9}","{'amount': 42, 'percentage': 8.5}",חודש אחרון,5
70-79,"{'amount': 405, 'percentage': 9}","{'amount': 474, 'percentage': 10.6}",3 חודשים,4
70-79,"{'amount': 495, 'percentage': 9.2}","{'amount': 608, 'percentage': 11.3}",6 חודשים,3
70-79,"{'amount': 1453, 'percentage': 9.5}","{'amount': 1816, 'percentage': 11.9}",שנה,2
70-79,"{'amount': 2058, 'percentage': 9.3}","{'amount': 2831, 'percentage': 12.8}",מתחילת קורונה,1
80-89,"{'amount': 418, 'percentage': 9.3}","{'amount': 399, 'percentage': 8.9}",3 חודשים,4
80-89,"{'amount': 1485, 'percentage': 9.7}","{'amount': 1406, 'percentage': 9.2}",שנה,2
80-89,"{'amount': 519, 'percentage': 9.7}","{'amount': 520, 'percentage': 9.7}",6 חודשים,3
80-89,"{'amount': 35, 'percentage': 7.1}","{'amount': 29, 'percentage': 5.9}",חודש אחרון,5
80-89,"{'amount': 2134, 'percentage': 9.6}","{'amount': 2088, 'percentage': 9.4}",מתחילת קורונה,1
90+,"{'amount': 1017, 'percentage': 4.6}","{'amount': 650, 'percentage': 2.9}",מתחילת קורונה,1
90+,"{'amount': 16, 'percentage': 3.2}","{'amount': 10, 'percentage': 2}",חודש אחרון,5
90+,"{'amount': 195, 'percentage': 4.3}","{'amount': 102, 'percentage': 2.3}",3 חודשים,4
90+,"{'amount': 250, 'percentage': 4.7}","{'amount': 131, 'percentage': 2.4}",6 חודשים,3
90+,"{'amount': 671, 'percentage': 4.4}","{'amount': 443, 'percentage': 2.9}",שנה,2
