period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,40291,8808,21.86
3_Month,0-9,234475,51760,22.07
6_Month,0-9,1197258,505229,42.2
1_Year,0-9,1490038,631937,42.41
All,0-9,1701329,739834,43.49
1_Month,10-19,43996,12094,27.49
3_Month,10-19,255587,52323,20.47
6_Month,10-19,1120015,545594,48.71
1_Year,10-19,1389381,638687,45.97
All,10-19,1621200,784123,48.37
1_Month,20-29,53670,12157,22.65
3_Month,20-29,344486,59186,17.18
6_Month,20-29,962409,383299,39.83
1_Year,20-29,1224004,446666,36.49
All,20-29,1456357,568071,39.01
1_Month,30-39,56323,14714,26.12
3_Month,30-39,335853,69928,20.82
6_Month,30-39,939233,416539,44.35
1_Year,30-39,1166782,481621,41.28
All,30-39,1356549,567554,41.84
1_Month,40-49,57444,15794,27.49
3_Month,40-49,323661,68327,21.11
6_Month,40-49,858925,385828,44.92
1_Year,40-49,1045644,435951,41.69
All,40-49,1203779,509838,42.35
1_Month,50-59,55379,15262,27.56
3_Month,50-59,288009,57925,20.11
6_Month,50-59,664169,263821,39.72
1_Year,50-59,810533,292062,36.03
All,50-59,937971,348866,37.19
1_Month,60-69,57058,16088,28.2
3_Month,60-69,258590,53996,20.88
6_Month,60-69,549545,189713,34.52
1_Year,60-69,667937,207603,31.08
All,60-69,768525,245765,31.98
1_Month,70-79,49496,14719,29.74
3_Month,70-79,179082,41211,23.01
6_Month,70-79,348571,111215,31.91
1_Year,70-79,424252,120976,28.52
All,70-79,488916,141277,28.9
1_Month,80-89,27265,5323,19.52
3_Month,80-89,69658,15121,21.71
6_Month,80-89,130404,42213,32.37
1_Year,80-89,163085,46840,28.72
All,80-89,205024,57787,28.19
1_Month,90+,8628,1080,12.52
3_Month,90+,17485,3333,19.06
6_Month,90+,30416,10459,34.39
1_Year,90+,38601,11673,30.24
All,90+,52943,15329,28.95
