name,value
פסיכולוגיה,14
שירות סוציאלי,14
קלינאות תקשורת,20
פראמדיקים,21
ריפוי בעיסוק,24
פיזיותרפיה,34
מעבדה,43
רוקחות,65
מערך לוגיסטי,85
כוח עזר,172
חובשי רפואת חירום,202
מינהל ומשק,575
סקטורים אחרים,1273
