gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
נקבה,60-69,שנה,84944,3,273,6.1,239,9,980,7.6
נקבה,60-69,חודש אחרון,28449,3.3,49,3.7,53,6.4,244,6.8
זכר,70-79,שנה,34038,1.2,606,13.6,374,14.1,1560,12.1
זכר,70-79,6 חודשים,30246,1.2,401,13.2,255,14.4,1042,12.3
זכר,70-79,3 חודשים,28978,1.3,259,12.9,170,15.4,762,13.9
זכר,70-79,חודש אחרון,10416,1.2,180,13.5,127,15.3,511,14.2
זכר,70-79,מתחילת קורונה,44815,1.2,1550,15.2,994,17.2,3604,13
נקבה,70-79,מתחילת קורונה,52668,1.5,975,9.5,560,9.7,2625,9.5
נקבה,70-79,חודש אחרון,13837,1.6,129,9.6,84,10.1,383,10.6
נקבה,70-79,3 חודשים,35412,1.6,189,9.4,111,10.1,574,10.5
נקבה,70-79,6 חודשים,37043,1.5,316,10.4,190,10.7,859,10.1
נקבה,70-79,שנה,41447,1.5,468,10.5,277,10.5,1285,9.9
זכר,80-89,3 חודשים,10387,0.5,389,19.4,136,12.3,813,14.9
זכר,80-89,חודש אחרון,3991,0.5,280,20.9,106,12.8,564,15.7
זכר,80-89,6 חודשים,10995,0.4,534,17.5,181,10.2,1041,12.3
זכר,80-89,מתחילת קורונה,17573,0.5,1795,17.6,613,10.6,2943,10.7
זכר,80-89,שנה,12714,0.4,764,17.2,259,9.8,1483,11.5
נקבה,80-89,6 חודשים,15670,0.6,516,16.9,159,9,1084,12.8
נקבה,80-89,חודש אחרון,5946,0.7,249,18.6,96,11.6,524,14.5
נקבה,80-89,מתחילת קורונה,24615,0.7,1647,16.1,464,8.1,3007,10.9
נקבה,80-89,3 חודשים,14787,0.7,381,19,118,10.7,832,15.2
נקבה,80-89,שנה,17862,0.6,741,16.7,226,8.5,1542,11.9
זכר,90+,מתחילת קורונה,4097,0.1,803,7.9,130,2.3,990,3.6
זכר,90+,שנה,2860,0.1,344,7.7,57,2.2,500,3.9
זכר,90+,6 חודשים,2483,0.1,258,8.5,42,2.4,386,4.6
זכר,90+,חודש אחרון,920,0.1,137,10.2,24,2.9,218,6.1
זכר,90+,3 חודשים,2340,0.1,212,10.6,34,3.1,322,5.9
נקבה,90+,6 חודשים,4639,0.2,332,10.9,49,2.8,560,6.6
נקבה,90+,מתחילת קורונה,7954,0.2,1070,10.5,130,2.3,1477,5.3
נקבה,90+,3 חודשים,4369,0.2,238,11.9,38,3.4,431,7.9
נקבה,90+,חודש אחרון,1666,0.2,158,11.8,30,3.6,288,8
נקבה,90+,שנה,5328,0.2,444,10,65,2.5,745,5.8
