instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,62.3,73.4,2022-02-28T00:00:00.000Z
הדסה הר הצופים,66.7,85.4,2022-02-28T00:00:00.000Z
הכרמל,66,88.5,2022-02-28T00:00:00.000Z
יוספטל,68.8,50.8,2022-02-28T00:00:00.000Z
סורוקה,69.8,77.7,2022-02-28T00:00:00.000Z
וולפסון,71.3,83.9,2022-02-28T00:00:00.000Z
פוריה,78.2,78.6,2022-02-28T00:00:00.000Z
בני ציון,82.6,91.5,2022-02-28T00:00:00.000Z
מאיר,83.5,89.6,2022-02-28T00:00:00.000Z
לניאדו,83.3,98.1,2022-02-28T00:00:00.000Z
שמואל הרופא,88.9,80.4,2022-02-28T00:00:00.000Z
קפלן,88.7,88,2022-02-28T00:00:00.000Z
שמיר,91.5,76.9,2022-02-28T00:00:00.000Z
נהריה,93.2,81.2,2022-02-28T00:00:00.000Z
המרכזי בעמק,94.2,71.5,2022-02-28T00:00:00.000Z
"רמב""ם",96.5,93.6,2022-02-28T00:00:00.000Z
הדסה עין כרם,101.9,95.6,2022-02-28T00:00:00.000Z
ברזילי,102.1,86.9,2022-02-28T00:00:00.000Z
שיבא,107.5,108.1,2022-02-28T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.7,2022-02-28T00:00:00.000Z
אסותא אשדוד,113.6,107.5,2022-02-28T00:00:00.000Z
זיו צפת,114.1,75.8,2022-02-28T00:00:00.000Z
רבין ק. בילינסון,115.4,95.4,2022-02-28T00:00:00.000Z
