section,male,female,period
0-9,"{'amount': 55, 'percentage': 0.8}","{'amount': 35, 'percentage': 0.5}",6 חודשים
0-9,"{'amount': 81, 'percentage': 0.7}","{'amount': 54, 'percentage': 0.4}",שנה
0-9,"{'amount': 1, 'percentage': 0.3}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 13, 'percentage': 0.9}","{'amount': 4, 'percentage': 0.3}",3 חודשים
0-9,"{'amount': 112, 'percentage': 0.4}","{'amount': 73, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 24, 'percentage': 0.3}","{'amount': 15, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 77, 'percentage': 0.3}","{'amount': 78, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 41, 'percentage': 0.3}","{'amount': 34, 'percentage': 0.3}",שנה
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
20-29,"{'amount': 41, 'percentage': 0.6}","{'amount': 24, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 94, 'percentage': 0.8}","{'amount': 97, 'percentage': 0.8}",שנה
20-29,"{'amount': 3, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 6, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 245, 'percentage': 0.8}","{'amount': 270, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 59, 'percentage': 0.8}","{'amount': 64, 'percentage': 0.9}",6 חודשים
30-39,"{'amount': 216, 'percentage': 1.7}","{'amount': 221, 'percentage': 1.8}",שנה
30-39,"{'amount': 1, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.5}",חודש אחרון
30-39,"{'amount': 13, 'percentage': 0.9}","{'amount': 15, 'percentage': 1.1}",3 חודשים
30-39,"{'amount': 625, 'percentage': 2.1}","{'amount': 596, 'percentage': 2}",מתחילת קורונה
40-49,"{'amount': 141, 'percentage': 2}","{'amount': 83, 'percentage': 1.2}",6 חודשים
40-49,"{'amount': 465, 'percentage': 3.8}","{'amount': 333, 'percentage': 2.7}",שנה
40-49,"{'amount': 3, 'percentage': 0.8}","{'amount': 2, 'percentage': 0.5}",חודש אחרון
40-49,"{'amount': 18, 'percentage': 1.3}","{'amount': 11, 'percentage': 0.8}",3 חודשים
40-49,"{'amount': 1403, 'percentage': 4.8}","{'amount': 966, 'percentage': 3.3}",מתחילת קורונה
50-59,"{'amount': 2235, 'percentage': 7.7}","{'amount': 1571, 'percentage': 5.4}",מתחילת קורונה
50-59,"{'amount': 11, 'percentage': 3}","{'amount': 8, 'percentage': 2.2}",חודש אחרון
50-59,"{'amount': 717, 'percentage': 5.8}","{'amount': 527, 'percentage': 4.3}",שנה
50-59,"{'amount': 304, 'percentage': 4.4}","{'amount': 204, 'percentage': 2.9}",6 חודשים
50-59,"{'amount': 47, 'percentage': 3.3}","{'amount': 30, 'percentage': 2.1}",3 חודשים
60-69,"{'amount': 1196, 'percentage': 9.7}","{'amount': 891, 'percentage': 7.2}",שנה
60-69,"{'amount': 617, 'percentage': 8.9}","{'amount': 430, 'percentage': 6.2}",6 חודשים
60-69,"{'amount': 35, 'percentage': 9.6}","{'amount': 19, 'percentage': 5.2}",חודש אחרון
60-69,"{'amount': 120, 'percentage': 8.6}","{'amount': 79, 'percentage': 5.6}",3 חודשים
60-69,"{'amount': 3294, 'percentage': 11.3}","{'amount': 2228, 'percentage': 7.6}",מתחילת קורונה
70-79,"{'amount': 3701, 'percentage': 12.7}","{'amount': 2805, 'percentage': 9.6}",מתחילת קורונה
70-79,"{'amount': 55, 'percentage': 15.1}","{'amount': 44, 'percentage': 12.1}",חודש אחרון
70-79,"{'amount': 1582, 'percentage': 12.8}","{'amount': 1240, 'percentage': 10}",שנה
70-79,"{'amount': 980, 'percentage': 14.1}","{'amount': 734, 'percentage': 10.5}",6 חודשים
70-79,"{'amount': 209, 'percentage': 14.9}","{'amount': 139, 'percentage': 9.9}",3 חודשים
80-89,"{'amount': 1564, 'percentage': 12.6}","{'amount': 1616, 'percentage': 13.1}",שנה
80-89,"{'amount': 1046, 'percentage': 15}","{'amount': 1086, 'percentage': 15.6}",6 חודשים
80-89,"{'amount': 58, 'percentage': 15.9}","{'amount': 58, 'percentage': 15.9}",חודש אחרון
80-89,"{'amount': 220, 'percentage': 15.7}","{'amount': 217, 'percentage': 15.5}",3 חודשים
80-89,"{'amount': 3083, 'percentage': 10.6}","{'amount': 3191, 'percentage': 10.9}",מתחילת קורונה
90+,"{'amount': 448, 'percentage': 6.4}","{'amount': 578, 'percentage': 8.3}",6 חודשים
90+,"{'amount': 570, 'percentage': 4.6}","{'amount': 828, 'percentage': 6.7}",שנה
90+,"{'amount': 115, 'percentage': 8.2}","{'amount': 140, 'percentage': 10}",3 חודשים
90+,"{'amount': 26, 'percentage': 7.1}","{'amount': 38, 'percentage': 10.4}",חודש אחרון
90+,"{'amount': 1046, 'percentage': 3.6}","{'amount': 1550, 'percentage': 5.3}",מתחילת קורונה
