period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,7896,1093,13.84
3_Month,0-9,18862,2994,15.87
6_Month,0-9,101165,41932,41.45
1_Year,0-9,1222535,536196,43.86
All,0-9,1714998,767639,44.76
1_Month,10-19,12718,3386,26.62
3_Month,10-19,28964,7094,24.49
6_Month,10-19,108591,42110,38.78
1_Year,10-19,1145546,575555,50.24
All,10-19,1631692,810523,49.67
1_Month,20-29,18407,5068,27.53
3_Month,20-29,41443,9722,23.46
6_Month,20-29,145392,55930,38.47
1_Year,20-29,1008519,428384,42.48
All,20-29,1477210,607947,41.16
1_Month,30-39,18658,5407,28.98
3_Month,30-39,40953,10917,26.66
6_Month,30-39,158121,68545,43.35
1_Year,30-39,981236,471560,48.06
All,30-39,1375113,616623,44.84
1_Month,40-49,19868,6031,30.36
3_Month,40-49,42964,12418,28.9
6_Month,40-49,155583,70192,45.12
1_Year,40-49,896896,442505,49.34
All,40-49,1221861,560876,45.9
1_Month,50-59,20437,6194,30.31
3_Month,50-59,43774,13079,29.88
6_Month,50-59,145054,67764,46.72
1_Year,50-59,704595,321928,45.69
All,50-59,957628,402340,42.01
1_Month,60-69,22576,6616,29.31
3_Month,60-69,49658,15101,30.41
6_Month,60-69,156625,74910,47.83
1_Year,60-69,595083,256545,43.11
All,60-69,791878,309217,39.05
1_Month,70-79,24467,6523,26.66
3_Month,70-79,52028,15731,30.24
6_Month,70-79,143722,69319,48.23
1_Year,70-79,397571,174454,43.88
All,70-79,518032,202674,39.12
1_Month,80-89,20504,3508,17.11
3_Month,80-89,35043,7817,22.31
6_Month,80-89,75523,31938,42.29
1_Year,80-89,156902,71351,45.47
All,80-89,221965,85950,38.72
1_Month,90+,7522,1085,14.42
3_Month,90+,11730,2152,18.35
6_Month,90+,21625,8232,38.07
1_Year,90+,37741,17821,47.22
All,90+,58325,22363,38.34
