age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,240514,173771,618088,38.9,28.1,8,0
16-19,457679,400644,583545,78.4,68.7,73,0
20-29,1035708,943812,1300361,79.6,72.6,719,0.1
30-39,1003976,934215,1197026,83.9,78,8273,0.7
40-49,954090,893648,1098556,86.8,81.3,16666,1.5
50-59,766220,722230,849966,90.1,85,210992,24.8
60-69,676913,648881,741639,91.3,87.5,406342,54.8
70-79,470560,458164,490784,95.9,93.4,352349,71.8
80-89,213003,207010,225538,94.4,91.8,152247,67.5
90+,48396,46587,51496,94,90.5,32076,62.3
