section,female,male,period,order_period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 4, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",6 חודשים,3
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.4}",3 חודשים,4
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 8, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 9, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 4, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",6 חודשים,3
10-19,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 9, 'percentage': 0.9}","{'amount': 17, 'percentage': 1.7}",6 חודשים,3
20-29,"{'amount': 1, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.8}",3 חודשים,4
20-29,"{'amount': 1, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.5}",חודש אחרון,5
20-29,"{'amount': 36, 'percentage': 0.9}","{'amount': 33, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 30, 'percentage': 0.9}","{'amount': 29, 'percentage': 0.9}",שנה,2
30-39,"{'amount': 59, 'percentage': 1.8}","{'amount': 46, 'percentage': 1.4}",שנה,2
30-39,"{'amount': 34, 'percentage': 3.5}","{'amount': 22, 'percentage': 2.2}",6 חודשים,3
30-39,"{'amount': 5, 'percentage': 2}","{'amount': 5, 'percentage': 2}",3 חודשים,4
30-39,"{'amount': 2, 'percentage': 1}","{'amount': 3, 'percentage': 1.5}",חודש אחרון,5
30-39,"{'amount': 68, 'percentage': 1.7}","{'amount': 61, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 78, 'percentage': 2.3}","{'amount': 143, 'percentage': 4.3}",שנה,2
40-49,"{'amount': 32, 'percentage': 3.3}","{'amount': 66, 'percentage': 6.7}",6 חודשים,3
40-49,"{'amount': 4, 'percentage': 1.6}","{'amount': 13, 'percentage': 5.1}",3 חודשים,4
40-49,"{'amount': 3, 'percentage': 1.5}","{'amount': 7, 'percentage': 3.5}",חודש אחרון,5
40-49,"{'amount': 89, 'percentage': 2.3}","{'amount': 165, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 64, 'percentage': 6.5}","{'amount': 100, 'percentage': 10.2}",6 חודשים,3
50-59,"{'amount': 16, 'percentage': 6.3}","{'amount': 17, 'percentage': 6.7}",3 חודשים,4
50-59,"{'amount': 136, 'percentage': 4.1}","{'amount': 310, 'percentage': 9.3}",שנה,2
50-59,"{'amount': 155, 'percentage': 4}","{'amount': 363, 'percentage': 9.3}",מתחילת קורונה,1
50-59,"{'amount': 9, 'percentage': 4.5}","{'amount': 9, 'percentage': 4.5}",חודש אחרון,5
60-69,"{'amount': 28, 'percentage': 11.1}","{'amount': 30, 'percentage': 11.9}",3 חודשים,4
60-69,"{'amount': 99, 'percentage': 10.1}","{'amount': 128, 'percentage': 13}",6 חודשים,3
60-69,"{'amount': 22, 'percentage': 11.1}","{'amount': 25, 'percentage': 12.6}",חודש אחרון,5
60-69,"{'amount': 307, 'percentage': 7.8}","{'amount': 655, 'percentage': 16.7}",מתחילת קורונה,1
60-69,"{'amount': 277, 'percentage': 8.3}","{'amount': 562, 'percentage': 16.9}",שנה,2
70-79,"{'amount': 17, 'percentage': 8.5}","{'amount': 44, 'percentage': 22.1}",חודש אחרון,5
70-79,"{'amount': 23, 'percentage': 9.1}","{'amount': 47, 'percentage': 18.6}",3 חודשים,4
70-79,"{'amount': 93, 'percentage': 9.5}","{'amount': 136, 'percentage': 13.9}",6 חודשים,3
70-79,"{'amount': 316, 'percentage': 9.5}","{'amount': 610, 'percentage': 18.3}",שנה,2
70-79,"{'amount': 362, 'percentage': 9.2}","{'amount': 719, 'percentage': 18.3}",מתחילת קורונה,1
80-89,"{'amount': 26, 'percentage': 10.3}","{'amount': 24, 'percentage': 9.5}",3 חודשים,4
80-89,"{'amount': 241, 'percentage': 7.2}","{'amount': 342, 'percentage': 10.3}",שנה,2
80-89,"{'amount': 67, 'percentage': 6.8}","{'amount': 76, 'percentage': 7.7}",6 חודשים,3
80-89,"{'amount': 23, 'percentage': 11.6}","{'amount': 22, 'percentage': 11.1}",חודש אחרון,5
80-89,"{'amount': 294, 'percentage': 7.5}","{'amount': 413, 'percentage': 10.5}",מתחילת קורונה,1
90+,"{'amount': 75, 'percentage': 1.9}","{'amount': 86, 'percentage': 2.2}",מתחילת קורונה,1
90+,"{'amount': 3, 'percentage': 1.5}","{'amount': 6, 'percentage': 3}",חודש אחרון,5
90+,"{'amount': 3, 'percentage': 1.2}","{'amount': 7, 'percentage': 2.8}",3 חודשים,4
90+,"{'amount': 13, 'percentage': 1.3}","{'amount': 13, 'percentage': 1.3}",6 חודשים,3
90+,"{'amount': 57, 'percentage': 1.7}","{'amount': 67, 'percentage': 2}",שנה,2
