period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,123823,35302,28.51
3_Month,0-9,1124236,468342,41.66
6_Month,0-9,1256480,495810,39.46
1_Year,0-9,1482880,601306,40.55
All,0-9,1676226,708804,42.29
1_Month,10-19,127801,37718,29.51
3_Month,10-19,1024728,508882,49.66
6_Month,10-19,1157705,531578,45.92
1_Year,10-19,1370348,610151,44.53
All,10-19,1588080,755105,47.55
1_Month,20-29,167886,40082,23.87
3_Month,20-29,812450,345741,42.56
6_Month,20-29,979158,356234,36.38
1_Year,20-29,1178391,413393,35.08
All,20-29,1396925,535865,38.36
1_Month,30-39,163548,42011,25.69
3_Month,30-39,800072,367665,45.95
6_Month,30-39,937741,379453,40.46
1_Year,30-39,1115857,437410,39.2
All,30-39,1292582,524563,40.58
1_Month,40-49,160478,40122,25
3_Month,40-49,736535,337463,45.82
6_Month,40-49,850445,346605,40.76
1_Year,40-49,995459,391697,39.35
All,40-49,1145191,466661,40.75
1_Month,50-59,143633,30167,21
3_Month,50-59,545439,221232,40.56
6_Month,50-59,643336,225958,35.12
1_Year,50-59,754471,251907,33.39
All,50-59,877547,309765,35.3
1_Month,60-69,127157,22335,17.56
3_Month,60-69,440846,147396,33.43
6_Month,60-69,521821,150364,28.82
1_Year,60-69,611864,166944,27.28
All,60-69,709775,205680,28.98
1_Month,70-79,86172,13735,15.94
3_Month,70-79,269233,77373,28.74
6_Month,70-79,321253,78946,24.57
1_Year,70-79,380221,88036,23.15
All,70-79,443790,108548,24.46
1_Month,80-89,37185,4706,12.66
3_Month,80-89,103332,29622,28.67
6_Month,80-89,121895,30234,24.8
1_Year,80-89,149331,34617,23.18
All,80-89,189253,45603,24.1
1_Month,90+,10093,1039,10.29
3_Month,90+,24948,7646,30.65
6_Month,90+,29156,7789,26.71
1_Year,90+,36261,8962,24.72
All,90+,49469,12634,25.54
