instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,65.9,77.7,2022-03-30T00:00:00.000Z
רבין ק. השרון,68.4,71.8,2022-03-30T00:00:00.000Z
הכרמל,74.5,82.8,2022-03-30T00:00:00.000Z
הדסה הר הצופים,75,89.6,2022-03-30T00:00:00.000Z
מאיר,84.5,91,2022-03-30T00:00:00.000Z
יוספטל,87.5,64.6,2022-03-30T00:00:00.000Z
וולפסון,91,79.8,2022-03-30T00:00:00.000Z
המרכזי בעמק,91,75.9,2022-03-30T00:00:00.000Z
שמיר,95.4,78.9,2022-03-30T00:00:00.000Z
ברזילי,96.9,83.1,2022-03-30T00:00:00.000Z
לניאדו,98.7,87.5,2022-03-30T00:00:00.000Z
בני ציון,99.2,87.8,2022-03-30T00:00:00.000Z
הלל יפה,100.7,86.2,2022-03-30T00:00:00.000Z
פוריה,101.3,87.6,2022-03-30T00:00:00.000Z
"רמב""ם",104.5,92.4,2022-03-30T00:00:00.000Z
קפלן,106,99.3,2022-03-30T00:00:00.000Z
זיו צפת,109.4,83.6,2022-03-30T00:00:00.000Z
רבין ק. בילינסון,111.5,97.5,2022-03-30T00:00:00.000Z
הדסה עין כרם,121.4,97.4,2022-03-30T00:00:00.000Z
נהריה,124.2,100,2022-03-30T00:00:00.000Z
אסותא אשדוד,137.3,111.3,2022-03-30T00:00:00.000Z
