averageInfected,begin_date,end_date,isCurrentWeek
3356,2021-08-01T00:00:00.000Z,2021-08-07T00:00:00.000Z,False
5421,2021-08-08T00:00:00.000Z,2021-08-14T00:00:00.000Z,False
7247,2021-08-15T00:00:00.000Z,2021-08-21T00:00:00.000Z,False
