age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,251740,178164,618088,40.7,28.8,8,0
16-19,461081,401974,583545,79,68.9,114,0
20-29,1037426,944864,1300361,79.8,72.7,1412,0.1
30-39,1005567,935100,1197026,84,78.1,13169,1.1
40-49,955541,894673,1098556,87,81.4,76526,7
50-59,767331,723433,849966,90.3,85.1,289460,34.1
60-69,677523,649478,741639,91.4,87.6,434329,58.6
70-79,470887,458464,490784,95.9,93.4,366088,74.6
80-89,213154,207126,225538,94.5,91.8,158842,70.4
90+,48436,46615,51496,94.1,90.5,33519,65.1
