instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,55.4,68.4,2022-04-29T00:00:00.000Z
רבין ק. השרון,58.8,59.3,2022-04-29T00:00:00.000Z
פוריה,59,60.8,2022-04-29T00:00:00.000Z
הכרמל,65.1,78.9,2022-04-29T00:00:00.000Z
הדסה הר הצופים,69.4,72.6,2022-04-29T00:00:00.000Z
וולפסון,73.8,66.9,2022-04-29T00:00:00.000Z
מאיר,74,86.2,2022-04-29T00:00:00.000Z
זיו צפת,75,50.1,2022-04-29T00:00:00.000Z
איכילוב,75.3,95.6,2022-04-29T00:00:00.000Z
יוספטל,81.3,44.6,2022-04-29T00:00:00.000Z
בני ציון,82.6,67.4,2022-04-29T00:00:00.000Z
שמיר,83.8,63.9,2022-04-29T00:00:00.000Z
"רמב""ם",89.4,75.2,2022-04-29T00:00:00.000Z
ברזילי,90.6,80.1,2022-04-29T00:00:00.000Z
הלל יפה,91.8,72.8,2022-04-29T00:00:00.000Z
נהריה,92.6,77.4,2022-04-29T00:00:00.000Z
לניאדו,92.3,83.8,2022-04-29T00:00:00.000Z
קפלן,94.7,84.6,2022-04-29T00:00:00.000Z
שמואל הרופא,97.2,79.5,2022-04-29T00:00:00.000Z
אסותא אשדוד,105.1,97.6,2022-04-29T00:00:00.000Z
שיבא,107.5,108.5,2022-04-29T00:00:00.000Z
רבין ק. בילינסון,112.3,91.1,2022-04-29T00:00:00.000Z
הדסה עין כרם,115.5,84,2022-04-29T00:00:00.000Z
