age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,364,3466,0,122.1,1272.5,0,0,0,0,0,0
16-19,74,1418,1440,56.4,481.7,1042.4,0,0,1,0,0,0.7
20-29,217,3794,2668,57.6,588.8,1063.8,0,2,14,0,0.3,5.6
30-39,490,4106,2699,113,741.4,1496.4,0,2,31,0,0.4,17.2
40-49,515,2613,1889,96.4,640,1361.7,3,14,75,0.6,3.4,54.1
50-59,305,1104,1076,60.2,432.6,1135.6,5,16,110,1,6.3,116.1
60-69,287,705,659,54.1,497.3,1011.6,11,29,100,2.1,20.5,153.5
70-79,207,315,376,51.2,434.3,840.6,14,30,77,3.5,41.4,172.2
80-89,139,218,215,79.1,580.7,994.5,11,18,38,6.3,47.9,175.8
90+,55,61,78,153.9,476.1,935.7,1,3,14,2.8,23.4,167.9
