name,value
פסיכולוגיה,1
פראמדיקים,1
ריפוי בעיסוק,7
פיזיותרפיה,10
קלינאות תקשורת,11
מעבדה,15
מערך לוגיסטי,18
שירות סוציאלי,19
כוח עזר,29
רוקחות,33
סקטורים אחרים,102
מינהל ומשק,176
