gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,שנה,332279,11.9,5,0.1,19,0.7,75,0.6
זכר,0-9,חודש אחרון,158976,12.7,2,0.1,11,1.3,32,0.8
זכר,0-9,מתחילת קורונה,389914,11,7,0.1,26,0.5,98,0.4
זכר,0-9,3 חודשים,247812,11.2,4,0.2,12,1.1,40,0.8
זכר,0-9,6 חודשים,299189,11.9,5,0.2,17,0.9,61,0.7
נקבה,0-9,חודש אחרון,106618,8.5,1,0.1,6,0.7,22,0.5
נקבה,0-9,שנה,250303,9,3,0.1,10,0.4,52,0.4
נקבה,0-9,6 חודשים,222482,8.8,1,0,6,0.3,40,0.5
נקבה,0-9,מתחילת קורונה,297556,8.4,4,0,14,0.2,62,0.2
נקבה,0-9,3 חודשים,177505,8,1,0.1,6,0.6,28,0.5
זכר,10-19,3 חודשים,243993,11.1,1,0.1,9,0.9,23,0.4
זכר,10-19,חודש אחרון,137645,11,1,0.1,9,1,15,0.4
זכר,10-19,מתחילת קורונה,395167,11.2,4,0,23,0.4,69,0.3
זכר,10-19,שנה,307675,11,2,0,15,0.6,45,0.3
זכר,10-19,6 חודשים,279873,11.1,2,0.1,14,0.8,32,0.4
נקבה,10-19,חודש אחרון,115145,9.2,1,0.1,6,0.7,8,0.2
נקבה,10-19,3 חודשים,223148,10.1,1,0.1,7,0.7,14,0.3
נקבה,10-19,שנה,285160,10.2,3,0.1,15,0.6,39,0.3
נקבה,10-19,מתחילת קורונה,359314,10.2,6,0.1,19,0.3,62,0.2
נקבה,10-19,6 חודשים,259457,10.3,2,0.1,12,0.7,26,0.3
זכר,20-29,3 חודשים,119361,5.4,3,0.2,10,0.9,30,0.6
זכר,20-29,חודש אחרון,60333,4.8,2,0.1,7,0.8,20,0.5
זכר,20-29,מתחילת קורונה,220316,6.2,25,0.3,50,0.9,208,0.8
זכר,20-29,6 חודשים,137195,5.4,6,0.2,20,1.1,70,0.8
זכר,20-29,שנה,154612,5.5,13,0.3,36,1.3,130,1
נקבה,20-29,חודש אחרון,93666,7.5,4,0.3,9,1,15,0.4
נקבה,20-29,מתחילת קורונה,302591,8.6,20,0.2,55,1,248,0.9
נקבה,20-29,6 חודשים,205884,8.2,6,0.2,16,0.9,79,0.9
נקבה,20-29,שנה,228099,8.2,10,0.2,25,0.9,135,1
נקבה,20-29,3 חודשים,181616,8.2,4,0.2,11,1,23,0.4
זכר,30-39,חודש אחרון,70908,5.7,5,0.3,14,1.6,33,0.8
זכר,30-39,שנה,159163,5.7,31,0.7,53,2,285,2.2
זכר,30-39,מתחילת קורונה,207375,5.9,50,0.5,91,1.6,567,2.1
זכר,30-39,6 חודשים,142804,5.7,17,0.6,34,1.9,170,1.9
זכר,30-39,3 חודשים,125359,5.7,8,0.4,20,1.9,44,0.8
נקבה,30-39,3 חודשים,194512,8.8,3,0.2,11,1,55,1
נקבה,30-39,מתחילת קורונה,297085,8.4,34,0.3,89,1.6,547,2
נקבה,30-39,חודש אחרון,112053,9,3,0.2,7,0.8,38,0.9
נקבה,30-39,6 חודשים,220763,8.8,12,0.4,28,1.6,172,1.9
