section,male,female,period,order_period
0-9,"{'amount': 98, 'percentage': 0.4}","{'amount': 62, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 32, 'percentage': 0.8}","{'amount': 22, 'percentage': 0.5}",חודש אחרון,5
0-9,"{'amount': 40, 'percentage': 0.8}","{'amount': 28, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 61, 'percentage': 0.7}","{'amount': 40, 'percentage': 0.5}",6 חודשים,3
0-9,"{'amount': 75, 'percentage': 0.6}","{'amount': 52, 'percentage': 0.4}",שנה,2
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 39, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 15, 'percentage': 0.4}","{'amount': 8, 'percentage': 0.2}",חודש אחרון,5
10-19,"{'amount': 69, 'percentage': 0.3}","{'amount': 62, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 32, 'percentage': 0.4}","{'amount': 26, 'percentage': 0.3}",6 חודשים,3
20-29,"{'amount': 208, 'percentage': 0.8}","{'amount': 248, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 30, 'percentage': 0.6}","{'amount': 23, 'percentage': 0.4}",3 חודשים,4
20-29,"{'amount': 70, 'percentage': 0.8}","{'amount': 79, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 130, 'percentage': 1}","{'amount': 135, 'percentage': 1}",שנה,2
20-29,"{'amount': 20, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.4}",חודש אחרון,5
30-39,"{'amount': 33, 'percentage': 0.8}","{'amount': 38, 'percentage': 0.9}",חודש אחרון,5
30-39,"{'amount': 44, 'percentage': 0.8}","{'amount': 55, 'percentage': 1}",3 חודשים,4
30-39,"{'amount': 170, 'percentage': 1.9}","{'amount': 172, 'percentage': 1.9}",6 חודשים,3
30-39,"{'amount': 285, 'percentage': 2.2}","{'amount': 303, 'percentage': 2.3}",שנה,2
30-39,"{'amount': 567, 'percentage': 2.1}","{'amount': 547, 'percentage': 2}",מתחילת קורונה,1
40-49,"{'amount': 79, 'percentage': 1.9}","{'amount': 48, 'percentage': 1.2}",חודש אחרון,5
40-49,"{'amount': 115, 'percentage': 2.2}","{'amount': 71, 'percentage': 1.4}",3 חודשים,4
40-49,"{'amount': 358, 'percentage': 4}","{'amount': 267, 'percentage': 3}",6 חודשים,3
40-49,"{'amount': 614, 'percentage': 4.7}","{'amount': 460, 'percentage': 3.5}",שנה,2
40-49,"{'amount': 1300, 'percentage': 4.8}","{'amount': 890, 'percentage': 3.3}",מתחילת קורונה,1
50-59,"{'amount': 194, 'percentage': 4.7}","{'amount': 136, 'percentage': 3.3}",חודש אחרון,5
50-59,"{'amount': 251, 'percentage': 4.8}","{'amount': 171, 'percentage': 3.3}",3 חודשים,4
50-59,"{'amount': 564, 'percentage': 6.4}","{'amount': 400, 'percentage': 4.5}",6 חודשים,3
50-59,"{'amount': 917, 'percentage': 6.9}","{'amount': 702, 'percentage': 5.3}",שנה,2
50-59,"{'amount': 2150, 'percentage': 7.9}","{'amount': 1487, 'percentage': 5.4}",מתחילת קורונה,1
60-69,"{'amount': 3118, 'percentage': 11.4}","{'amount': 2102, 'percentage': 7.7}",מתחילת קורונה,1
60-69,"{'amount': 1298, 'percentage': 9.8}","{'amount': 1017, 'percentage': 7.7}",שנה,2
60-69,"{'amount': 858, 'percentage': 9.7}","{'amount': 656, 'percentage': 7.4}",6 חודשים,3
60-69,"{'amount': 467, 'percentage': 8.9}","{'amount': 342, 'percentage': 6.5}",3 חודשים,4
60-69,"{'amount': 355, 'percentage': 8.6}","{'amount': 273, 'percentage': 6.6}",חודש אחרון,5
70-79,"{'amount': 736, 'percentage': 14}","{'amount': 545, 'percentage': 10.4}",3 חודשים,4
70-79,"{'amount': 598, 'percentage': 14.4}","{'amount': 434, 'percentage': 10.5}",חודש אחרון,5
70-79,"{'amount': 3562, 'percentage': 13}","{'amount': 2594, 'percentage': 9.5}",מתחילת קורונה,1
70-79,"{'amount': 1090, 'percentage': 12.3}","{'amount': 885, 'percentage': 10}",6 חודשים,3
70-79,"{'amount': 1578, 'percentage': 12}","{'amount': 1290, 'percentage': 9.8}",שנה,2
80-89,"{'amount': 1462, 'percentage': 11.1}","{'amount': 1555, 'percentage': 11.8}",שנה,2
80-89,"{'amount': 1062, 'percentage': 12}","{'amount': 1113, 'percentage': 12.6}",6 חודשים,3
80-89,"{'amount': 773, 'percentage': 14.7}","{'amount': 801, 'percentage': 15.3}",3 חודשים,4
80-89,"{'amount': 638, 'percentage': 15.4}","{'amount': 630, 'percentage': 15.2}",חודש אחרון,5
80-89,"{'amount': 2896, 'percentage': 10.6}","{'amount': 2967, 'percentage': 10.8}",מתחילת קורונה,1
90+,"{'amount': 491, 'percentage': 3.7}","{'amount': 747, 'percentage': 5.7}",שנה,2
90+,"{'amount': 381, 'percentage': 4.3}","{'amount': 572, 'percentage': 6.5}",6 חודשים,3
90+,"{'amount': 303, 'percentage': 5.8}","{'amount': 415, 'percentage': 7.9}",3 חודשים,4
90+,"{'amount': 253, 'percentage': 6.1}","{'amount': 330, 'percentage': 7.9}",חודש אחרון,5
90+,"{'amount': 968, 'percentage': 3.5}","{'amount': 1452, 'percentage': 5.3}",מתחילת קורונה,1
