section,male,female,period,order_period
0-9,"{'amount': 26, 'percentage': 0.5}","{'amount': 14, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 11, 'percentage': 1.3}","{'amount': 6, 'percentage': 0.7}",חודש אחרון,5
0-9,"{'amount': 12, 'percentage': 1.1}","{'amount': 6, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 17, 'percentage': 0.9}","{'amount': 6, 'percentage': 0.3}",6 חודשים,3
0-9,"{'amount': 19, 'percentage': 0.7}","{'amount': 10, 'percentage': 0.4}",שנה,2
10-19,"{'amount': 9, 'percentage': 0.9}","{'amount': 7, 'percentage': 0.7}",3 חודשים,4
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 15, 'percentage': 0.6}",שנה,2
10-19,"{'amount': 9, 'percentage': 1}","{'amount': 6, 'percentage': 0.7}",חודש אחרון,5
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 19, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 14, 'percentage': 0.8}","{'amount': 12, 'percentage': 0.7}",6 חודשים,3
20-29,"{'amount': 50, 'percentage': 0.9}","{'amount': 55, 'percentage': 1}",מתחילת קורונה,1
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 11, 'percentage': 1}",3 חודשים,4
20-29,"{'amount': 20, 'percentage': 1.1}","{'amount': 16, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 36, 'percentage': 1.3}","{'amount': 25, 'percentage': 0.9}",שנה,2
20-29,"{'amount': 7, 'percentage': 0.8}","{'amount': 9, 'percentage': 1}",חודש אחרון,5
30-39,"{'amount': 14, 'percentage': 1.6}","{'amount': 7, 'percentage': 0.8}",חודש אחרון,5
30-39,"{'amount': 20, 'percentage': 1.9}","{'amount': 11, 'percentage': 1}",3 חודשים,4
30-39,"{'amount': 34, 'percentage': 1.9}","{'amount': 28, 'percentage': 1.6}",6 חודשים,3
30-39,"{'amount': 53, 'percentage': 2}","{'amount': 55, 'percentage': 2}",שנה,2
30-39,"{'amount': 91, 'percentage': 1.6}","{'amount': 89, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 29, 'percentage': 3.3}","{'amount': 15, 'percentage': 1.7}",חודש אחרון,5
40-49,"{'amount': 45, 'percentage': 4.3}","{'amount': 20, 'percentage': 1.9}",3 חודשים,4
40-49,"{'amount': 85, 'percentage': 4.7}","{'amount': 46, 'percentage': 2.6}",6 חודשים,3
40-49,"{'amount': 141, 'percentage': 5.2}","{'amount': 75, 'percentage': 2.8}",שנה,2
40-49,"{'amount': 239, 'percentage': 4.2}","{'amount': 138, 'percentage': 2.4}",מתחילת קורונה,1
50-59,"{'amount': 68, 'percentage': 7.8}","{'amount': 42, 'percentage': 4.8}",חודש אחרון,5
50-59,"{'amount': 88, 'percentage': 8.3}","{'amount': 52, 'percentage': 4.9}",3 חודשים,4
50-59,"{'amount': 161, 'percentage': 9}","{'amount': 89, 'percentage': 5}",6 חודשים,3
50-59,"{'amount': 252, 'percentage': 9.4}","{'amount': 148, 'percentage': 5.5}",שנה,2
50-59,"{'amount': 518, 'percentage': 9.1}","{'amount': 250, 'percentage': 4.4}",מתחילת קורונה,1
60-69,"{'amount': 875, 'percentage': 15.4}","{'amount': 458, 'percentage': 8}",מתחילת קורונה,1
60-69,"{'amount': 343, 'percentage': 12.7}","{'amount': 240, 'percentage': 8.9}",שנה,2
60-69,"{'amount': 221, 'percentage': 12.3}","{'amount': 161, 'percentage': 9}",6 חודשים,3
60-69,"{'amount': 119, 'percentage': 11.3}","{'amount': 73, 'percentage': 6.9}",3 חודשים,4
60-69,"{'amount': 97, 'percentage': 11.1}","{'amount': 60, 'percentage': 6.9}",חודש אחרון,5
70-79,"{'amount': 158, 'percentage': 15}","{'amount': 99, 'percentage': 9.4}",3 חודשים,4
70-79,"{'amount': 141, 'percentage': 16.1}","{'amount': 83, 'percentage': 9.5}",חודש אחרון,5
70-79,"{'amount': 979, 'percentage': 17.2}","{'amount': 548, 'percentage': 9.6}",מתחילת קורונה,1
70-79,"{'amount': 252, 'percentage': 14.1}","{'amount': 187, 'percentage': 10.4}",6 חודשים,3
70-79,"{'amount': 380, 'percentage': 14.1}","{'amount': 274, 'percentage': 10.2}",שנה,2
80-89,"{'amount': 261, 'percentage': 9.7}","{'amount': 233, 'percentage': 8.7}",שנה,2
80-89,"{'amount': 190, 'percentage': 10.6}","{'amount': 163, 'percentage': 9.1}",6 חודשים,3
80-89,"{'amount': 129, 'percentage': 12.2}","{'amount': 118, 'percentage': 11.2}",3 חודשים,4
80-89,"{'amount': 109, 'percentage': 12.5}","{'amount': 102, 'percentage': 11.7}",חודש אחרון,5
80-89,"{'amount': 607, 'percentage': 10.7}","{'amount': 462, 'percentage': 8.1}",מתחילת קורונה,1
90+,"{'amount': 56, 'percentage': 2.1}","{'amount': 62, 'percentage': 2.3}",שנה,2
90+,"{'amount': 43, 'percentage': 2.4}","{'amount': 46, 'percentage': 2.6}",6 חודשים,3
90+,"{'amount': 33, 'percentage': 3.1}","{'amount': 35, 'percentage': 3.3}",3 חודשים,4
90+,"{'amount': 31, 'percentage': 3.5}","{'amount': 29, 'percentage': 3.3}",חודש אחרון,5
90+,"{'amount': 129, 'percentage': 2.3}","{'amount': 127, 'percentage': 2.2}",מתחילת קורונה,1
