priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
month6,נמיביה,כתום,2,108,1,0.93,2022-02-22T00:00:00.000Z,1,0
month6,"קונגו, רפ. דמוק.",כתום,2,47,1,2.13,2022-02-22T00:00:00.000Z,1,0
month6,קירג'זסטאן,כתום,2,319,11,3.45,2022-02-22T00:00:00.000Z,10,1
month6,סווזילנד,כתום,2,7,0,0,2022-02-22T00:00:00.000Z,0,0
month6,סאו טומה ופרינציפה,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
month6,רפ מרכז אפריקנית,כתום,2,7,0,0,2022-02-22T00:00:00.000Z,0,0
month6,דרום אפריקה,כתום,2,4681,117,2.5,2022-02-22T00:00:00.000Z,102,15
month6,ארמניה,כתום,2,972,23,2.37,2022-02-22T00:00:00.000Z,23,0
month6,גיבוטי,כתום,2,7,0,0,2022-02-22T00:00:00.000Z,0,0
month6,קונגו,כתום,2,30,0,0,2022-02-22T00:00:00.000Z,0,0
month6,טובלו,כתום,2,7,0,0,2022-02-22T00:00:00.000Z,0,0
month6,איי קיימן,כתום,2,5,0,0,2022-02-22T00:00:00.000Z,0,0
month6,אריתראה,כתום,2,2,0,0,2022-02-22T00:00:00.000Z,0,0
month6,מלדיבים,כתום,2,5222,85,1.63,2022-02-22T00:00:00.000Z,84,1
month6,ערב הסעודית,כתום,2,920,164,17.83,2022-02-22T00:00:00.000Z,164,0
month6,בוטן,כתום,2,20,0,0,2022-02-22T00:00:00.000Z,0,0
month6,נפאל,כתום,2,797,93,11.67,2022-02-22T00:00:00.000Z,13,80
month6,אורגוואי,כתום,2,808,22,2.72,2022-02-22T00:00:00.000Z,19,3
month6,זמביה,כתום,2,295,1,0.34,2022-02-22T00:00:00.000Z,1,0
month6,מקאו,כתום,2,26,1,3.85,2022-02-22T00:00:00.000Z,1,0
month6,פקיסטן,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
month6,גינאה ביסאו,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
month6,מצרים,כתום,2,97161,1147,1.18,2022-02-22T00:00:00.000Z,1120,27
month6,פולין,כתום,2,39105,1023,2.62,2022-02-22T00:00:00.000Z,956,67
month6,פורטוגל,כתום,2,13421,119,0.89,2022-02-22T00:00:00.000Z,114,5
month6,סלובניה,כתום,2,379,7,1.85,2022-02-22T00:00:00.000Z,5,2
month6,הונדורס,כתום,2,104,3,2.88,2022-02-22T00:00:00.000Z,2,1
month6,ליבריה,כתום,2,21,0,0,2022-02-22T00:00:00.000Z,0,0
month6,בורונדי,כתום,2,8,0,0,2022-02-22T00:00:00.000Z,0,0
month6,סט וינסנט,כתום,2,5,1,20,2022-02-22T00:00:00.000Z,1,0
month6,יוון,כתום,2,97293,789,0.81,2022-02-22T00:00:00.000Z,772,17
month6,איי סיישל,כתום,2,3706,34,0.92,2022-02-22T00:00:00.000Z,34,0
month6,נורבגיה,כתום,2,1586,19,1.2,2022-02-22T00:00:00.000Z,15,4
month6,מאוריציוס,כתום,2,340,6,1.76,2022-02-22T00:00:00.000Z,5,1
month6,איי פיגי,כתום,2,5,0,0,2022-02-22T00:00:00.000Z,0,0
month3,סט. קיטס ונביס,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
month3,איי פאלקלנד,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
month3,צרפת,כתום,2,61369,2340,3.81,2022-02-22T00:00:00.000Z,2114,226
month3,גאורגיה,כתום,2,27268,1565,5.74,2022-02-22T00:00:00.000Z,1550,15
month3,שוודיה,כתום,2,1117,37,3.31,2022-02-22T00:00:00.000Z,33,4
month3,מולדובה,כתום,2,4412,205,4.65,2022-02-22T00:00:00.000Z,130,75
month3,קוריאה הדרומית,כתום,2,414,8,1.93,2022-02-22T00:00:00.000Z,6,2
month3,קטר,כתום,2,110,5,4.55,2022-02-22T00:00:00.000Z,3,2
month3,איי הבתולה,כתום,2,11,0,0,2022-02-22T00:00:00.000Z,0,0
month3,אנטיגואה וברבודה,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
month3,כווית,כתום,2,13,0,0,2022-02-22T00:00:00.000Z,0,0
month3,איי נורפולק,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
month3,תאילנד,כתום,2,12037,534,4.44,2022-02-22T00:00:00.000Z,518,16
month3,אוסטריה,כתום,2,18480,1241,6.72,2022-02-22T00:00:00.000Z,1207,34
month3,ירדן,כתום,2,18043,1273,7.06,2022-02-22T00:00:00.000Z,1185,88
month3,ראוניון,כתום,2,5,0,0,2022-02-22T00:00:00.000Z,0,0
month3,לסוטו,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
month3,ניגר,כתום,2,2,0,0,2022-02-22T00:00:00.000Z,0,0
month3,לוב,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
month3,הונג קונג,כתום,2,208,0,0,2022-02-22T00:00:00.000Z,0,0
month3,איסלנד,כתום,2,146,10,6.85,2022-02-22T00:00:00.000Z,10,0
month3,צאד,כתום,2,7,0,0,2022-02-22T00:00:00.000Z,0,0
month3,אירן,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,גאורגיה,כתום,2,102305,1918,1.87,2022-02-22T00:00:00.000Z,1897,17
UpToNow,צרפת,כתום,2,197043,2822,1.43,2022-02-22T00:00:00.000Z,2532,287
UpToNow,קוריאה הדרומית,כתום,2,1451,8,0.55,2022-02-22T00:00:00.000Z,6,2
UpToNow,שוודיה,כתום,2,4156,44,1.06,2022-02-22T00:00:00.000Z,39,5
UpToNow,מולדובה,כתום,2,18647,400,2.15,2022-02-22T00:00:00.000Z,283,117
UpToNow,קטר,כתום,2,256,5,1.95,2022-02-22T00:00:00.000Z,3,2
UpToNow,כווית,כתום,2,24,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,איי הבתולה,כתום,2,18,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,איי נורפולק,כתום,2,8,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,אנטיגואה וברבודה,כתום,2,17,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,ארגנטינה,כתום,2,4701,128,2.72,2022-02-22T00:00:00.000Z,79,48
UpToNow,אזרביג'אן,כתום,2,7928,149,1.88,2022-02-22T00:00:00.000Z,144,4
UpToNow,קוסטה ריקה,כתום,2,3527,74,2.1,2022-02-22T00:00:00.000Z,74,0
UpToNow,ניגריה,כתום,2,1432,38,2.65,2022-02-22T00:00:00.000Z,38,0
UpToNow,מונגוליה,כתום,2,50,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,תורכמניסטאן,כתום,2,1264,41,3.24,2022-02-22T00:00:00.000Z,41,0
UpToNow,דומיניקה,כתום,2,76,2,2.63,2022-02-22T00:00:00.000Z,2,0
UpToNow,בהמס,כתום,2,111,1,0.9,2022-02-22T00:00:00.000Z,1,0
UpToNow,סורינם,כתום,2,9,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,גואם,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,סומליה,כתום,2,3,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,סמואה,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,תאילנד,כתום,2,21308,558,2.62,2022-02-22T00:00:00.000Z,537,21
UpToNow,אוסטריה,כתום,2,99775,1496,1.5,2022-02-22T00:00:00.000Z,1456,40
UpToNow,ירדן,כתום,2,55553,1471,2.65,2022-02-22T00:00:00.000Z,1377,93
UpToNow,לסוטו,כתום,2,18,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,ניגר,כתום,2,16,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,לוב,כתום,2,5,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,ראוניון,כתום,2,15,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,איי שלמה הבריטיים,כתום,2,2,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,קנדה,כתום,2,27994,194,0.69,2022-02-22T00:00:00.000Z,160,34
UpToNow,צ'ילה,כתום,2,818,12,1.47,2022-02-22T00:00:00.000Z,8,4
UpToNow,איי ווליס ופוטונה,כתום,2,6,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,מלזיה,כתום,2,15,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,איסלנד,כתום,2,7868,60,0.76,2022-02-22T00:00:00.000Z,60,0
UpToNow,הונג קונג,כתום,2,945,8,0.85,2022-02-22T00:00:00.000Z,2,6
UpToNow,צאד,כתום,2,30,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,אירן,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,מצרים,כתום,2,170552,1556,0.91,2022-02-22T00:00:00.000Z,1523,28
UpToNow,פולין,כתום,2,50752,1061,2.09,2022-02-22T00:00:00.000Z,993,67
UpToNow,פורטוגל,כתום,2,17636,136,0.77,2022-02-22T00:00:00.000Z,131,5
UpToNow,סלובניה,כתום,2,1745,12,0.69,2022-02-22T00:00:00.000Z,10,2
UpToNow,הונדורס,כתום,2,152,3,1.97,2022-02-22T00:00:00.000Z,2,1
UpToNow,בורונדי,כתום,2,16,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,ליבריה,כתום,2,36,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,סט וינסנט,כתום,2,10,1,10,2022-02-22T00:00:00.000Z,1,0
UpToNow,יוון,כתום,2,249662,1764,0.71,2022-02-22T00:00:00.000Z,1733,28
UpToNow,איי סיישל,כתום,2,7242,43,0.59,2022-02-22T00:00:00.000Z,37,0
UpToNow,נורבגיה,כתום,2,1918,21,1.09,2022-02-22T00:00:00.000Z,17,4
UpToNow,מאוריציוס,כתום,2,365,6,1.64,2022-02-22T00:00:00.000Z,5,1
UpToNow,איי פיגי,כתום,2,6,0,0,2022-02-22T00:00:00.000Z,0,0
UpToNow,איי מרשל,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
year,גואם,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
year,מונגוליה,כתום,2,50,0,0,2022-02-22T00:00:00.000Z,0,0
year,סורינם,כתום,2,9,0,0,2022-02-22T00:00:00.000Z,0,0
year,סומליה,כתום,2,3,0,0,2022-02-22T00:00:00.000Z,0,0
year,סמואה,כתום,2,1,0,0,2022-02-22T00:00:00.000Z,0,0
year,אוסטריה,כתום,2,99775,1496,1.5,2022-02-22T00:00:00.000Z,1456,40
year,ירדן,כתום,2,55553,1471,2.65,2022-02-22T00:00:00.000Z,1377,93
year,תאילנד,כתום,2,21308,558,2.62,2022-02-22T00:00:00.000Z,537,21
year,לוב,כתום,2,5,0,0,2022-02-22T00:00:00.000Z,0,0
year,ראוניון,כתום,2,15,0,0,2022-02-22T00:00:00.000Z,0,0
year,איי שלמה הבריטיים,כתום,2,2,0,0,2022-02-22T00:00:00.000Z,0,0
year,לסוטו,כתום,2,18,0,0,2022-02-22T00:00:00.000Z,0,0
year,ניגר,כתום,2,16,0,0,2022-02-22T00:00:00.000Z,0,0
year,קנדה,כתום,2,27994,194,0.69,2022-02-22T00:00:00.000Z,160,34
year,צ'ילה,כתום,2,818,12,1.47,2022-02-22T00:00:00.000Z,8,4
year,איי ווליס ופוטונה,כתום,2,6,0,0,2022-02-22T00:00:00.000Z,0,0
year,מלזיה,כתום,2,15,0,0,2022-02-22T00:00:00.000Z,0,0
year,איסלנד,כתום,2,7868,60,0.76,2022-02-22T00:00:00.000Z,60,0
year,הונג קונג,כתום,2,945,8,0.85,2022-02-22T00:00:00.000Z,2,6
year,צאד,כתום,2,30,0,0,2022-02-22T00:00:00.000Z,0,0
year,אירן,כתום,2,4,0,0,2022-02-22T00:00:00.000Z,0,0
