name,value
פראמדיקים,0
קלינאות תקשורת,0
ריפוי בעיסוק,1
חובשי רפואת חירום,2
פסיכולוגיה,4
פיזיותרפיה,4
שירות סוציאלי,4
מעבדה,6
רוקחות,6
מערך לוגיסטי,7
כוח עזר,13
מינהל ומשק,63
סקטורים אחרים,158
