date,amountNoSurvey,amountSurvey
2020-02-20T00:00:00.000Z,29,0
2020-02-21T00:00:00.000Z,27,1
2020-02-22T00:00:00.000Z,13,0
2020-02-23T00:00:00.000Z,53,3
2020-02-24T00:00:00.000Z,73,1
2020-02-25T00:00:00.000Z,107,1
2020-02-26T00:00:00.000Z,105,3
2020-02-27T00:00:00.000Z,169,2
2020-02-28T00:00:00.000Z,116,2
2020-02-29T00:00:00.000Z,158,0
2020-03-01T00:00:00.000Z,171,7
2020-03-02T00:00:00.000Z,165,5
2020-03-03T00:00:00.000Z,221,6
2020-03-04T00:00:00.000Z,122,6
2020-03-05T00:00:00.000Z,157,8
2020-03-06T00:00:00.000Z,269,5
2020-03-07T00:00:00.000Z,317,7
2020-03-08T00:00:00.000Z,411,6
2020-03-09T00:00:00.000Z,502,13
2020-03-10T00:00:00.000Z,480,15
2020-03-11T00:00:00.000Z,367,9
2020-03-12T00:00:00.000Z,573,21
2020-03-13T00:00:00.000Z,654,35
2020-03-14T00:00:00.000Z,577,34
2020-03-15T00:00:00.000Z,1076,49
2020-03-16T00:00:00.000Z,1265,56
2020-03-17T00:00:00.000Z,1509,57
2020-03-18T00:00:00.000Z,1911,79
2020-03-19T00:00:00.000Z,1883,100
2020-03-20T00:00:00.000Z,2132,99
2020-03-21T00:00:00.000Z,1974,92
2020-03-22T00:00:00.000Z,3059,160
2020-03-23T00:00:00.000Z,3328,172
2020-03-24T00:00:00.000Z,4404,236
2020-03-25T00:00:00.000Z,5500,287
2020-03-26T00:00:00.000Z,6014,269
2020-03-27T00:00:00.000Z,5227,357
2020-03-28T00:00:00.000Z,5145,390
2020-03-29T00:00:00.000Z,6907,330
2020-03-30T00:00:00.000Z,6530,292
2020-03-31T00:00:00.000Z,7117,414
2020-04-01T00:00:00.000Z,8019,559
2020-04-02T00:00:00.000Z,8639,830
2020-04-03T00:00:00.000Z,9141,638
2020-04-04T00:00:00.000Z,5474,514
2020-04-05T00:00:00.000Z,7926,851
2020-04-06T00:00:00.000Z,6295,474
2020-04-07T00:00:00.000Z,5626,550
2020-04-08T00:00:00.000Z,4294,654
2020-04-09T00:00:00.000Z,4448,554
2020-04-10T00:00:00.000Z,5439,888
2020-04-11T00:00:00.000Z,4530,1233
2020-04-12T00:00:00.000Z,6918,1606
2020-04-13T00:00:00.000Z,7841,1346
2020-04-14T00:00:00.000Z,8459,2506
2020-04-15T00:00:00.000Z,6182,1617
2020-04-16T00:00:00.000Z,8576,2633
2020-04-17T00:00:00.000Z,7548,2424
2020-04-18T00:00:00.000Z,6457,2503
2020-04-19T00:00:00.000Z,7477,2520
2020-04-20T00:00:00.000Z,10452,2843
2020-04-21T00:00:00.000Z,9140,2495
2020-04-22T00:00:00.000Z,9009,2763
2020-04-23T00:00:00.000Z,9496,2763
2020-04-24T00:00:00.000Z,7619,2858
2020-04-25T00:00:00.000Z,5473,1884
2020-04-26T00:00:00.000Z,4684,2658
2020-04-27T00:00:00.000Z,7635,1764
2020-04-28T00:00:00.000Z,7122,1693
2020-04-29T00:00:00.000Z,5196,2197
2020-04-30T00:00:00.000Z,6352,2241
2020-05-01T00:00:00.000Z,6569,2652
2020-05-02T00:00:00.000Z,3622,1139
2020-05-03T00:00:00.000Z,4759,2641
2020-05-04T00:00:00.000Z,5677,2277
