period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,162793,52533,32.27
3_Month,0-9,1136975,452117,39.76
6_Month,0-9,1299695,501150,38.56
1_Year,0-9,1489112,583642,39.19
All,0-9,1670885,688874,41.23
1_Month,10-19,154978,50859,32.82
3_Month,10-19,1037648,492486,47.46
6_Month,10-19,1184472,526791,44.47
1_Year,10-19,1371217,590783,43.08
All,10-19,1581519,733977,46.41
1_Month,20-29,170426,34781,20.41
3_Month,20-29,805323,321312,39.9
6_Month,20-29,982727,339152,34.51
1_Year,20-29,1169347,387965,33.18
All,20-29,1380919,509938,36.93
1_Month,30-39,171109,42574,24.88
3_Month,30-39,789382,342930,43.44
6_Month,30-39,940531,363507,38.65
1_Year,30-39,1103200,411392,37.29
All,30-39,1274907,498104,39.07
1_Month,40-49,167512,40117,23.95
3_Month,40-49,724964,313750,43.28
6_Month,40-49,848655,328032,38.65
1_Year,40-49,982386,366602,37.32
All,40-49,1129152,441277,39.08
1_Month,50-59,139489,27562,19.76
3_Month,50-59,528717,202743,38.35
6_Month,50-59,634415,209410,33.01
1_Year,50-59,738307,232563,31.5
All,50-59,860282,290315,33.75
1_Month,60-69,120527,18827,15.62
3_Month,60-69,424003,133256,31.43
6_Month,60-69,511013,137288,26.87
1_Year,60-69,596038,152284,25.55
All,60-69,693149,190826,27.53
1_Month,70-79,80365,10707,13.32
3_Month,70-79,256471,68452,26.69
6_Month,70-79,311376,70439,22.62
1_Year,70-79,368218,78792,21.4
All,70-79,431050,99143,23
1_Month,80-89,36637,4112,11.22
3_Month,80-89,99831,26628,26.67
6_Month,80-89,119235,27583,23.13
1_Year,80-89,146155,31645,21.65
All,80-89,184980,42483,22.97
1_Month,90+,10090,1030,10.21
3_Month,90+,24510,7049,28.76
6_Month,90+,28886,7311,25.31
1_Year,90+,35893,8373,23.33
All,90+,48618,12010,24.7
