section,male,female,period
0-9,"{'amount': 516, 'percentage': 1.9}","{'amount': 638, 'percentage': 2.4}",חודש אחרון
0-9,"{'amount': 441930, 'percentage': 9.6}","{'amount': 363649, 'percentage': 7.9}",מתחילת קורונה
0-9,"{'amount': 307245, 'percentage': 9.2}","{'amount': 245700, 'percentage': 7.4}",שנה
0-9,"{'amount': 29521, 'percentage': 4.7}","{'amount': 25575, 'percentage': 4}",6 חודשים
0-9,"{'amount': 6912, 'percentage': 3.9}","{'amount': 6100, 'percentage': 3.5}",3 חודשים
10-19,"{'amount': 764, 'percentage': 2.9}","{'amount': 1128, 'percentage': 4.2}",חודש אחרון
10-19,"{'amount': 439790, 'percentage': 9.5}","{'amount': 430601, 'percentage': 9.3}",מתחילת קורונה
10-19,"{'amount': 294631, 'percentage': 8.9}","{'amount': 295738, 'percentage': 8.9}",שנה
10-19,"{'amount': 26110, 'percentage': 4.1}","{'amount': 27791, 'percentage': 4.4}",6 חודשים
10-19,"{'amount': 5335, 'percentage': 3}","{'amount': 6160, 'percentage': 3.5}",3 חודשים
20-29,"{'amount': 748, 'percentage': 2.8}","{'amount': 1302, 'percentage': 4.9}",חודש אחרון
20-29,"{'amount': 170200, 'percentage': 5.1}","{'amount': 261907, 'percentage': 7.9}",שנה
20-29,"{'amount': 27345, 'percentage': 4.3}","{'amount': 38773, 'percentage': 6.1}",6 חודשים
20-29,"{'amount': 7452, 'percentage': 4.2}","{'amount': 10576, 'percentage': 6}",3 חודשים
20-29,"{'amount': 269368, 'percentage': 5.8}","{'amount': 382192, 'percentage': 8.3}",מתחילת קורונה
30-39,"{'amount': 1122, 'percentage': 4.2}","{'amount': 1642, 'percentage': 6.1}",חודש אחרון
30-39,"{'amount': 269840, 'percentage': 5.8}","{'amount': 389648, 'percentage': 8.4}",מתחילת קורונה
30-39,"{'amount': 189659, 'percentage': 5.7}","{'amount': 288558, 'percentage': 8.7}",שנה
30-39,"{'amount': 35232, 'percentage': 5.6}","{'amount': 48706, 'percentage': 7.7}",6 חודשים
30-39,"{'amount': 9294, 'percentage': 5.3}","{'amount': 12810, 'percentage': 7.3}",3 חודשים
40-49,"{'amount': 1160, 'percentage': 4.3}","{'amount': 1979, 'percentage': 7.4}",חודש אחרון
40-49,"{'amount': 178094, 'percentage': 5.4}","{'amount': 268356, 'percentage': 8.1}",שנה
40-49,"{'amount': 34419, 'percentage': 5.4}","{'amount': 50592, 'percentage': 8}",6 חודשים
40-49,"{'amount': 8992, 'percentage': 5.1}","{'amount': 13271, 'percentage': 7.6}",3 חודשים
40-49,"{'amount': 244420, 'percentage': 5.3}","{'amount': 350938, 'percentage': 7.6}",מתחילת קורונה
50-59,"{'amount': 30956, 'percentage': 4.9}","{'amount': 49264, 'percentage': 7.8}",6 חודשים
50-59,"{'amount': 1229, 'percentage': 4.6}","{'amount': 2153, 'percentage': 8.1}",חודש אחרון
50-59,"{'amount': 171997, 'percentage': 3.7}","{'amount': 247282, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 126686, 'percentage': 3.8}","{'amount': 192642, 'percentage': 5.8}",שנה
50-59,"{'amount': 8478, 'percentage': 4.8}","{'amount': 13596, 'percentage': 7.7}",3 חודשים
60-69,"{'amount': 1716, 'percentage': 6.4}","{'amount': 2662, 'percentage': 10}",חודש אחרון
60-69,"{'amount': 103382, 'percentage': 3.1}","{'amount': 147474, 'percentage': 4.4}",שנה
60-69,"{'amount': 35525, 'percentage': 5.6}","{'amount': 52201, 'percentage': 8.2}",6 חודשים
60-69,"{'amount': 10639, 'percentage': 6.1}","{'amount': 15326, 'percentage': 8.7}",3 חודשים
60-69,"{'amount': 133866, 'percentage': 2.9}","{'amount': 180933, 'percentage': 3.9}",מתחילת קורונה
70-79,"{'amount': 34758, 'percentage': 5.5}","{'amount': 44253, 'percentage': 7}",6 חודשים
70-79,"{'amount': 11064, 'percentage': 6.3}","{'amount': 14339, 'percentage': 8.2}",3 חודשים
70-79,"{'amount': 2222, 'percentage': 8.3}","{'amount': 2957, 'percentage': 11.1}",חודש אחרון
70-79,"{'amount': 89934, 'percentage': 1.9}","{'amount': 109772, 'percentage': 2.4}",מתחילת קורונה
70-79,"{'amount': 74397, 'percentage': 2.2}","{'amount': 92620, 'percentage': 2.8}",שנה
80-89,"{'amount': 954, 'percentage': 3.6}","{'amount': 1309, 'percentage': 4.9}",חודש אחרון
80-89,"{'amount': 35534, 'percentage': 0.8}","{'amount': 48807, 'percentage': 1.1}",מתחילת קורונה
80-89,"{'amount': 28512, 'percentage': 0.9}","{'amount': 39001, 'percentage': 1.2}",שנה
80-89,"{'amount': 14370, 'percentage': 2.3}","{'amount': 19490, 'percentage': 3.1}",6 חודשים
80-89,"{'amount': 5041, 'percentage': 2.9}","{'amount': 7169, 'percentage': 4.1}",3 חודשים
90+,"{'amount': 174, 'percentage': 0.7}","{'amount': 332, 'percentage': 1.2}",חודש אחרון
90+,"{'amount': 7575, 'percentage': 0.2}","{'amount': 14613, 'percentage': 0.3}",מתחילת קורונה
90+,"{'amount': 5851, 'percentage': 0.2}","{'amount': 11039, 'percentage': 0.3}",שנה
90+,"{'amount': 2835, 'percentage': 0.4}","{'amount': 5483, 'percentage': 0.9}",6 חודשים
90+,"{'amount': 1078, 'percentage': 0.6}","{'amount': 2123, 'percentage': 1.2}",3 חודשים
